class,symbol,ts,weekday,open,close,volume
us_stocks,ACE,2012-03-03,Saturday,32.17154,31.75553,555.0
us_stocks,ACE,2012-09-08,Saturday,17.47248,17.98094,84199.0
us_stocks,ACE,2019-10-27,Sunday,83.094544,78.98386,2721.0
us_stocks,ACE,2020-11-14,Saturday,77.26887,86.53123,133110.0
us_stocks,ACE,2025-02-01,Saturday,1292.10214,1268.60219,7208.0
us_stocks,ACE,2026-02-01,Sunday,852.84998,885.20001,40009.0
us_stocks,APC,2012-05-13,Sunday,64.21795,64.13149,4126235.0
us_stocks,APC,2012-05-20,Sunday,60.82643,62.20033,5308424.0
us_stocks,APC,2012-06-03,Sunday,56.32041,54.87926,6967210.0
us_stocks,APC,2012-06-10,Sunday,62.14269,59.38528,5927332.0
us_stocks,APC,2012-06-17,Sunday,62.26759,62.094649,4251877.0
us_stocks,APC,2012-06-24,Sunday,58.1747,57.71353,4615882.0
us_stocks,APC,2012-07-01,Sunday,63.58385,63.084249,3909052.0
us_stocks,APC,2012-07-08,Sunday,63.17072,63.72796,3402489.0
us_stocks,APC,2012-07-15,Sunday,66.58146,67.90732,7330599.0
us_stocks,APC,2012-07-22,Sunday,67.84006,67.53262,4521394.0
us_stocks,APC,2012-07-29,Sunday,68.57986,68.93534,3874831.0
us_stocks,APC,2012-08-05,Sunday,66.20676,65.54382,5455110.0
us_stocks,APC,2012-08-12,Sunday,66.68714,65.81284,3041886.0
us_stocks,APC,2012-08-19,Sunday,67.19635,66.86968,3469671.0
us_stocks,APC,2012-08-26,Sunday,66.80243,66.072242,2410969.0
us_stocks,APC,2012-09-09,Sunday,69.08907,67.6383,3582302.0
us_stocks,APC,2012-09-16,Sunday,72.45177,71.26041,4943553.0
us_stocks,APC,2012-09-23,Sunday,68.1283,67.41732,4937957.0
us_stocks,APC,2012-09-30,Sunday,67.78242,67.84967,3538489.0
us_stocks,APC,2012-10-07,Sunday,65.78401,66.1491,2179095.0
us_stocks,APC,2012-10-14,Sunday,66.3893,66.42773,2760364.0
