class,tf,symbol,ts,action,field,was,now
crypto,4h,BTC_USD,2023-07-01 12:00:00,clamp_wick,Low,3.054,30523.02
crypto,4h,BTC_USD,2023-07-03 04:00:00,clamp_wick,Low,3.066,30667.19
crypto,4h,BTC_USD,2023-07-03 08:00:00,clamp_wick,Low,3.0622,30625.22
crypto,4h,BTC_USD,2023-07-03 12:00:00,clamp_wick,Low,3.0708,30625.22
crypto,4h,BTC_USD,2023-07-03 20:00:00,clamp_wick,Low,3.1116,31156.2
crypto,4h,BTC_USD,2023-07-05 00:00:00,clamp_wick,Low,3.0806,30766.52
crypto,4h,BTC_USD,2023-07-08 16:00:00,clamp_wick,Low,3.0112,30112.0
crypto,4h,BTC_USD,2023-07-09 00:00:00,clamp_wick,Low,3.03,30284.63
crypto,4h,BTC_USD,2023-07-10 00:00:00,clamp_wick,Low,3.0162,30156.17
crypto,4h,BTC_USD,2023-07-10 04:00:00,clamp_wick,Low,3.0088,30112.1
crypto,4h,BTC_USD,2023-07-10 20:00:00,clamp_wick,Low,3.0372,30411.57
crypto,4h,BTC_USD,2023-07-11 04:00:00,clamp_wick,Low,3.0495,30475.99
crypto,4h,BTC_USD,2023-07-11 08:00:00,clamp_wick,Low,3.0548,30404.31
crypto,4h,BTC_USD,2023-07-11 20:00:00,clamp_wick,Low,3.0608,30582.0
crypto,4h,BTC_USD,2023-07-12 04:00:00,clamp_wick,Low,3.0746,30588.32
crypto,4h,BTC_USD,2023-07-12 12:00:00,clamp_wick,Low,3.079,30524.63
crypto,4h,BTC_USD,2023-07-13 04:00:00,clamp_wick,Low,3.0336,30298.01
crypto,4h,BTC_USD,2023-07-14 12:00:00,clamp_wick,Low,3.1215,31209.58
crypto,4h,BTC_USD,2023-07-16 04:00:00,clamp_wick,Low,3.025,30188.0
crypto,4h,BTC_USD,2023-07-16 08:00:00,clamp_wick,Low,3.0318,30265.23
crypto,4h,BTC_USD,2023-07-16 16:00:00,clamp_wick,Low,3.032,30252.93
crypto,4h,BTC_USD,2023-07-17 16:00:00,clamp_wick,Low,3.0052,29884.39
crypto,4h,BTC_USD,2023-07-18 12:00:00,clamp_wick,Low,2.988,29884.0
crypto,4h,BTC_USD,2023-07-18 20:00:00,clamp_wick,Low,2.9812,29715.98
crypto,4h,BTC_USD,2023-07-19 00:00:00,clamp_wick,Low,3.0006,29859.14
crypto,4h,BTC_USD,2023-07-19 08:00:00,clamp_wick,Low,2.9995,30000.68
crypto,4h,BTC_USD,2023-07-19 20:00:00,clamp_wick,Low,2.9904,29909.21
crypto,4h,BTC_USD,2023-07-20 00:00:00,clamp_wick,Low,2.9902,29909.21
crypto,4h,BTC_USD,2023-07-20 04:00:00,clamp_wick,Low,3.0113,29948.0
crypto,4h,BTC_USD,2023-07-20 16:00:00,clamp_wick,Low,2.971,29756.0
crypto,4h,BTC_USD,2023-07-21 12:00:00,clamp_wick,Low,2.986,29778.51
