symbol,start,end,reason_in,start_known
A,2001-01-01,2003-01-01,rank,True
AA,2000-01-01,2017-01-01,rank,True
AAL,2016-01-01,2020-01-01,rank,True
AAL,2021-01-01,2025-01-01,rank,True
AAPL,2000-01-01,,rank,True
ABBV,2015-01-01,,rank,True
ABNB,2024-01-01,,rank,True
ABT,2000-01-01,,rank,True
ACN,2014-01-01,,rank,True
ADBE,2000-01-01,2013-01-01,rank,True
ADBE,2018-01-01,,rank,True
ADI,2000-01-01,2008-01-01,rank,True
ADP,2000-01-01,2005-01-01,rank,True
AES,2001-01-01,2003-01-01,rank,True
AIG,2000-01-01,2019-01-01,rank,True
AKAM,2001-01-01,2002-01-01,rank,True
AKAM,2007-01-01,2010-01-01,rank,True
ALL,2000-01-01,2010-01-01,rank,True
AMAT,2000-01-01,,rank,True
AMD,2000-01-01,2009-01-01,rank,True
AMD,2011-01-01,2013-01-01,rank,True
AMD,2018-01-01,,rank,True
AMGN,2000-01-01,,rank,True
AMZN,2006-01-01,,rank,True
ANET,2025-01-01,,rank,True
ANF,2000-01-01,2001-01-01,rank,True
APA,2001-01-01,2016-01-01,rank,True
APC,2013-01-01,2020-01-01,rank,True
APP,2026-01-01,,rank,True
ATI,2007-01-01,2009-01-01,rank,True
AVGO,2016-01-01,,rank,True
AXP,2000-01-01,,rank,True
AZO,2003-01-01,2007-01-01,rank,True
BA,2000-01-01,,rank,True
BAC,2000-01-01,,rank,True
BAX,2000-01-01,2005-01-01,rank,True
BAX,2010-01-01,2013-01-01,rank,True
BBY,2000-01-01,2012-01-01,rank,True
BIIB,2000-01-01,2022-01-01,rank,True
BKNG,2000-01-01,2002-01-01,rank,True
BKNG,2011-01-01,,rank,True
BMY,2000-01-01,,rank,True
BNY,2000-01-01,2004-01-01,rank,True
BNY,2009-01-01,2013-01-01,rank,True
BRK.B,2000-01-01,2001-01-01,rank,True
BRK.B,2011-01-01,,rank,True
BSX,2000-01-01,2002-01-01,rank,True
BSX,2004-01-01,2009-01-01,rank,True
C,2000-01-01,,rank,True
CAH,2000-01-01,2007-01-01,rank,True
CAT,2000-01-01,,rank,True
CCL,2000-01-01,2002-01-01,rank,True
CCL,2005-01-01,2008-01-01,rank,True
CCL,2021-01-01,2026-01-01,rank,True
CF,2009-01-01,2010-01-01,rank,True
CF,2013-01-01,2014-01-01,rank,True
CHTR,2017-01-01,2025-01-01,rank,True
CI,2000-01-01,2008-01-01,rank,True
CI,2019-01-01,2026-01-01,rank,True
CIEN,2000-01-01,2005-01-01,rank,True
CL,2000-01-01,2007-01-01,rank,True
