symbol,roll_date,from_instrument_id,to_instrument_id,old_close,new_close,ratio,gap_pct,method
6A.v.0,2010-06-14,26505,8568,0.8507,0.8485,0.9887151757376278,-1.1284824262372206,same-bar rank 1
6A.v.0,2010-09-13,8568,12940,0.9263,0.9231,0.988664579509878,-1.133542049012204,same-bar rank 1
6A.v.0,2010-12-13,12940,9788,0.9827,0.9839,0.9886537091686172,-1.1346290831382944,same-bar rank 1
6A.v.0,2011-03-14,9788,99218,1.0001,0.9976,1.0026997300269973,0.2699730026997304,same-bar rank 1
6A.v.0,2011-06-13,99218,8615,1.054,1.0483,0.9869070208728652,-1.3092979127134807,same-bar rank 1
6A.v.0,2011-09-19,8615,25060,1.0362,1.0077,0.98890175641768,-1.109824358232003,same-bar rank 1
6A.v.0,2011-12-19,25060,83274,0.9914,0.982,0.99657050635465,-0.3429493645349946,same-bar rank 1
6A.v.0,2012-03-19,83274,95233,1.0542,1.049,0.9898026939859608,-1.019730601403912,same-bar rank 1
6A.v.0,2012-06-18,95233,25563,0.9972,1.0031,1.0031087043722422,0.3108704372242199,same-bar rank 1
6A.v.0,2012-09-17,25563,95731,1.0546,1.0391,0.9918926607244452,-0.8107339275554737,same-bar rank 1
6A.v.0,2012-12-17,95731,47551,1.0514,1.0475,0.993199543465855,-0.6800456534144961,same-bar rank 1
6A.v.0,2013-03-18,47551,19554,1.0381,1.0322,0.9961468066660244,-0.3853193333975491,same-bar rank 1
6A.v.0,2013-06-17,19554,37721,0.9605,0.9495,0.9935450286309214,-0.6454971369078577,same-bar rank 1
6A.v.0,2013-09-16,37721,10066,0.9266,0.9264,0.994010360457587,-0.598963954241305,same-bar rank 1
6A.v.0,2013-12-16,10066,8998,0.8936,0.8886,0.993845120859445,-0.6154879140555014,same-bar rank 1
6A.v.0,2014-03-17,8998,379099,0.9019,0.9029,0.9952322873932808,-0.4767712606719265,same-bar rank 1
6A.v.0,2014-06-16,379099,5693,0.9367,0.9333,0.993701291768976,-0.6298708231023853,same-bar rank 1
6A.v.0,2014-09-15,5693,22122,0.9095,0.8976,0.993512919186366,-0.6487080813633916,same-bar rank 1
6A.v.0,2014-12-15,22122,18591,0.8253,0.8159,0.9932751726644856,-0.6724827335514383,same-bar rank 1
6A.v.0,2015-03-16,18591,173657,0.7684,0.7601,0.9943388859968768,-0.5661114003123302,same-bar rank 1
6A.v.0,2015-06-15,173657,173691,0.775,0.772,0.9950967741935484,-0.4903225806451639,same-bar rank 1
6A.v.0,2015-09-14,173691,173768,0.7082,0.7128,0.9968935329003104,-0.3106467099689536,same-bar rank 1
6A.v.0,2015-12-14,173768,173772,0.7183,0.722,0.9963803424752888,-0.3619657524711162,same-bar rank 1
6A.v.0,2016-03-14,173772,173965,0.7568,0.7487,0.9956395348837208,-0.4360465116279188,same-bar rank 1
6A.v.0,2016-06-13,173965,174033,0.7375,0.7351,0.9962033898305084,-0.379661016949151,same-bar rank 1
6A.v.0,2016-09-19,174033,174051,0.7493,0.7522,0.9977312158014148,-0.2268784198585227,same-bar rank 1
6A.v.0,2016-12-19,174051,174052,0.7303,0.7236,0.99767218951116,-0.232781048884012,same-bar rank 1
6A.v.0,2017-03-13,174052,174055,0.7541,0.7553,0.9980108738894048,-0.1989126110595318,same-bar rank 1
6A.v.0,2017-06-19,174055,174057,0.7619,0.7582,0.9990812442577766,-0.0918755742223442,same-bar rank 1
6A.v.0,2017-09-18,174057,174062,0.8001,0.7961,0.9991251093613298,-0.0874890638670189,same-bar rank 1
6A.v.0,2017-12-18,174062,174066,0.7647,0.7662,0.9994769190532234,-0.0523080946776555,same-bar rank 1
6A.v.0,2018-03-19,174066,174106,0.7711,0.771,1.0002593697315525,0.0259369731552272,same-bar rank 1
6A.v.0,2018-06-18,174106,174329,0.744,0.7406,1.0004032258064517,0.0403225806451468,same-bar rank 1
6A.v.0,2018-09-17,174329,193086,0.7153,0.7147,1.000419404445687,0.041940444568711,same-bar rank 1
6A.v.0,2018-12-17,193086,17,0.7174,0.7185,1.001672706997491,0.1672706997490891,same-bar rank 1
6A.v.0,2019-03-18,17,3592,0.7086,0.7108,1.0012701100762067,0.1270110076206698,same-bar rank 1
6A.v.0,2019-06-17,3592,16643,0.6868,0.6869,1.0026208503203262,0.2620850320326218,same-bar rank 1
6A.v.0,2019-09-16,16643,177370,0.6875,0.6879,1.0030545454545454,0.3054545454545421,same-bar rank 1
6A.v.0,2019-12-16,177370,53995,0.6871,0.6888,1.0030563236792316,0.3056323679231587,same-bar rank 1
6A.v.0,2020-03-16,53995,71809,0.6181,0.6101,1.000485358356253,0.0485358356252962,same-bar rank 1
6A.v.0,2020-06-15,71809,107441,0.687,0.6962,0.998981077147016,-0.1018922852983994,same-bar rank 1
6A.v.0,2020-09-14,107441,108078,0.728,0.7286,1.0006868131868132,0.0686813186813184,same-bar rank 1
6A.v.0,2020-12-14,108078,2737,0.75335,0.7543,1.001061923408774,0.106192340877409,same-bar rank 1
6A.v.0,2021-03-15,2737,80934,0.7749,0.775,1.001290489095367,0.1290489095367109,same-bar rank 1
6A.v.0,2021-06-14,80934,244560,0.77055,0.7715,1.0002595548634097,0.025955486340945,same-bar rank 1
6A.v.0,2021-09-13,244560,86272,0.7352,0.73685,1.0002040261153426,0.0204026115342648,same-bar rank 1
6A.v.0,2021-12-13,86272,30359,0.71735,0.7134,1.0002788039311354,0.027880393113544,same-bar rank 1
6A.v.0,2022-03-14,30359,11470,0.7292,0.72085,1.0012342292923753,0.1234229292375266,same-bar rank 1
6A.v.0,2022-06-13,11470,47328,0.70515,0.69465,0.9992909310075868,-0.0709068992413075,same-bar rank 1
6A.v.0,2022-09-19,47328,191017,0.6722,0.6744,1.0012645046117228,0.1264504611722783,same-bar rank 1
6A.v.0,2022-12-19,191017,271727,0.66875,0.6727,1.0028411214953272,0.2841121495327225,same-bar rank 1
6A.v.0,2023-03-13,271727,11709,0.658,0.66775,1.0043313069908817,0.4331306990881467,same-bar rank 1
6A.v.0,2023-06-19,11709,172997,0.68665,0.6866,1.0040777688778857,0.4077768877885468,same-bar rank 1
6A.v.0,2023-09-18,172997,306839,0.6432,0.64595,1.0028762437810943,0.2876243781094523,same-bar rank 1
6A.v.0,2023-12-18,306839,156755,0.67015,0.6723,1.0029844064761622,0.298440647616216,same-bar rank 1
6A.v.0,2024-03-18,156755,123163,0.6559,0.6574,1.0028205519134012,0.2820551913401248,same-bar rank 1
6A.v.0,2024-06-17,123163,201183,0.66165,0.66345,1.0023426282777903,0.2342628277790526,same-bar rank 1
6A.v.0,2024-09-16,201183,148217,0.6704,0.676,1.0012678997613365,0.1267899761336455,same-bar rank 1
6A.v.0,2024-12-16,148217,52126,0.6361,0.63775,1.0003930199654143,0.0393019965414298,same-bar rank 1
6A.v.0,2025-03-17,52126,7084,0.6329,0.6386,0.9999209985779745,-0.0079001422025548,same-bar rank 1
6A.v.0,2025-06-16,7084,6212,0.6486,0.65235,1.001927227875424,0.1927227875424098,same-bar rank 1
6A.v.0,2025-09-15,6212,7103,0.66505,0.6681,1.0012780993910233,0.1278099391023301,same-bar rank 1
