symbol
AA
AAL
AAP
ABK
ACE
ADCT
ADS
ADT
AET
AGN
AIV
AKS
ALK
ALTR
AMG
AMTM
AN
ANF
APC
ARG
ATI
AV
AVP
AYE
AYI
BBBY
BBWI
BC
BEAM
BHF
BHI
BIG
BIO
BMS
BTU
BWA
CA
CAG
CAM
CBE
CCE
CCK
CDAY
CE
CFC
CHK
CLF
CMA
CNX
COL
COTY
COV
CPB
CPRI
CPWR
CSC
CSRA
CTRA
CVC
CVG
CVH
CXO
CZR
DF
DFS
DISH
DNB
DNR
DV
DXC
DYN
EA
EMC
EMN
ENPH
EP
EPAM
ETFC
ETSY
FBHS
FDC
FDO
FHN
FII
FL
FLR
FLS
FLT
FMC
FNM
FOSL
FRC
FRE
FRX
FTI
GAS
GENZ
GGP
GHC
GME
GNW
GPS
GR
GRA
GRN
GT
HAR
HFC
HOG
HOT
HP
HRB
HSP
IGT
ILMN
INFO
IPGP
ITT
JEF
JNPR
JOY
K
KBH
KG
KMX
KSE
KSS
LEG
LEH
LIFE
LKQ
LLL
LNC
LSI
LUMN
LW
M
MAC
MAT
MBC
MBI
MDP
MEE
MFE
MHK
MI
MIL
MKTX
MMI
MNK
MOH
MON
MRO
MTCH
MUR
NAVI
NBL
NBR
NE
NFX
NKTR
NOV
NWL
NYT
OGN
OI
PAYC
PBI
PCL
PCS
PENN
PGN
PLL
POM
POOL
PRGO
PVH
QRVO
R
RAD
RDC
RE
RHI
RHT
RIG
RRC
RSH
RTN
RX
S
SAI
SBL
SBNY
SCG
SE
SEDG
SEE
SGP
SHLD
SIG
SII
SLE
SLG
SLM
SLR
SOLS
SPLS
STI
STJ
STR
SUN
SWN
TDC
TE
TEG
TFX
TGNA
THC
TIE
TIF
TMC
TRB
TRIP
TSG
TSS
TWC
UA
UAA
UNM
URBN
USL
VFC
VNO
VNT
WB
WFR
WHR
WIN
WLTW
WU
WYN
X
XEC
XL
XRAY
XRX
YHOO
ZION
