class,tf,rule,symbol,era,bars,ir,excess_cagr,spread_bps
us_stocks,1d,ibs,AAPL,1980s,2022,-0.6124966057407842,-0.15018297173588735,-11.414385339239193
us_stocks,1d,ibs,AAPL,1990s,2528,0.014905484958905032,0.08030965753542674,20.59189930459775
us_stocks,1d,ibs,AAPL,2000s,2515,0.21632445653879667,0.20529126663384378,42.95735147265817
us_stocks,1d,ibs,AAPL,2010s,2516,-0.9099709738089647,-0.17127131120037453,-1.1072826044105115
us_stocks,1d,ibs,AAPL,2020s,1654,-0.012658265195846573,0.029144427002380846,25.170838792337733
us_stocks,1d,ibs,MSFT,1980s,758,-1.498232910063679,-0.5381195043560529,-30.123845670706842
us_stocks,1d,ibs,MSFT,1990s,2528,-0.4437682948621399,-0.12095259477252363,27.698246788573883
us_stocks,1d,ibs,MSFT,2000s,2515,0.8493723173020251,0.24110642599387178,32.609661076383034
us_stocks,1d,ibs,MSFT,2010s,2516,-0.147654740798692,-0.01272628966419842,17.052546780973927
us_stocks,1d,ibs,MSFT,2020s,1654,0.523267173940943,0.17515042125399005,41.17121281994042
us_stocks,1d,ibs,AMZN,1990s,504,-1.2500443781106056,-1.8158698613356257,5.9868054350227
us_stocks,1d,ibs,AMZN,2000s,2515,-0.08318191893274196,0.06130229932415521,18.657962670782748
us_stocks,1d,ibs,AMZN,2010s,2516,-0.7409585069961876,-0.17439745422289699,2.5775090475219544
us_stocks,1d,ibs,AMZN,2020s,1654,0.024140509952239663,0.04590647386174007,23.29711960646003
us_stocks,1d,ibs,NVDA,2000s,2515,-0.21929338959260686,0.013776551140842308,17.991822306944808
us_stocks,1d,ibs,NVDA,2010s,2516,-0.3215081948815,-0.06399761119057756,14.999136740124776
us_stocks,1d,ibs,NVDA,2020s,1654,-0.4283907238991367,-0.14875311630103072,42.02498553276114
us_stocks,1d,ibs,GOOGL,2000s,1259,-0.6039771134444516,-0.14383090386667785,1.2598989388372286
