,HT_DCPHASE,HT_PHASOR,HT_TRENDMODE,MAXINDEX,MA_200,MININDEX,SMA_200,TSF_9
HT_DCPHASE,1.0,0.2699260304571342,0.00861684288272521,0.1399274204679902,0.16225291383198567,-0.05344870977111483,0.16225291383198567,-0.06851844072555595
HT_PHASOR,0.2699260304571342,1.0,0.03650016191289226,0.11328655635391703,0.13253337117180874,0.020129691336954265,0.13253337117180874,-0.01146601109301851
HT_TRENDMODE,0.00861684288272521,0.03650016191289226,1.0,0.8713144821945226,-0.05235728026731814,0.8995621513208366,-0.05235728026731814,0.016422320112897907
MAXINDEX,0.1399274204679902,0.11328655635391703,0.8713144821945226,1.0,0.04719273144025448,0.8518805162374465,0.04719273144025448,-0.033543713693386795
MA_200,0.16225291383198567,0.13253337117180874,-0.05235728026731814,0.04719273144025448,1.0,0.00195874009488829,1.0,-0.11087184725166883
MININDEX,-0.05344870977111483,0.020129691336954265,0.8995621513208366,0.8518805162374465,0.00195874009488829,1.0,0.001958740094888313,0.020505520680811476
SMA_200,0.16225291383198567,0.13253337117180874,-0.05235728026731814,0.04719273144025448,1.0,0.001958740094888313,1.0,-0.11087184725166883
TSF_9,-0.06851844072555595,-0.01146601109301851,0.016422320112897907,-0.033543713693386795,-0.11087184725166883,0.020505520680811476,-0.11087184725166883,1.0
