class,timeframe,n_assets,n_legs,legs,n_combos,n_folds,years_oos,mean_leg_correlation,noise_ceiling,oos_start,oos_end,seconds
us_etfs,1d,3,8,"HT_TRENDMODE,MAXINDEX,HT_PHASOR,MININDEX,MA_200,SMA_200,HT_DCPHASE,TSF_9",140,14,13.480461446061996,0.15866114559696262,0.6679856753148774,2013-02-11,2026-08-06,1.697061538696289
us_etfs,4h,3,8,"TSF_9,MININDEX,TEMA_9,MAXINDEX,LINEARREG_INTERCEPT_200,MIDPOINT_200,EMA_200,TSF_1000",140,4,3.453499036620149,0.25884979335118014,1.3197444947666266,2023-02-10,2026-08-06,1.0397255420684814
