class,tf,rule,symbol,floor,mode,cagr,excess_cagr,ir,vol,max_dd,mar,turnover_yr,weight
us_stocks,1d,ibs,AAPL,0.0,floor,0.1990305041807945,-0.004806756332471185,-0.16899226480464102,0.31345183198645826,-0.6441239293348291,0.3089941160644791,57.510465180254734,0.48562527814864265
us_stocks,1d,ibs,AAPL,0.25,floor,0.210887692638958,0.007050432125692341,-0.16899226480464072,0.32236150896148275,-0.6269818276685324,0.3363537559344517,43.13284888519105,0.614218958611482
us_stocks,1d,ibs,AAPL,0.5,floor,0.21585748655622217,0.012020226042956494,-0.16899226480464094,0.3476653935906839,-0.6698384014332035,0.32225307789814367,28.755232590127367,0.7428126390743213
us_stocks,1d,ibs,AAPL,0.75,floor,0.21363132748601354,0.009794066972747872,-0.1689922648046406,0.38615398651003185,-0.742633000278238,0.28766743116178994,14.377616295063683,0.8714063195371606
us_stocks,1d,ibs,AAPL,1.0,floor,0.20383726051326567,0.0,,0.4343362391638514,-0.8180144825485205,0.2491853932441533,0.0,1.0
us_stocks,1d,ibs,AAPL,0.48562527814864265,const,0.12112045488918954,-0.08271680562407613,-0.6481327841693767,0.2109246569539807,-0.4963529485465129,0.2440208227711161,0.0,0.48562527814864254
us_stocks,1d,ibs,MSFT,0.0,floor,0.26024732610762635,0.03055220953087967,-0.007537508073803678,0.24013457008097347,-0.5899947111873514,0.4411011169640561,60.68646361964948,0.45391635743656605
us_stocks,1d,ibs,MSFT,0.25,floor,0.25870935971332454,0.029014243136577855,-0.007537508073803417,0.2469159799942501,-0.5831652905298053,0.4436295573734974,45.51484771473711,0.5904372680774246
us_stocks,1d,ibs,MSFT,0.5,floor,0.2530685160671009,0.02337339949035422,-0.007537508073803702,0.26608755902644726,-0.6040781961921671,0.41893337263673674,30.34323180982474,0.726958178718283
us_stocks,1d,ibs,MSFT,0.75,floor,0.24337025574880022,0.013675139172053541,-0.007537508073803236,0.29524544945582204,-0.6275533149238163,0.387808095282462,15.17161590491237,0.8634790893591415
us_stocks,1d,ibs,MSFT,1.0,floor,0.22969511657674668,0.0,,0.33176702705915917,-0.7448300974535446,0.3083859223224702,0.0,1.0
us_stocks,1d,ibs,MSFT,0.45391635743656605,const,0.11359150614756786,-0.11610361042917883,-0.7899372310143749,0.15059448044025217,-0.3745684578194346,0.30325966796255455,0.0,0.45391635743656605
us_stocks,1d,ibs,AMZN,0.0,floor,0.19700064119148708,-0.08191027342104551,-0.36107321714706553,0.3955489261506279,-0.7120864090478445,0.2766527189514872,59.89993222439464,0.4406732507998331
us_stocks,1d,ibs,AMZN,0.25,floor,0.23183674258434217,-0.04707417202819042,-0.3610732171470654,0.40583988942482574,-0.7920629811588022,0.29269988384656087,44.92494916829598,0.5805049380998748
us_stocks,1d,ibs,AMZN,0.5,floor,0.257403352734763,-0.021507561877769588,-0.36107321714706553,0.43529246171078834,-0.8562449576783543,0.3006188245857744,29.94996611219732,0.7203366253999165
