,EMA_200,LINEARREG_INTERCEPT_200,MAXINDEX,MIDPOINT_200,MININDEX,TEMA_9,TSF_1000,TSF_9
EMA_200,1.0,0.7607211400815378,0.20324598737716382,0.9204780441196526,0.17099232048926458,-0.09147197986338733,0.7498481079141125,-0.17339826751295015
LINEARREG_INTERCEPT_200,0.7607211400815378,1.0,0.2977731617332205,0.7785880672810584,0.3001944617171191,-0.04653862279024922,0.7435352309170331,-0.10344971106523233
MAXINDEX,0.20324598737716382,0.2977731617332205,1.0,0.20855780050728703,0.8440959052390099,0.0017280562933642447,0.180622730662242,0.04458701681552257
MIDPOINT_200,0.9204780441196526,0.7785880672810584,0.20855780050728703,1.0,0.17948049352883233,-0.07767734275447383,0.7409464328911546,-0.1611983526083167
MININDEX,0.17099232048926458,0.3001944617171191,0.8440959052390099,0.17948049352883233,1.0,0.043928308313883634,0.15491112768105844,0.0852946174541284
TEMA_9,-0.09147197986338733,-0.04653862279024922,0.0017280562933642447,-0.07767734275447383,0.043928308313883634,1.0,-0.03667926403855975,0.6655128525775599
TSF_1000,0.7498481079141125,0.7435352309170331,0.180622730662242,0.7409464328911546,0.15491112768105844,-0.03667926403855975,1.0,-0.136834109127991
TSF_9,-0.17339826751295015,-0.10344971106523233,0.04458701681552257,-0.1611983526083167,0.0852946174541284,0.6655128525775599,-0.136834109127991,1.0
