class,tf,rule,symbol,ir,ir_gross,cagr,bench_cagr,excess_cagr,max_dd,bench_dd,mar,bench_mar,vol,bench_vol,long_frac,turnover_yr,years,spread_bps,in_bps,out_bps,t_years,n_years,years_positive
us_stocks,1d,ibs,AAPL,-0.16899226480464102,-0.15659567763425528,0.1990305041807945,0.20383726051326567,-0.004806756332471185,-0.6441239293348291,-0.8180144825485205,0.3089941160644791,0.2491853932441533,0.31345183198645826,0.4343362391638514,0.48562527814864265,57.510465180254734,44.58319006747153,15.524437888921492,19.156277284001295,3.6318393950798,2.2084561857989864,45,0.7111111111111111
us_stocks,1d,ibs,MSFT,-0.007537508073803678,0.009580561079254292,0.26024732610762635,0.22969511657674668,0.03055220953087967,-0.5899947111873514,-0.7448300974535446,0.4411011169640561,0.3083859223224702,0.24013457008097347,0.33176702705915917,0.45391635743656605,60.68646361964948,39.58049055312335,23.26973548305476,23.110453361710835,-0.15928212134392766,4.422311522427926,40,0.8
us_stocks,1d,ibs,AMZN,-0.36107321714706553,-0.3503487428289415,0.19700064119148708,0.2789109146125326,-0.08191027342104551,-0.7120864090478445,-0.944042126811601,0.2766527189514872,0.29544329293283095,0.3955489261506279,0.5372205277940668,0.4406732507998331,59.89993222439464,28.581000619275773,14.441483125449091,23.498836131691142,9.05735300624205,2.5067762666785005,29,0.6896551724137931
us_stocks,1d,ibs,NVDA,-0.2903151566441468,-0.2804951081935075,0.28874450743839764,0.3373619656742499,-0.048617458235852284,-0.8256632476150771,-0.8972243189876287,0.34971219594966135,0.37600626569608353,0.436143770504766,0.5861468002970952,0.46776364996260283,59.147428476820004,26.57765587587751,21.682001693758437,29.89103891676621,8.20903722300777,2.943609016598004,27,0.7037037037037037
us_stocks,1d,ibs,GOOGL,-0.3047701863782106,-0.28790336525166643,0.17234890223448796,0.22380410512238624,-0.05145520288789829,-0.5475701231323074,-0.6529478569615115,0.3147522024185456,0.34275953697720546,0.20692994766886222,0.3021979697082325,0.4453858905875852,57.09004592956732,21.579944103039143,11.869242379036702,16.416077389446304,4.546835010409603,2.3968540045499416,22,0.6818181818181818
us_stocks,1d,ibs,META,-0.12357959813441867,-0.10901491137595752,0.2604964132129135,0.2568884522720689,0.00360796094084459,-0.44165223732864656,-0.767360916089979,0.5898224693449711,0.33476874686428093,0.27360287948099904,0.38377359791877913,0.45930913348946134,60.55257540185071,13.591494573736101,21.472768588414844,23.632495373426035,2.1597267850111916,2.1857615278854037,14,0.7142857142857143
us_stocks,1d,ibs,TSLA,-0.5946997815837181,-0.5853374370231971,0.19143682581357035,0.3963510153790619,-0.20491418956549157,-0.7276312272155755,-0.7363221747932771,0.2630959456566222,0.5382847739039472,0.40113859384437967,0.5680508276952779,0.46248085758039814,57.453868884843374,15.577715084668661,4.785407455298971,22.226253161950908,17.440845706651935,0.5675465963640304,16,0.4375
us_stocks,1d,ibs,JPM,-0.05733759567499826,-0.04182618770109958,0.13425375721506572,0.11645631925307276,0.017797437961992957,-0.631979789499983,-0.8167419547718363,0.21243362437473853,0.14258642962158813,0.26120564789792966,0.3575923658798672,0.4674494081710577,58.605272784269395,41.583289083403606,13.142917610992566,13.903652556858242,0.7607349458656774,2.807780286916223,42,0.6428571428571429
us_stocks,1d,ibs,JNJ,-0.28798729235587234,-0.2638797217808175,0.0685340427670953,0.10365507552048547,-0.03512103275339018,-0.8073274903321281,-0.5201147062014648,0.08489001500357796,0.19929272194110004,0.16252286169736047,0.2233858338069454,0.47449848249315274,56.74208033944727,53.57575862241664,3.906493403952368,6.956153092960479,3.0496596890081107,1.5565338822269363,54,0.6111111111111112
us_stocks,1d,ibs,XOM,0.15435854135052327,0.17686936867279776,0.14397943719953954,0.09797950137200262,0.04599993582753692,-0.4513084891831909,-0.621399786278632,0.31902665394157204,0.15767546680176872,0.1712252708922922,0.24207452614120425,0.4567325486712562,59.87782688452199,53.57575862241664,15.495088630281295,13.28938262206459,-2.205706008216705,4.699864614621967,54,0.7777777777777778
