class,timeframe,n_assets,n_trials,n_folds,years_oos,noise_ceiling_5,noise_ceiling_96,oos_start,oos_end,seconds
us_stocks,1d,20,5,54,41.008338988270324,0.1510705029797518,0.36148944985440434,1973-01-02,2026-08-04,0.2673914432525635
us_etfs,1d,3,5,14,13.480461446061996,0.26348954363330274,0.6304916465602619,2013-02-11,2026-08-06,0.04035139083862305
crypto,1d,10,5,6,5.925313475391181,0.39742949868239597,0.9509902198039737,2020-08-29,2026-08-03,0.07786059379577637
