ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,class,timeframe,rule,scenario,ir_train,total_pnl_dollars,avg_cagr,avg_sharpe,avg_max_drawdown,avg_exposure,turnover_per_year,n_trades,is_baseline,generic_fallback,rankable
-0.20195354961374656,0.45,-0.20195354961374656,0.0,-0.33477979733094737,,MA,20,20,2.747992242756103,False,False,False,False,0,False,us_stocks,15m,TRANGE,gross,-0.22552009235080323,299531.1279064132,0.0908987517545609,0.43393458673962,-0.5531697499798307,0.9995547605842152,3422.7231254985536,235152,False,True,True
-0.20453416351536563,0.4,-0.20453416351536563,0.0,-0.3390576988614023,,PG,20,20,2.747992242756103,False,False,False,False,0,False,us_stocks,15m,SUB,gross,-0.22381222527779995,296219.39698238927,0.09535671658263598,0.44151385315188,-0.5437086217066899,0.9995770225550045,3520.9322634299583,241899,False,True,True
-0.2136342571538663,0.4,-0.21363425715386625,0.0,-0.35414298708642555,,PG,20,20,2.747992242756103,False,False,False,False,0,False,us_stocks,15m,DIV,gross,-0.20352902492176778,283269.1000790744,0.09847114349475714,0.454260041171821,-0.5433993035830753,0.9994434232758806,3517.598940020951,241676,False,True,True
-0.24535566507239226,0.35,-0.24535566507239226,0.0,-0.406727784602129,,UNH,20,20,2.747992242756103,False,False,False,False,0,False,us_stocks,15m,MAXINDEX,gross,-0.1450647041677214,1108957.716546984,0.19857735062887577,0.6936991800440534,-0.42700350305143686,0.8482859975126444,230.58858036196193,31683,False,True,True
-0.3597431111796708,0.25,-0.3597431111796708,0.0,-0.5963486459251465,,MSFT,20,20,2.747992242756103,False,False,False,False,0,False,us_stocks,15m,MINMAXINDEX,gross,-0.40412562650327144,2295677.2147223996,0.06792620978117801,0.16712924825167705,-0.5766283085338947,0.9874447971458824,881.2775563244228,64595,False,True,True
-0.3873297610934441,0.25,-0.3873297610934441,0.0,-0.6420792264711999,,PG,20,20,2.747992242756103,False,False,False,False,0,False,us_stocks,15m,HT_DCPHASE,gross,-0.20406740880989682,218687.43167176584,0.06972167499875906,0.358613499254484,-0.5337270002116381,0.9981745183952823,1077.7395410339957,74051,False,False,True
-0.42910772753117526,0.15,-0.42910772753117526,0.0,-0.7113348506663327,,UNH,20,20,2.747992242756103,False,False,False,False,0,False,us_stocks,15m,MIDPRICE_50,gross,-0.5253335781777977,1228263.7878091754,0.01349325213494732,0.014443089364409458,-0.6197679214993,0.9987755936213528,797.8279663760975,54940,False,False,True
-0.4340696312756303,0.15,-0.43406963127563036,0.0,-0.7195602328550659,,UNH,20,20,2.747992242756103,False,False,False,False,0,False,us_stocks,15m,KAMA_200,gross,-0.5455656417100176,170125.56516201573,-0.0141638738701372,-0.016958277594421027,-0.6197249292618532,0.9955476058421521,587.2322233991922,40353,False,False,True
-0.44568113165118134,0.2,-0.44568113165118134,0.0,-0.7388086974147132,,KO,20,20,2.747992242756103,False,False,False,False,0,False,us_stocks,15m,MININDEX,gross,-0.5028781614032524,269358.4140878264,0.11778966594542065,0.5319961704265279,-0.4394242698135189,0.8494670493894045,227.53912181627393,31264,False,True,True
-0.44851779491785637,0.15,-0.44851779491785626,0.0,-0.7435110537502662,,PEP,20,20,2.747992242756103,False,False,False,False,0,False,us_stocks,15m,HT_SINE,gross,-0.39666125233292604,133406.68273544702,0.004477225275567537,0.11531493469444912,-0.5933136431781227,0.998597495840278,803.6357328296642,55220,False,False,True
