class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling,edge_t_bar_corrected,edge_t_bar_source,edge_t_uncorrected_pass
commodities,1h,long,mc_chebyshev_polynomial_fit,3,3.7474074433965883,0.21801658333333332,0.7468386690101434,0.5838384978707424,4,0.5742869127516779,1.0,0.5850444034563045,0.11979568928528428,6393.70387941162,20.0,1.2540863994048173,0.8043933477823068,-0.24515433973301315,-0.42139553383774775,76.54214696141321,7.0,0.13344176453548665,0.7142857142857143,0.3188899422727546,0.021682320140869293,6.1544043104483315,1.4532540453295946,0.2672858330888117,0.46204457884525657,1.3880952968019535,16088.709887715619,11084.273672611596,24532.540453295947,23880.952968019534,1.0,0.5742869127516779,0.0,3.3428406213992647,1.0,1.0466866829493016,394,True,False,True,True,True,True,5,6,False,True,underpowered,False,,,
commodities,1h,long,mc_rolling_window_upper_envelope_forecast,3,3.7474074433965883,0.17391808333333333,0.3476377249188708,1.0005708291522222,4,0.7835222691267846,1.0,0.38915613109664915,0.2865173921297829,1097.6568403804813,5.0,0.8193284995217206,0.8043933477823068,-0.31493355213847296,-0.42139553383774775,3.050958364462704,23.0,0.05446128356617175,0.6521739130434783,0.08675801846813733,0.05295267122100188,1.0284898251662047,1.4978609808400014,0.2733278121062188,0.31153806229107417,1.3880952968019535,14220.932704224724,11084.273672611596,24978.609808400015,23880.952968019534,0.6666666666666666,0.7835222691267846,0.0,12.25708227846397,1.0,0.48721068185401184,394,True,False,True,True,True,True,5,6,False,True,underpowered,False,,,
commodities,1h,long,volmanaged,3,3.7474074433965883,0.11622608333333333,0.17717391596737078,1.3119999374483329,4,0.8624408723949462,1.0,0.2373610232840827,0.239872357420983,1339.7274354328038,20.0,1.0417543710663895,0.8043933477823068,-0.3204755821990788,-0.42139553383774775,1.0967650967426803,11880.0,7.017527038864058e-05,0.5480030143180106,0.0022793100848584923,0.002608416084502277,0.02690340348903002,1.358517057115347,0.25418043329909734,0.25418043329910134,1.3880952968019535,11958.382454090117,11084.273672611596,23585.17057115347,23880.952968019534,0.6666666666666666,1.0,0.0,3.700665312600308,1.0,0.24830741377493798,394,True,False,True,True,True,True,5,6,False,True,underpowered,False,,,
commodities,1h,long,mc_adaptive_bounce,3,3.7474074433965883,0.11400408333333331,0.7728692285692406,0.2950151956350525,4,0.4861577181208054,1.0,0.42470373034759457,0.257500681265409,6107.22822651752,10.0,0.5531584191708452,0.8043933477823068,-0.19762990145143888,-0.42139553383774775,2.037946346949691,34.0,0.01793471681417652,0.7105263157894737,0.07432732939245544,0.045506972336387286,0.3941092077408094,0.7343080508206781,0.16577143376330605,0.290243292859539,1.3880952968019535,12458.392532676213,11084.273672611596,17343.08050820678,23880.952968019534,0.6666666666666666,0.4861577181208054,0.0,18.385623417695957,1.0,1.0831682433863599,394,True,False,True,True,True,True,5,6,False,True,underpowered,False,,,
commodities,1h,long,mc_run_length_reversion,3,3.7474074433965883,0.11400408333333331,0.7728692285692406,0.2950151956350525,4,0.4861577181208054,1.0,0.42470373034759457,0.257500681265409,6107.22822651752,10.0,0.5531584191708452,0.8043933477823068,-0.19762990145143888,-0.42139553383774775,2.037946346949691,34.0,0.01793471681417652,0.7105263157894737,0.07432732939245544,0.045506972336387286,0.3941092077408094,0.7343080508206781,0.16577143376330605,0.290243292859539,1.3880952968019535,12458.392532676213,11084.273672611596,17343.08050820678,23880.952968019534,0.6666666666666666,0.4861577181208054,0.0,18.385623417695957,1.0,1.0831682433863599,394,True,False,True,True,True,True,5,6,False,True,underpowered,False,,,
commodities,1h,short,mc_rolling_window_upper_envelope_forecast,3,3.7474074433965883,-0.025925749999999997,0.7318306571623112,-0.07085177355244351,4,1.0,1.0,0.5982682744833735,0.27187634156434837,999.4751732453078,3.0,1.0523519360377531,0.8043933477823068,-0.3214478677118151,-0.42139553383774775,3.08455456059287,45.0,0.028533192248386584,0.5714285714285714,0.06646691261360357,0.060528063018498134,0.471404350733419,1.488042814126484,0.2720048059806308,0.27200480598063037,1.3880952968019535,19013.16772347891,11084.273672611596,24880.42814126484,23880.952968019534,0.6666666666666666,0.7835222691267846,0.2164777308732154,24.51416455692794,1.0,1.0256531093135235,394,False,False,True,True,True,True,4,6,False,True,underpowered,False,,,
commodities,1h,long,mc_rolling_window_seasonality_test,3,3.7474074433965883,-0.0335766666666667,0.609333293328287,-0.11020788469727286,4,0.5038171140939597,1.0,0.3449609293759514,0.08570542553720395,2046.2012317715817,5.0,0.40580922753216825,0.8043933477823068,-0.2951207383251071,-0.42139553383774775,1.697579646090745,37.0,0.013491527593441304,0.5555555555555556,0.07417713108366299,0.0373355338612284,0.36135890392213643,0.5727070793300855,0.13443652128554917,0.22460963262037745,1.3880952968019535,9881.623873328093,11084.273672611596,15727.070793300854,23880.952968019534,0.6666666666666666,0.5038171140939597,0.0,19.746985380625603,1.0,0.8539743187771338,394,False,False,True,True,True,True,4,6,False,True,underpowered,False,,,
commodities,1h,long,mc_adaptive_ewma,3,3.7474074433965883,-0.04434083333333333,0.5410026624198538,-0.16392094314287092,4,0.4817953020134228,1.0,0.3720669112404439,0.23931408455596842,998.79861367587,3.0,0.4357445815134878,0.8043933477823068,-0.2527181827045827,-0.42139553383774775,1.6810178203962145,33.0,0.0172609777425298,0.6666666666666666,0.08231746756373642,0.048487119157340525,0.3559909939486813,0.6330107565070271,0.1463899481800115,0.23206643166977056,1.3880952968019535,9741.065015370472,11084.273672611596,16330.107565070271,23880.952968019534,0.6666666666666666,0.4817953020134228,0.0,17.82848331412941,1.0,0.7582096451238879,394,False,False,True,True,True,True,4,6,False,True,underpowered,False,,,
commodities,1h,long,mc_recursive_envelope,3,3.7474074433965883,0.34361,0.16650926246308342,4.12721784863087,4,0.13603036315017683,1.0,0.11830625396463193,-0.9303751171694757,-11254.631188019366,0.0,0.34398068567557516,0.8043933477823068,-0.2287742188170716,-0.42139553383774775,3.025187469300585,3.0,0.046396821154159315,1.0,0.05301091566560882,0.0,,0.2626321780000167,0.06348790654722825,0.20972125698573316,1.3880952968019535,2798.94212423134,11084.273672611596,12626.321780000168,23880.952968019534,0.3333333333333333,0.13603036315017683,0.0,1.3342557689611896,1.0,0.23336101200921128,394,True,True,True,False,False,False,3,6,False,True,underpowered,True,3.83239153955142,bonferroni,True
commodities,1h,long,mc_rolling_min_max_weighted,3,3.7474074433965883,0.26275008333333333,0.44884526152160514,1.1707824760925358,4,0.4154231001466402,1.0,0.5367168915936364,0.4103143262817328,-1902.1813913718834,0.0,0.8776486171061751,0.8043933477823068,-0.2149037028492342,-0.42139553383774775,3.6786870635452624,37.0,0.023897894818957904,0.6666666666666666,0.04439956021429429,0.02393932443682698,0.9982693906848373,1.4332665531623374,0.2810936571929268,0.5627129256116394,1.3880952968019535,12720.190651576819,11084.273672611596,24332.665531623374,23880.952968019534,0.6666666666666666,0.4154231001466402,0.0,20.057043728395588,1.0,0.6290519993591547,394,True,False,True,True,False,False,3,6,False,True,underpowered,False,,,
