,CDLDOJI,HT_DCPHASE,HT_PHASOR,HT_TRENDMODE,MAXINDEX,MININDEX,STOCHRSI,TSF_9
CDLDOJI,1.0,0.03794406461131924,-0.004060698768615479,0.6554557523561118,0.671853184042105,0.6867937218778442,-0.019752702169305084,-0.020865537132062184
HT_DCPHASE,0.03794406461131924,1.0,0.23423514225796813,0.014548326058724173,0.1566765677498794,-0.02578966206301352,-0.0015959281001771612,-0.07894277037036909
HT_PHASOR,-0.004060698768615479,0.23423514225796813,1.0,-0.024600674810435222,0.02581342344814002,-0.03486826072829482,0.0913659610281304,-0.004416313579209326
HT_TRENDMODE,0.6554557523561118,0.014548326058724173,-0.024600674810435222,1.0,0.8328962273243747,0.8581795076486709,-0.015175709485918582,-0.002326962120809639
MAXINDEX,0.671853184042105,0.1566765677498794,0.02581342344814002,0.8328962273243747,1.0,0.8521601738603536,-0.014886244675572856,-0.030952188733049422
MININDEX,0.6867937218778442,-0.02578966206301352,-0.03486826072829482,0.8581795076486709,0.8521601738603536,1.0,-0.010996488923035407,0.010059676800824835
STOCHRSI,-0.019752702169305084,-0.0015959281001771612,0.0913659610281304,-0.015175709485918582,-0.014886244675572856,-0.010996488923035407,1.0,0.4615982229355836
TSF_9,-0.020865537132062184,-0.07894277037036909,-0.004416313579209326,-0.002326962120809639,-0.030952188733049422,0.010059676800824835,0.4615982229355836,1.0
