,ATR,HT_PHASOR,LINEARREG_100,LINEARREG_INTERCEPT_50,MAXINDEX,MA_100,NATR,SMA_100
ATR,1.0,-0.015389908059982554,0.1027565266271875,0.1660962037876893,0.2248305927911054,0.1530732300917544,0.8142722267197339,0.1530732300917544
HT_PHASOR,-0.015389908059982554,1.0,0.08033499287393064,0.1049673709313538,-0.015428303834776644,0.09101216902373055,-0.0370438359961807,0.09101216902373055
LINEARREG_100,0.1027565266271875,0.08033499287393064,1.0,0.5541314404089341,0.0726637923528087,0.38492103363816965,-0.04287011508814886,0.38492103363816965
LINEARREG_INTERCEPT_50,0.1660962037876893,0.1049673709313538,0.5541314404089341,1.0,0.03185164692398397,0.77327175919312,0.05599309202596684,0.77327175919312
MAXINDEX,0.2248305927911054,-0.015428303834776644,0.0726637923528087,0.03185164692398397,1.0,0.03788075696025808,0.18809595403815876,0.03788075696025808
MA_100,0.1530732300917544,0.09101216902373055,0.38492103363816965,0.77327175919312,0.03788075696025808,1.0,0.04533243074344608,1.0
NATR,0.8142722267197339,-0.0370438359961807,-0.04287011508814886,0.05599309202596684,0.18809595403815876,0.04533243074344608,1.0,0.045332430743446075
SMA_100,0.1530732300917544,0.09101216902373055,0.38492103363816965,0.77327175919312,0.03788075696025808,1.0,0.045332430743446075,1.0
