,ADD,CCI,HT_TRENDMODE,MAXINDEX,MININDEX,MULT,SUB,TRANGE
ADD,1.0,0.8405154079494961,-0.0009275744162924286,0.07273407089395918,-0.05850772150473096,0.988891609092413,0.2222564664790367,0.22228939824158975
CCI,0.8405154079494961,1.0,-0.0018555512154763115,0.05926204651785844,-0.042883472207270484,0.8410205749330829,0.21031835161338447,0.21048516525364375
HT_TRENDMODE,-0.0009275744162924286,-0.0018555512154763115,1.0,0.8893360525092072,0.9044052249942878,-0.010702226258823234,0.06328168921246512,0.062154091705786126
MAXINDEX,0.07273407089395918,0.05926204651785844,0.8893360525092072,1.0,0.8322978114229166,0.06289863925846527,0.0648662105762599,0.06363023157136466
MININDEX,-0.05850772150473096,-0.042883472207270484,0.9044052249942878,0.8322978114229166,1.0,-0.06880483732966818,0.04611685857055719,0.045240008921545144
MULT,0.988891609092413,0.8410205749330829,-0.010702226258823234,0.06289863925846527,-0.06880483732966818,1.0,0.22507058877754138,0.22510418271232413
SUB,0.2222564664790367,0.21031835161338447,0.06328168921246512,0.0648662105762599,0.04611685857055719,0.22507058877754138,1.0,0.9975533103540027
TRANGE,0.22228939824158975,0.21048516525364375,0.062154091705786126,0.06363023157136466,0.045240008921545144,0.22510418271232413,0.9975533103540027,1.0
