,HT_TRENDMODE,LINEARREG_9,MAXINDEX,MINUS_DI,MINUS_DM,PLUS_DM,TEMA_9,TSF_9
HT_TRENDMODE,1.0,0.002851827282841912,0.7630363916895758,-0.012726692179626067,-0.012726692179626067,-0.012726692179626067,0.004978752653568351,-0.008505652930402037
LINEARREG_9,0.002851827282841912,1.0,-0.003662939559507244,-0.0572523693482118,-0.0572523693482118,-0.0572523693482118,0.7754427285395069,0.7534584741441244
MAXINDEX,0.7630363916895758,-0.003662939559507244,1.0,0.03863450433265228,0.03863450433265228,0.03863450433265228,-0.009172695858892814,-0.019629547783855485
MINUS_DI,-0.012726692179626067,-0.0572523693482118,0.03863450433265228,1.0,1.0,1.0,-0.10202187489109356,-0.2335917243847651
MINUS_DM,-0.012726692179626067,-0.0572523693482118,0.03863450433265228,1.0,1.0,1.0,-0.10202187489109356,-0.2335917243847651
PLUS_DM,-0.012726692179626067,-0.0572523693482118,0.03863450433265228,1.0,1.0,1.0,-0.10202187489109356,-0.2335917243847651
TEMA_9,0.004978752653568351,0.7754427285395069,-0.009172695858892814,-0.10202187489109356,-0.10202187489109356,-0.10202187489109356,1.0,0.6530347985075918
TSF_9,-0.008505652930402037,0.7534584741441244,-0.019629547783855485,-0.2335917243847651,-0.2335917243847651,-0.2335917243847651,0.6530347985075918,1.0
