class,tf,rule,pit,n_folds,n_switches,is1_excess_cagr,is1_dsharpe,is1_boot_se,is1_boot_t,is1_boot_p_gt0,is1_boot_ci_lo,is1_boot_ci_hi,is1_boot_draws,best_fixed_rule,best_fixed_excess_cagr,selection_cost,n_candidates
commodities,1d,IS#1[cashmatch],False,42,28,0.004251119017506966,0.029164950951028057,0.1358948085238552,0.21461416567586095,0.588,-0.22742293651874007,0.2964535778681651,2000,"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",0.009170899666818721,-0.004919780649311756,120
commodities,4h,IS#1[cashmatch],False,4,1,0.3836945792483304,2.2256781576692033,0.4101038956637757,5.427108060182703,1.0,1.3935437146519563,2.9975308878874865,2000,ibs@sell=0.6,0.4325240965212822,-0.04882951727295182,120
crypto,1d,IS#1[cashmatch],False,6,4,0.24929940259784877,0.40217460025351526,0.13114160955015966,3.066720026031781,0.994,0.10016098806613163,0.621372960098304,2000,trend_factor,0.29029433422986606,-0.040994931632017284,120
crypto,4h,IS#1[cashmatch],False,4,2,0.17361494437282343,0.37692212404321207,0.23258823122273745,1.6205554428171118,0.954,-0.06521968247079474,0.8399614481110851,2000,"macd_cross@fast_days=20.0,slow_days=50.0",0.23643878280208397,-0.06282383842926054,120
us_etfs,1d,IS#1[cashmatch],False,29,18,0.031078305701542464,0.2618570421997243,0.15180207794317632,1.7249898403745472,0.953,-0.032328905843820706,0.56026311774497,2000,"ibs@buy=0.1,sell=0.9",0.0613615359447961,-0.030283230243253634,124
us_etfs,4h,IS#1[cashmatch],False,4,3,-0.009434989057358623,-0.11755128179036745,0.34476890103056695,-0.3409567436012607,0.346,-0.9217850363067063,0.46903505511612076,2000,ibs@sell=0.6,0.018254291101614806,-0.02768928015897343,124
us_stocks,1d,IS#1[cashmatch],True,47,26,0.04736580690582537,0.3716276116837748,0.1359176855703761,2.734210858022238,0.998,0.11325125498829884,0.6427277003499483,2000,"ibs@buy=0.1,sell=0.9",0.05953381502568744,-0.012168008119862073,124
us_stocks,4h,IS#1[cashmatch],True,5,2,0.13450076117883625,1.0099128121897252,0.3293202753179438,3.0666584716495215,1.0,0.38776290125695867,1.6691768360764043,2000,"ibs@buy=0.3,sell=0.7",0.14453145779446874,-0.010030696615632495,124
