,ADXR,CDLDOJI,CDLLONGLEGGEDDOJI,COS,HT_TRENDMODE,MAXINDEX,MININDEX,MINMAX
ADXR,1.0,-0.011382400174352353,-0.01184416337418447,-0.007207809155850451,0.11210034169691459,0.021465675408153917,0.029253361161749668,0.28529970435825647
CDLDOJI,-0.011382400174352353,1.0,0.9590014363951921,0.0013219288561337938,0.6930310880714661,0.737694820440722,0.7437609055669883,0.031928777687472855
CDLLONGLEGGEDDOJI,-0.01184416337418447,0.9590014363951921,1.0,0.0025485922208685393,0.6591542395353456,0.7019853429763785,0.706960915172699,0.028835993262985193
COS,-0.007207809155850451,0.0013219288561337938,0.0025485922208685393,1.0,0.0027715229617584795,-0.0013851715438561814,0.0014777846541649499,-0.0065982474722359186
HT_TRENDMODE,0.11210034169691459,0.6930310880714661,0.6591542395353456,0.0027715229617584795,1.0,0.8122038320488308,0.8126119692627394,0.18715740522240282
MAXINDEX,0.021465675408153917,0.737694820440722,0.7019853429763785,-0.0013851715438561814,0.8122038320488308,1.0,0.8330228258338097,0.02051499622877521
MININDEX,0.029253361161749668,0.7437609055669883,0.706960915172699,0.0014777846541649499,0.8126119692627394,0.8330228258338097,1.0,0.036718392171338106
MINMAX,0.28529970435825647,0.031928777687472855,0.028835993262985193,-0.0065982474722359186,0.18715740522240282,0.02051499622877521,0.036718392171338106,1.0
