engine,convention,ticker,rule,n_bars,final_equity,total_return,n_trades,ref_equity,ref_trades,rel_error,trade_diff
manifoldbt,at_close,AAPL,SMA_CROSS,2848,43403.23300958048,3.3403233009580475,69,43403.23300958048,69,0.0,0
manifoldbt,at_close,AAPL,RSI_TREND,2848,91659.48094997655,8.165948094997656,259,91659.48094997655,259,0.0,0
manifoldbt,at_close,AAPL,MACD_CROSS,2848,94385.82564509189,8.438582564509186,201,94385.82564509189,201,0.0,0
manifoldbt,at_close,AAPL,CCI_ZERO,2848,121342.45060283308,11.134245060283307,213,121342.45060283308,213,0.0,0
manifoldbt,at_close,AAPL,BBANDS_DIP,2848,12378.241809206198,0.2378241809206198,126,12378.241809206198,126,0.0,0
manifoldbt,at_close,MSFT,SMA_CROSS,2848,26134.359878495656,1.6134359878495657,60,26134.359878495656,60,0.0,0
manifoldbt,at_close,MSFT,RSI_TREND,2848,21361.25731426397,1.1361257314263975,325,21361.25731426397,325,0.0,0
manifoldbt,at_close,MSFT,MACD_CROSS,2848,14331.185125793256,0.4331185125793255,239,14331.185125793256,239,0.0,0
manifoldbt,at_close,MSFT,CCI_ZERO,2848,21604.228612426068,1.1604228612426066,321,21604.228612426068,321,0.0,0
manifoldbt,at_close,MSFT,BBANDS_DIP,2848,26172.597836269862,1.6172597836269866,136,26172.597836269862,136,0.0,0
manifoldbt,at_close,AMZN,SMA_CROSS,2848,37750.09896354684,2.7750098963546845,58,37750.09896354684,58,0.0,0
manifoldbt,at_close,AMZN,RSI_TREND,2848,36012.111849126035,2.601211184912604,334,36012.111849126035,334,0.0,0
manifoldbt,at_close,AMZN,MACD_CROSS,2848,19198.583526912404,0.9198583526912404,238,19198.583526912404,238,0.0,0
manifoldbt,at_close,AMZN,CCI_ZERO,2848,48885.03738696739,3.8885037386967394,278,48885.03738696739,278,0.0,0
manifoldbt,at_close,AMZN,BBANDS_DIP,2848,11152.281413806271,0.1152281413806273,132,11152.281413806271,132,0.0,0
manifoldbt,at_close,NVDA,SMA_CROSS,2848,555070.0941486816,54.507009414868165,62,555070.0941486816,62,0.0,0
manifoldbt,at_close,NVDA,RSI_TREND,2848,189770.83969656285,17.977083969656285,322,189770.83969656285,322,0.0,0
manifoldbt,at_close,NVDA,MACD_CROSS,2848,112134.7812445202,10.213478124452022,236,112134.7812445202,236,0.0,0
manifoldbt,at_close,NVDA,CCI_ZERO,2848,408073.6315092752,39.80736315092752,266,408073.6315092752,266,0.0,0
manifoldbt,at_close,NVDA,BBANDS_DIP,2848,21916.61349053082,1.1916613490530823,136,21916.61349053082,136,0.0,0
manifoldbt,at_close,GOOGL,SMA_CROSS,2848,53795.61259748357,4.379561259748357,60,53795.61259748357,60,0.0,0
manifoldbt,at_close,GOOGL,RSI_TREND,2848,46958.71815192669,3.695871815192669,292,46958.71815192669,292,0.0,0
manifoldbt,at_close,GOOGL,MACD_CROSS,2848,31483.87578443679,2.1483875784436792,240,31483.87578443679,240,0.0,0
manifoldbt,at_close,GOOGL,CCI_ZERO,2848,52795.22894614628,4.279522894614628,284,52795.22894614628,284,0.0,0
manifoldbt,at_close,GOOGL,BBANDS_DIP,2848,18906.114022458736,0.8906114022458735,132,18906.114022458736,132,0.0,0
manifoldbt,at_close,META,SMA_CROSS,2848,81677.6783797298,7.16776783797298,55,81677.6783797298,55,0.0,0
manifoldbt,at_close,META,RSI_TREND,2848,15802.648255509752,0.5802648255509752,332,15802.648255509752,332,0.0,0
manifoldbt,at_close,META,MACD_CROSS,2848,10804.143933936271,0.0804143933936272,234,10804.143933936271,234,0.0,0
manifoldbt,at_close,META,CCI_ZERO,2848,18603.27846807588,0.8603278468075881,300,18603.27846807588,300,0.0,0
manifoldbt,at_close,META,BBANDS_DIP,2848,15259.363329122967,0.5259363329122968,148,15259.363329122967,148,0.0,0
manifoldbt,at_close,TSLA,SMA_CROSS,2848,48963.23524512081,3.8963235245120815,68,48963.23524512081,68,0.0,0
manifoldbt,at_close,TSLA,RSI_TREND,2848,117186.98402331764,10.718698402331764,302,117186.98402331764,302,0.0,0
manifoldbt,at_close,TSLA,MACD_CROSS,2848,472186.2539364675,46.218625393646754,218,472186.2539364675,218,0.0,0
manifoldbt,at_close,TSLA,CCI_ZERO,2848,195735.81439566377,18.57358143956637,272,195735.81439566377,272,0.0,0
manifoldbt,at_close,TSLA,BBANDS_DIP,2848,13664.452079396506,0.3664452079396505,158,13664.452079396506,158,0.0,0
manifoldbt,at_close,JPM,SMA_CROSS,2848,44703.50036614612,3.4703500366146125,55,44703.50036614612,55,0.0,0
manifoldbt,at_close,JPM,RSI_TREND,2848,33360.924617969984,2.3360924617969983,327,33360.924617969984,327,0.0,0
manifoldbt,at_close,JPM,MACD_CROSS,2848,37009.4455488311,2.70094455488311,221,37009.4455488311,221,0.0,0
manifoldbt,at_close,JPM,CCI_ZERO,2848,22148.72595039226,1.214872595039226,315,22148.72595039226,315,0.0,0
manifoldbt,at_close,JPM,BBANDS_DIP,2848,15320.267560651982,0.5320267560651983,150,15320.267560651982,150,0.0,0
manifoldbt,at_close,JNJ,SMA_CROSS,2848,17011.296406089896,0.7011296406089895,71,17011.296406089896,71,0.0,0
manifoldbt,at_close,JNJ,RSI_TREND,2848,22765.872584087305,1.2765872584087306,301,22765.872584087305,301,0.0,0
manifoldbt,at_close,JNJ,MACD_CROSS,2848,22552.620728535687,1.2552620728535686,217,22552.620728535687,217,0.0,0
manifoldbt,at_close,JNJ,CCI_ZERO,2848,16536.77021268414,0.653677021268414,299,16536.77021268414,299,0.0,0
manifoldbt,at_close,JNJ,BBANDS_DIP,2848,12276.830580397194,0.2276830580397193,166,12276.830580397194,166,0.0,0
manifoldbt,at_close,XOM,SMA_CROSS,2848,14662.448810059148,0.4662448810059147,64,14662.448810059148,64,0.0,0
manifoldbt,at_close,XOM,RSI_TREND,2848,18519.321601981526,0.8519321601981527,307,18519.321601981526,307,0.0,0
manifoldbt,at_close,XOM,MACD_CROSS,2848,19098.073073084157,0.9098073073084154,219,19098.073073084157,219,0.0,0
manifoldbt,at_close,XOM,CCI_ZERO,2848,19618.24634671391,0.961824634671391,323,19618.24634671391,323,0.0,0
manifoldbt,at_close,XOM,BBANDS_DIP,2848,10204.605492801518,0.0204605492801517,146,10204.605492801518,146,0.0,0
manifoldbt,at_close,UNH,SMA_CROSS,2848,13112.042188888903,0.3112042188888904,63,13112.042188888903,63,0.0,0
manifoldbt,at_close,UNH,RSI_TREND,2848,12079.2363972164,0.2079236397216399,335,12079.2363972164,335,0.0,0
manifoldbt,at_close,UNH,MACD_CROSS,2848,12719.424434303231,0.2719424434303232,230,12719.424434303231,230,0.0,0
manifoldbt,at_close,UNH,CCI_ZERO,2848,12525.461136905322,0.2525461136905322,312,12525.461136905322,312,0.0,0
manifoldbt,at_close,UNH,BBANDS_DIP,2848,15777.99238512421,0.5777992385124209,168,15777.99238512421,168,0.0,0
manifoldbt,at_close,V,SMA_CROSS,2848,25938.793975221462,1.5938793975221466,59,25938.793975221462,59,0.0,0
manifoldbt,at_close,V,RSI_TREND,2848,14469.349515430804,0.4469349515430805,323,14469.349515430804,323,0.0,0
manifoldbt,at_close,V,MACD_CROSS,2848,12487.759029263058,0.2487759029263057,242,12487.759029263058,242,0.0,0
manifoldbt,at_close,V,CCI_ZERO,2848,17005.495398942236,0.7005495398942236,301,17005.495398942236,301,0.0,0
manifoldbt,at_close,V,BBANDS_DIP,2848,20828.95063279064,1.0828950632790644,128,20828.95063279064,128,0.0,0
manifoldbt,at_close,PG,SMA_CROSS,2848,14625.771094530472,0.4625771094530471,67,14625.771094530472,67,0.0,0
