ir_net,ir_hit_rate,ir_gross,headroom,t_stat,loo_retention,loo_dropped,n_assets,n_ir,years,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed,gate_loo,net_return_pct,bench_return_pct,excess_return_pct,class,timeframe,rule,scenario,wf_mode,n_folds,n_switches,is_baseline,generic_fallback,rankable
-0.34025534004288627,0.25,-0.3402553400428862,0.0,-0.6751083665006692,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,144.05452969876714,157.7402592607148,-13.685729561947653,us_stocks,4h,MAXINDEX,gross,fixed,5.0,0.0,False,True,True
-0.412205795120263,0.1,-0.412205795120263,0.0,-0.8178669024582392,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,47.376234065646614,157.7402592607148,-110.36402519506818,us_stocks,4h,ADXR,gross,fixed,5.0,0.0,False,True,True
-0.4422197846569579,0.15,-0.4422197846569579,0.0,-0.8774183424025243,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,37.5161005118009,157.7402592607148,-120.2241587489139,us_stocks,4h,STOCHF,gross,fixed,5.0,0.0,False,False,True
-0.4792302126381217,0.1,-0.4792302126381217,0.0,-0.9508515751468065,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,10.803875643855433,157.7402592607148,-146.93638361685936,us_stocks,4h,TEMA[WF],gross,family_reopt,5.0,2.0,False,False,True
-0.48002192180358455,0.05,-0.48002192180358455,0.0,-0.9524224233262116,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,14.446549645864744,157.7402592607148,-143.29370961485006,us_stocks,4h,TEMA_9,gross,fixed,5.0,0.0,False,False,True
-0.4873915435691307,0.2,-0.4873915435691307,0.0,-0.9670446576495247,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,37.155181836590145,157.7402592607148,-120.58507742412465,us_stocks,4h,TSF_100,gross,fixed,5.0,0.0,False,False,True
-0.49124805081339823,0.2,-0.4912480508133982,0.0,-0.9746964414708963,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,33.43568594812041,157.7402592607148,-124.30457331259439,us_stocks,4h,LINEARREG_100,gross,fixed,5.0,0.0,False,False,True
-0.4913001981420644,0.15,-0.4913001981420645,0.0,-0.9747999081728994,,PG,20,20,3.9367431513584585,False,False,False,False,0,False,3.64583568191341,157.7402592607148,-154.09442357880138,us_stocks,4h,MINMAX,gross,fixed,5.0,0.0,False,True,True
-0.4919897309081597,0.1,-0.4919897309081597,0.0,-0.9761680258321508,,TSLA,20,20,3.9367431513584585,False,False,False,False,0,False,25.25015919577747,157.7402592607148,-132.49010006493734,us_stocks,4h,STOCHRSI,gross,fixed,5.0,0.0,False,False,True
-0.49200363459534546,0.05,-0.4920036345953456,0.0,-0.9761956124544303,,PEP,20,20,3.9367431513584585,False,False,False,False,0,False,17.64587011906544,157.7402592607148,-140.09438914164934,us_stocks,4h,LINEARREG_9,gross,fixed,5.0,0.0,False,False,True
