class,timeframe,symbol,rule,engine_pair,scenario,n_bars,windowed,vector,other,rel_diff,ok,n_fills,abs_diff,tolerance,seconds
us_stocks,1h,JNJ,LINEARREG_INTERCEPT_21,vector-reference,retail,13257,False,7050.930886369754,7050.930886368869,1.2550659750982044e-13,True,,,,
us_stocks,1h,JNJ,LINEARREG_INTERCEPT_21,vector-reference,wide,13257,False,5804.854036112356,5804.854036111599,1.3035635128251287e-13,True,,,,
us_stocks,1h,JNJ,LINEARREG_INTERCEPT_21,vector-reference,pessimistic,13257,False,3569.285920981597,3569.285920981529,1.89834484493891e-14,True,,,,
us_stocks,1h,JNJ,LINEARREG_INTERCEPT_21,vector-nautilus,gross,13257,False,8041.503556987642,8041.0,6.261975563067708e-05,True,6786.0,0.5035569876417867,1.2356577195971383,5.65284419991076
us_stocks,15m,XOM,ROC,vector-reference,gross,44959,False,2843.1998927231894,2843.199892723261,2.527085120675149e-14,True,,,,
us_stocks,15m,XOM,ROC,vector-reference,retail,44959,False,1196.7139414444475,1196.713941444644,1.6415857522792942e-13,True,,,,
us_stocks,15m,XOM,ROC,vector-reference,wide,44959,False,315.5545772427228,315.5545772426518,2.249925536733836e-13,True,,,,
us_stocks,15m,XOM,ROC,vector-reference,pessimistic,44959,False,11.253370663910918,11.25337066391384,2.596650450858894e-13,True,,,,
us_stocks,15m,XOM,ROC,vector-nautilus,gross,20000,True,2832.0020894456584,2832.03,9.855414459555963e-06,True,12288.0,0.02791055434181544,1.662768775266122,21.748577499995008
us_stocks,15m,MSFT,EXP,vector-reference,gross,45804,False,2036.7029478933534,2036.7029478933164,1.8197012546960848e-14,True,,,,
us_stocks,15m,MSFT,EXP,vector-reference,retail,45804,False,1097.0528298715603,1097.0528298719923,3.9379141239036705e-13,True,,,,
us_stocks,15m,MSFT,EXP,vector-reference,wide,45804,False,423.82404853191326,423.8240485318534,1.4122870155144636e-13,True,,,,
us_stocks,15m,MSFT,EXP,vector-reference,pessimistic,45804,False,39.284362058377866,39.28436205837856,1.7725421632407155e-14,True,,,,
us_stocks,15m,MSFT,EXP,vector-nautilus,gross,20000,True,2954.5365380586745,2954.44,3.267451846708266e-05,True,11675.0,0.09653805867446863,1.6207637088730733,15.983191800070927
us_stocks,5m,KO,AVGDEV,vector-reference,gross,128107,False,12992.800046255159,12992.800046255988,6.383990864662986e-14,True,,,,
