class,timeframe,n_assets,n_trials,n_folds,years_oos,noise_ceiling_5,noise_ceiling_96,oos_start,oos_end,seconds
us_stocks,1d,20,5,54,41.008338988270324,0.1510705029797518,0.36148944985440434,1973-01-02,2026-08-04,0.25344395637512207
us_stocks,4h,20,5,5,3.9367431513584585,0.4875815058328561,1.1667106869057355,2022-06-21,2026-07-31,0.10442781448364258
crypto,1d,10,5,6,5.925313475391181,0.39742949868239597,0.9509902198039737,2020-08-29,2026-08-03,0.061125755310058594
crypto,4h,10,5,4,3.577258609257723,0.5114940614487502,1.223929908419554,2023-01-07,2026-08-03,0.09876894950866699
