sheet,rule,years,n_assets,all,wf3,hind3,wf3_folds,wf3_t,wf3_win,wf5,hind5,wf5_folds,wf5_t,wf5_win
us_stocks_1d,atr_chandelier,41.008338988270324,20,-0.7391818939064828,-0.6100053267372225,0.27252039341500617,54,-7.845826990725571,0.18518518518518517,-0.6277018885145532,0.034802265458122934,54,-10.089653222537,0.07407407407407407
us_stocks_1d,bollinger_mr,41.008338988270324,20,-0.5142922794532508,-0.5725075423075394,0.5678477345966764,54,-6.341095566019022,0.12962962962962962,-0.48686577361029487,0.28883704282684625,54,-5.739382148212351,0.14814814814814814
us_stocks_1d,connors_rsi,41.008338988270324,20,-0.6399593473143543,-0.5857340657071551,0.40727041961347726,54,-6.720551263843337,0.2037037037037037,-0.5780115612091339,0.14886934097228716,54,-8.134828840911844,0.1111111111111111
us_stocks_1d,donchian_s1,41.008338988270324,20,-0.7522919675971939,-0.7049691503329192,0.24014692676891145,54,-7.608251497677003,0.16666666666666666,-0.7341291938987003,-0.00956302859038428,54,-9.426603193514332,0.07407407407407407
us_stocks_1d,donchian_s2,41.008338988270324,20,-0.7835416486924625,-0.6973963566003447,0.14361010405535835,54,-8.773511482636739,0.1111111111111111,-0.7245383001195399,-0.07652353045749975,54,-9.955962607602023,0.05555555555555555
us_stocks_1d,dual_thrust,41.008338988270324,20,-0.7120480004236651,-0.6191386650227552,0.3662143060126147,54,-6.892200176559164,0.18518518518518517,-0.6168193251634491,0.11163227463549946,54,-7.050751167618264,0.09259259259259259
us_stocks_1d,dyn_breakout2,41.008338988270324,20,-0.7377664901101941,-0.6300095024436309,0.2178070512119507,54,-8.905749310588297,0.14814814814814814,-0.7012119362362088,-0.0049206614785191555,54,-10.492806284624413,0.09259259259259259
us_stocks_1d,faber_gtaa,41.008338988270324,20,-0.7842420274708394,-0.8041038029336376,0.05921047804377729,54,-11.128903673399847,0.037037037037037035,-0.8062414273057101,-0.18055030553843154,54,-13.386897411315337,0.037037037037037035
us_stocks_1d,golden_cross,41.008338988270324,20,-0.6740847772715352,-0.7805705003153302,0.07478355315875672,54,-11.376498777490754,0.09259259259259259,-0.7616893918908354,-0.20696106355517715,54,-12.416183781273624,0.037037037037037035
us_stocks_1d,ibs,41.008338988270324,20,-0.21982598298285436,-0.03042696197470414,0.848873881031073,54,-0.3295347939095302,0.5,-0.05262498461139937,0.5710020200107014,54,-0.6049812506482914,0.48148148148148145
us_stocks_1d,ichimoku,41.008338988270324,20,-0.794723871830092,-0.7756389600825898,0.18717074805384737,54,-9.189528665193452,0.14814814814814814,-0.7447380040722694,-0.05887274594438043,54,-10.407576285400562,0.07407407407407407
us_stocks_1d,macd_cross,41.008338988270324,20,-0.674209909608687,-0.6005030640013371,0.4269622525408438,54,-6.938874439609128,0.16666666666666666,-0.6102041411482989,0.15925336073345264,54,-8.099589824746872,0.1111111111111111
us_stocks_1d,momo_regime,41.008338988270324,20,-0.7805389001347233,-0.7822543070492162,0.10371982627451672,54,-9.96874618059647,0.09259259259259259,-0.801073199368452,-0.1393118768512177,54,-11.196203548767341,0.07407407407407407
us_stocks_1d,monday_effect,41.008338988270324,20,-0.5590682086702402,-0.5981856192869266,0.5044455374167943,54,-5.9605211644546205,0.18518518518518517,-0.5159081688343148,0.2350467000118208,54,-5.567540067139157,0.24074074074074073
us_stocks_1d,preholiday,41.008338988270324,20,-0.7564928195912305,-0.7201130628448823,0.25888962500894863,54,-7.991684624093781,0.1111111111111111,-0.6665915334235136,-0.00023753193803745473,54,-8.181948262943543,0.1111111111111111
us_stocks_1d,rsi2_connors,41.008338988270324,20,-0.6511025645958624,-0.6573550760682887,0.30062901590382296,54,-8.025888140720529,0.16666666666666666,-0.607965936693764,0.0732927667229485,54,-8.11699693848994,0.1111111111111111
us_stocks_1d,rsi2_raw,41.008338988270324,20,-0.5381715987855821,-0.5052216056800107,0.5346285258447311,54,-5.264230107333968,0.25925925925925924,-0.5238393242588292,0.27335037575792454,54,-6.455990922958534,0.18518518518518517
us_stocks_1d,sell_in_may,41.008338988270324,20,-0.519723911499177,-0.414936439191531,0.4308002007052415,54,-5.058280584411367,0.24074074074074073,-0.4098932262050475,0.20755390692019973,54,-6.170048470420219,0.2037037037037037
us_stocks_1d,st_reversal,41.008338988270324,20,-0.42053223797256184,-0.2591562341882123,0.672071646902478,54,-2.678302520896861,0.3888888888888889,-0.2932046737507333,0.4011321804777037,54,-3.787497406511674,0.3333333333333333
us_stocks_1d,three_lower_lows,41.008338988270324,20,-0.6260881947461038,-0.6143058967186728,0.3323964504615789,54,-7.074335795336507,0.2037037037037037,-0.6568002419350161,0.10506270199478777,54,-8.45772615183703,0.09259259259259259
us_stocks_1d,trend_factor,41.008338988270324,20,-0.6995424962804127,-0.5053086051391189,0.42141133047948515,54,-6.213355598505438,0.2037037037037037,-0.5105635071494684,0.14619690710184632,54,-8.205058360280258,0.1111111111111111
us_stocks_1d,tsmom12,41.008338988270324,20,-0.6920870731113175,-0.6880671270273628,-0.039999658075875334,54,-8.809110047278402,0.1111111111111111,-0.7175768800837534,-0.2018428171275907,43,-8.774900119035639,0.046511627906976744
us_stocks_1d,turn_of_month,41.008338988270324,20,-0.6195808367443425,-0.563542418881814,0.40405538908485966,54,-6.212992976408337,0.2222222222222222,-0.5335970574101229,0.14464435496996297,54,-6.566205659855179,0.18518518518518517
