rule,symbol,scenario,ir_union,ret_pct,bench_pct,years_oos
ACCBANDS,BTC/USD,gross,-0.17114364199828097,144.46424446539842,451.63666028336513,5.925629833676824
ACCBANDS,BTC/USD,binance,-0.18355013679593213,129.6135129328361,451.63666028336513,5.925629833676824
ACCBANDS,BTC/USD,kraken,-0.20212005165825545,108.95444518575022,451.63666028336513,5.925629833676824
ACCBANDS,BTC/USD,coinbase,-0.24077743877193697,71.38476138622603,451.63666028336513,5.925629833676824
ACCBANDS,ETH/USD,gross,-0.2602114849467635,-10.053630061265672,376.83819472523305,5.921349173504704
ACCBANDS,ETH/USD,binance,-0.26979621670529674,-15.899636530307715,376.83819472523305,5.921349173504704
ACCBANDS,ETH/USD,kraken,-0.2841408068367285,-23.987218841209224,376.83819472523305,5.921349173504704
ACCBANDS,ETH/USD,coinbase,-0.31400102554656517,-38.54555918498265,376.83819472523305,5.921349173504704
ACCBANDS,XRP/USD,gross,-0.2678445043911258,-51.567331706760356,299.977934789797,5.925478356680308
ACCBANDS,XRP/USD,binance,-0.2747506497827941,-54.41915489786512,299.977934789797,5.925478356680308
ACCBANDS,XRP/USD,kraken,-0.28508406704369865,-58.398410295175076,299.977934789797,5.925478356680308
ACCBANDS,XRP/USD,coinbase,-0.3065873447304223,-65.67460427313083,299.977934789797,5.925478356680308
ACCBANDS,BNB/USD,gross,-0.42794064008617094,146.25034448871395,2451.787350418121,5.925589402604133
ACCBANDS,BNB/USD,binance,-0.4384796298633927,131.09779444306037,2451.787350418121,5.925589402604133
ACCBANDS,BNB/USD,kraken,-0.4542389928796269,110.040016563438,2451.787350418121,5.925589402604133
ACCBANDS,BNB/USD,coinbase,-0.4869903915008196,71.8162853391293,2451.787350418121,5.925589402604133
ACCBANDS,SOL/USD,gross,-0.23866821311697095,-83.8232232682754,-23.70738783545734,4.925874946408827
ACCBANDS,SOL/USD,binance,-0.24750915902579015,-84.82457418117704,-23.70738783545734,4.925874946408827
ACCBANDS,SOL/USD,kraken,-0.26075294586140324,-86.21551817816831,-23.70738783545734,4.925874946408827
ACCBANDS,SOL/USD,coinbase,-0.2883711986255375,-88.73814973068838,-23.70738783545734,4.925874946408827
ACCBANDS,DOGE/USD,gross,-0.2665408818246332,220.8031105422915,2070.35499817184,5.924919258211728
ACCBANDS,DOGE/USD,binance,-0.2761130438657959,197.41850421002263,2070.35499817184,5.924919258211728
ACCBANDS,DOGE/USD,kraken,-0.2904358721505522,165.4052786468049,2070.35499817184,5.924919258211728
ACCBANDS,DOGE/USD,coinbase,-0.32024024100848053,108.88118543893009,2070.35499817184,5.924919258211728
ACCBANDS,ADA/USD,gross,-0.13134111852531022,-58.63767064207832,73.3918931283736,5.925486171159147
ACCBANDS,ADA/USD,binance,-0.1387081854339924,-61.460895595516405,73.3918931283736,5.925486171159147
ACCBANDS,ADA/USD,kraken,-0.14973457584626926,-65.35260271572918,73.3918931283736,5.925486171159147
ACCBANDS,ADA/USD,coinbase,-0.1726929044013545,-72.31064064231103,73.3918931283736,5.925486171159147
ACCBANDS,TRX/USD,gross,-0.8540034514216835,-75.73682044202326,1265.0793080585088,5.92545453499675
ACCBANDS,TRX/USD,binance,-0.8667644793116984,-77.35515712894758,1265.0793080585088,5.92545453499675
ACCBANDS,TRX/USD,kraken,-0.8858013721145269,-79.58889928853411,1265.0793080585088,5.92545453499675
ACCBANDS,TRX/USD,coinbase,-0.9251849505403825,-83.59293203175365,1265.0793080585088,5.92545453499675
ACCBANDS,AVAX/USD,gross,0.19087977536123846,-54.4600417192266,-86.92537909018357,4.925726277054064
ACCBANDS,AVAX/USD,binance,0.18297239052607286,-56.94201753123198,-86.92537909018357,4.925726277054064
ACCBANDS,AVAX/USD,kraken,0.17111996814435973,-60.42389541999851,-86.92537909018357,4.925726277054064
ACCBANDS,AVAX/USD,coinbase,0.14637526208732354,-66.85458433599166,-86.92537909018357,4.925726277054064
ACCBANDS,LINK/USD,gross,-0.3565548949902576,-96.54952985726214,-44.66444902053968,5.925172415785611
ACCBANDS,LINK/USD,binance,-0.3647213921761614,-96.78646892885277,-44.66444902053968,5.925172415785611
ACCBANDS,LINK/USD,kraken,-0.37694707866572635,-97.112680215193,-44.66444902053968,5.925172415785611
ACCBANDS,LINK/USD,coinbase,-0.4024123665568213,-97.69468669654235,-44.66444902053968,5.925172415785611
ACOS,BTC/USD,gross,-0.7880223990389283,0.0,451.63666028336513,5.925629833676824
ACOS,BTC/USD,binance,-0.7880223990389283,0.0,451.63666028336513,5.925629833676824
ACOS,BTC/USD,kraken,-0.7880223990389283,0.0,451.63666028336513,5.925629833676824
ACOS,BTC/USD,coinbase,-0.7880223990389283,0.0,451.63666028336513,5.925629833676824
ACOS,ETH/USD,gross,-0.7277047530393311,0.0,376.83819472523305,5.921349173504704
ACOS,ETH/USD,binance,-0.7277047530393311,0.0,376.83819472523305,5.921349173504704
ACOS,ETH/USD,kraken,-0.7277047530393311,0.0,376.83819472523305,5.921349173504704
ACOS,ETH/USD,coinbase,-0.7277047530393311,0.0,376.83819472523305,5.921349173504704
ACOS,XRP/USD,gross,-0.8984910906343487,-99.31599282003174,299.977934789797,5.925478356680308
ACOS,XRP/USD,binance,-0.9432733081146155,-99.51225989592564,299.977934789797,5.925478356680308
ACOS,XRP/USD,kraken,-1.0105054538071152,-99.70670843339133,299.977934789797,5.925478356680308
ACOS,XRP/USD,coinbase,-1.1511891681565833,-99.89926704423146,299.977934789797,5.925478356680308
ACOS,BNB/USD,gross,-1.0598155929391369,0.0,2451.787350418121,5.925589402604133
ACOS,BNB/USD,binance,-1.0598155929391369,0.0,2451.787350418121,5.925589402604133
ACOS,BNB/USD,kraken,-1.0598155929391369,0.0,2451.787350418121,5.925589402604133
ACOS,BNB/USD,coinbase,-1.0598155929391369,0.0,2451.787350418121,5.925589402604133
ACOS,SOL/USD,gross,-0.4244862016546854,0.0,-23.70738783545734,4.925874946408827
ACOS,SOL/USD,binance,-0.4244862016546854,0.0,-23.70738783545734,4.925874946408827
ACOS,SOL/USD,kraken,-0.4244862016546854,0.0,-23.70738783545734,4.925874946408827
ACOS,SOL/USD,coinbase,-0.4244862016546854,0.0,-23.70738783545734,4.925874946408827
ACOS,DOGE/USD,gross,-1.0448217136749869,-99.99998819991215,2070.35499817184,5.924919258211728
ACOS,DOGE/USD,binance,-1.0865594112335328,-99.99999264589385,2070.35499817184,5.924919258211728
ACOS,DOGE/USD,kraken,-1.1492438411131913,-99.99999638851808,2070.35499817184,5.924919258211728
ACOS,DOGE/USD,coinbase,-1.2805478295679944,-99.999999189509,2070.35499817184,5.924919258211728
ACOS,ADA/USD,gross,-0.8705135289575632,-99.45161911352541,73.3918931283736,5.925486171159147
ACOS,ADA/USD,binance,-0.9298509760951125,-99.63794029630778,73.3918931283736,5.925486171159147
ACOS,ADA/USD,kraken,-1.019079019104878,-99.80608279977045,73.3918931283736,5.925486171159147
ACOS,ADA/USD,coinbase,-1.206291419603369,-99.94777727408687,73.3918931283736,5.925486171159147
ACOS,TRX/USD,gross,-0.5955796290079532,-98.61093862249997,1265.0793080585088,5.92545453499675
ACOS,TRX/USD,binance,-0.6691869854653552,-99.21251948868216,1265.0793080585088,5.92545453499675
ACOS,TRX/USD,kraken,-0.7800027839260371,-99.66462732738897,1265.0793080585088,5.92545453499675
ACOS,TRX/USD,coinbase,-1.0129844675106907,-99.94421294841146,1265.0793080585088,5.92545453499675
ACOS,AVAX/USD,gross,-0.06124980275523225,0.0,-86.92537909018357,4.925726277054064
ACOS,AVAX/USD,binance,-0.06124980275523225,0.0,-86.92537909018357,4.925726277054064
ACOS,AVAX/USD,kraken,-0.06124980275523225,0.0,-86.92537909018357,4.925726277054064
ACOS,AVAX/USD,coinbase,-0.06124980275523225,0.0,-86.92537909018357,4.925726277054064
ACOS,LINK/USD,gross,-0.40187043116716903,0.0,-44.66444902053968,5.925172415785611
ACOS,LINK/USD,binance,-0.40187043116716903,0.0,-44.66444902053968,5.925172415785611
ACOS,LINK/USD,kraken,-0.40187043116716903,0.0,-44.66444902053968,5.925172415785611
ACOS,LINK/USD,coinbase,-0.40187043116716903,0.0,-44.66444902053968,5.925172415785611
ADD,BTC/USD,gross,-0.09304607932757684,246.14757108869347,451.63666028336513,5.925629833676824
ADD,BTC/USD,binance,-0.1750216636722073,126.3424911691787,451.63666028336513,5.925629833676824
ADD,BTC/USD,kraken,-0.2971074152519529,19.464400740301933,451.63666028336513,5.925629833676824
ADD,BTC/USD,coinbase,-0.548425551960686,-68.81941356874977,451.63666028336513,5.925629833676824
ADD,ETH/USD,gross,-0.19099754169190036,36.68123229080385,376.83819472523305,5.921349173504704
ADD,ETH/USD,binance,-0.25211353144263304,-10.197592232106423,376.83819472523305,5.921349173504704
ADD,ETH/USD,kraken,-0.34332464064005447,-52.26111370705995,376.83819472523305,5.921349173504704
ADD,ETH/USD,coinbase,-0.5320015885170252,-87.3518744494078,376.83819472523305,5.921349173504704
ADD,XRP/USD,gross,-0.3947096871141897,-93.69662707745064,299.977934789797,5.925478356680308
ADD,XRP/USD,binance,-0.44983031525140693,-96.28147079118129,299.977934789797,5.925478356680308
ADD,XRP/USD,kraken,-0.5321636534692681,-98.31913870546398,299.977934789797,5.925478356680308
ADD,XRP/USD,coinbase,-0.7028250594832818,-99.68344901788346,299.977934789797,5.925478356680308
ADD,BNB/USD,gross,-0.3636278505867819,198.18618749516634,2451.787350418121,5.925589402604133
ADD,BNB/USD,binance,-0.4385938280534407,88.18228017663041,2451.787350418121,5.925589402604133
ADD,BNB/USD,kraken,-0.5503989751849188,-5.840074630934023,2451.787350418121,5.925589402604133
ADD,BNB/USD,coinbase,-0.7812709376165797,-78.03246734127255,2451.787350418121,5.925589402604133
ADD,SOL/USD,gross,0.1401622106496908,114.77803650623994,-23.70738783545734,4.925874946408827
