sheet,symbol,rule,ir,vs_random,xcagr,cagr,bench_cagr,long,years,fold_win,n_scored,t_folds,ceil_strategy,ceil_strategy_and_asset,best_xcagr_rule,best_xcagr,beats_own_bar,beats_lenient_bar
crypto_1d,AVAX/USD,trend_factor,0.4633978411043768,0.5048457782023248,0.5928685302438629,0.2545076798610908,-0.3383608503827721,0.3366666666666666,4.925726277054064,0.8,5,1.738549341855645,0.7802406814801652,1.1828753048454757,trend_factor,0.5928685302438629,False,False
crypto_1d,SOL/USD,macd_cross,0.3433122962353712,0.49507779935332075,0.5563675178541863,0.5029158921795294,-0.05345162567465689,0.5516666666666666,4.925874946408827,0.6,5,0.6092771175646654,0.7802289070486996,1.1828574543481356,macd_cross,0.5563675178541863,False,False
crypto_1d,XRP/USD,golden_cross,0.2683202950696844,0.5761232430081271,0.3259606847874692,0.5895363528277386,0.26357566804026944,0.6129330254041571,5.925478356680308,0.3333333333333333,5,0.6023617987602616,0.7113806036775647,1.0784807411476267,macd_cross,0.3639919032076786,False,False
crypto_1d,ADA/USD,faber_gtaa,0.2275185412617245,0.6659626220187873,0.3864785070003782,0.48381317878277397,0.09733467178239574,0.4489607390300231,5.925486171159147,0.5,5,0.02158284221078524,0.7113801345961809,1.0784800300019532,ichimoku,0.527379812759416,False,False
crypto_1d,TRX/USD,volmanaged,0.2147621762906743,0.2147621762906743,0.19168640037554163,0.7461234247970778,0.5544370244215362,1.0,5.92545453499675,0.16666666666666666,3,0.7432156825529533,0.7113820336325578,1.0784829090151686,volmanaged,0.19168640037554163,False,False
crypto_1d,BTC/USD,tsmom12,0.2074639048701063,0.6208501683235168,0.17419821116478929,0.5082116902575071,0.33401347909271784,0.6517321016166282,5.925629833676824,0.3333333333333333,4,0.06602493525505461,0.7113715111010023,1.0784669564469203,tsmom12,0.17419821116478929,False,False
crypto_1d,ETH/USD,tsmom12,0.0792212852085518,0.5785501419119248,0.19490187603957732,0.49675980567635714,0.3018579296367798,0.6472222222222223,5.921349173504704,0.5,5,0.30159608385717723,0.7116285968982491,1.078856708542662,voltgt_tsmom,0.20313291008963197,False,False
crypto_1d,LINK/USD,tsmom12,0.0626323981478629,0.34953954531699205,0.19551304732253705,0.10046693500870618,-0.09504611231383087,0.5399538106235566,5.925172415785611,0.3333333333333333,5,-0.4814280318894849,0.7113989691860887,1.0785085839748587,three_lower_lows,0.36849271404034734,False,False
crypto_1d,DOGE/USD,ichimoku,-0.1147832482560247,0.5714939680655894,0.31283902164011446,0.99387840618487,0.6810393845447555,0.2739030023094688,5.924919258211728,0.3333333333333333,6,-0.5348640095485793,0.7114141672086716,1.0785316247698626,macd_cross,0.5900605021537653,False,False
crypto_1d,BNB/USD,faber_gtaa,-0.2259616198336399,0.26831902511000105,-0.028163127341631622,0.6993385933771177,0.7275017207187493,0.6337182448036951,5.925589402604133,0.3333333333333333,5,-1.0878676529621099,0.7113739379873643,1.078470635701301,momo_regime,-0.022619287649352948,False,False
crypto_4h,DOGE/USD,macd_cross,0.5099816958867973,0.8065552605087403,0.5638991283243139,0.5563776132608156,-0.007521515063498296,0.5376852324987226,3.57773001773656,0.75,4,1.6456242785805388,0.9155033658757739,1.3879388100387002,macd_cross,0.5638991283243139,False,False
crypto_4h,AVAX/USD,trend_factor,0.3540545827656386,0.6697045843637678,0.49605952273530673,0.3433276695226508,-0.15273185321265592,0.3442769545222279,3.575539821433812,1.0,4,2.365012438197897,0.9157837186644991,1.3883638358010055,trend_factor,0.49605952273530673,False,False
crypto_4h,ADA/USD,sell_in_may,0.2697758445270065,0.5290958907095236,0.2621231062931382,0.16861389594864606,-0.09350921034449211,0.5041533546325878,3.576821770448599,0.75,4,2.173691718727061,0.9156195934549203,1.3881150155819095,sell_in_may,0.2621231062931382,False,False
crypto_4h,TRX/USD,volmanaged,0.2278671078437905,0.2278671078437905,0.09700162835490267,0.7673616442764504,0.6703600159215477,1.0,3.577944244690496,0.5,3,-0.23092256794030222,0.9154759578979261,1.3878972584752898,volmanaged,0.09700162835490267,False,False
crypto_4h,XRP/USD,golden_cross,0.2199113715768657,0.8070561701299941,0.23795778620338703,0.6158761197391494,0.3779183335357623,0.6426928972917731,3.576451983779322,0.25,4,0.377971696097399,0.9156669274006601,1.3881867756898167,golden_cross,0.23795778620338703,False,False
crypto_4h,BNB/USD,volmanaged,0.1349639466477023,0.1349639466477023,0.020595980518382184,0.27963634234648804,0.25904036182810586,1.0,3.577695448066847,0.25,3,-0.18124137531171616,0.9155077889147087,1.3879455155382372,volmanaged,0.020595980518382184,False,False
crypto_4h,ETH/USD,macd_cross,0.0184204226986011,0.38546372724295463,0.12974473234455774,0.24304366708021496,0.11329893473565722,0.5002554931016863,3.5781930759196974,0.25,4,0.346983681898099,0.9154441257743435,1.3878489997343906,macd_cross,0.12974473234455774,False,False
crypto_4h,LINK/USD,volmanaged,0.0070610811388191,0.0070610811388191,0.03686050686944364,0.14493959167876347,0.10807908480931983,1.0,3.5799358640863708,0.5,3,0.2719587346075439,0.9152212699091616,1.387511141550729,dyn_breakout2,0.09594755846874858,False,False
crypto_4h,BTC/USD,golden_cross,-0.0147662246593977,0.7577138176627632,0.026622181667971256,0.47484675249070585,0.4482245708227346,0.7767982624249393,3.574504278177206,0.25,3,-0.28738303592415626,0.915916361530032,1.3885649275586218,golden_cross,0.026622181667971256,False,False
crypto_4h,SOL/USD,macd_cross,-0.0889426511797177,0.7418057596704815,0.19845052706690858,0.8053832036090158,0.6069326765421073,0.5419808306709265,3.5729485593727963,0.5,4,0.36723733640398704,0.9161157421270416,1.3888671963201284,macd_cross,0.19845052706690858,False,False
us_etfs_1d,SOXL,ibs,-0.1335543198480714,0.5813002916152452,0.2543745753148401,0.7513342073607474,0.4969596320459073,0.37776467118844,13.479534698046136,0.35714285714285715,14,-1.1279962306256823,0.48177851289556467,0.60507985828495,ibs,0.2543745753148401,False,False
us_etfs_1d,SPY,ibs,-0.2345880461831914,0.46717091186277526,-0.02409771003734007,0.12325762572245802,0.1473553357597981,0.3447360660572102,13.480461446061996,0.2857142857142857,14,-2.044278554098816,0.4817619520769057,0.6050590590638577,ibs,-0.02409771003734007,False,False
us_etfs_1d,TQQQ,faber_gtaa,-0.2843449886930562,0.08905351317089821,-0.04081142199986654,0.3955352323428174,0.43634665434268394,0.7979946918313182,13.480461446061996,0.21428571428571427,12,-2.756130438538439,0.4817619520769057,0.6050590590638577,volmanaged,-0.021726353985329405,False,False
us_etfs_4h,SOXL,monday_effect,-0.0587233340756934,0.6144539829226808,0.14727785180983455,0.9997313355242616,0.8524534837144271,0.8105625717566016,3.4503355260522524,0.5,4,-0.09363227056629568,0.9522570844005467,1.1959677865600948,monday_effect,0.14727785180983455,False,False
us_etfs_4h,SPY,tsmom12,-0.2594943781294167,0.23814248607304933,-0.013771334202349772,0.20353382433103073,0.2173051585333805,0.9328358208955224,3.453499036620149,0.0,2,-3.2234610057204613,0.9518208361905557,1.1954198895534558,tsmom12,-0.013771334202349772,False,False
us_etfs_4h,TQQQ,monday_effect,-0.421656135268553,0.23611611854687503,-0.11413139907095649,0.6011059872924653,0.7152373863634218,0.8105625717566016,3.454554829660999,0.25,4,-1.2963188809702195,0.9516753756813865,1.195237201405441,volmanaged,-0.062482523880468044,False,False
