class,timeframe,symbol,rule,scenario,ir_test,ir_train,years_test,total_return,pnl_dollars,cagr,sharpe,max_drawdown,exposure,n_trades,turnover_per_year,n_bars,years,bars_per_year
crypto,2h,BTC/USD,ACCBANDS,gross,-0.01904444549028519,0.012355582535183028,2.629066849190053,7.194168421355894,71941.68421355894,0.37716322742747255,0.8298250809209309,-0.5861751683760801,0.998887768933996,347,105.43664954179394,28771,6.5726671229751314,4377.37062621494
crypto,2h,BTC/USD,ACCBANDS,binance,-0.1765615442561065,-0.09916615645009781,2.629066849190053,2.7647742568230522,27647.742568230522,0.22347736127116313,0.6360458861853594,-0.5891081712418782,0.998887768933996,347,105.43664954179394,28771,6.5726671229751314,4377.37062621494
crypto,2h,BTC/USD,ACCBANDS,kraken,-0.41035991858267695,-0.2654300249739708,2.629066849190053,0.16859736818610327,1685.9736818610327,0.023988060472197592,0.3493468939587008,-0.6508968968079658,0.998887768933996,347,105.43664954179394,28771,6.5726671229751314,4377.37062621494
crypto,2h,BTC/USD,ACCBANDS,coinbase,-0.8870591157304355,-0.6081900528951192,2.629066849190053,-0.9000563779344443,-9000.563779344442,-0.2956029964100507,-0.2306729834962727,-0.9476412588532245,0.998887768933996,347,105.43664954179394,28771,6.5726671229751314,4377.37062621494
crypto,2h,ETH/USD,ACCBANDS,gross,0.2928139840410408,-0.34926352222952667,2.6290668491900524,4.241906063110907,42419.06063110907,0.2866690675502719,0.7121366491536326,-0.8199714251983491,0.998504035624826,372,113.04391141349626,28744,6.572667122975131,4373.262704804221
crypto,2h,ETH/USD,ACCBANDS,binance,0.18500485116190604,-0.4593514400548364,2.6290668491900524,1.2685198033622531,12685.198033622532,0.13272513752956372,0.5485158562203691,-0.878846438534015,0.998504035624826,372,113.04391141349626,28744,6.572667122975131,4373.262704804221
crypto,2h,ETH/USD,ACCBANDS,kraken,0.02429115011371552,-0.6233960977736884,2.6290668491900524,-0.3564521655100803,-3564.521655100803,-0.06486032003088071,0.3058682012872222,-0.9332271067940816,0.998504035624826,372,113.04391141349626,28744,6.572667122975131,4373.262704804221
crypto,2h,ETH/USD,ACCBANDS,coinbase,-0.3069654777522806,-0.9614153299328617,2.6290668491900524,-0.9544502692804568,-9544.502692804568,-0.37497842975276763,-0.18835786394661644,-0.9862903934718353,0.998504035624826,372,113.04391141349626,28744,6.572667122975131,4373.262704804221
crypto,2h,XRP/USD,ACCBANDS,gross,-0.8150126259848757,-0.34593933908999464,2.6290668491900524,-0.9508390823911709,-9508.390823911708,-0.36768102977914785,0.027520407588236002,-0.9917554984856669,0.9983658426341226,325,98.74225909469592,28761,6.572667122975131,4375.8491738406
crypto,2h,XRP/USD,ACCBANDS,binance,-0.9096656609208411,-0.41503398054542495,2.6290668491900524,-0.9764925528284978,-9764.925528284977,-0.43482015066161883,-0.08269394104269856,-0.9955513320614617,0.9983658426341226,325,98.74225909469592,28761,6.572667122975131,4375.8491738406
crypto,2h,XRP/USD,ACCBANDS,kraken,-1.0505026874700427,-0.5181379068320018,2.6290668491900524,-0.9922515810635205,-9922.515810635205,-0.5226314262915089,-0.24646648313825623,-0.9982413485206215,0.9983658426341226,325,98.74225909469592,28761,6.572667122975131,4375.8491738406
crypto,2h,XRP/USD,ACCBANDS,coinbase,-1.339980367960504,-0.7313908842541005,2.6290668491900524,-0.999248290302047,-9992.48290302047,-0.6652613125891285,-0.5820428621712438,-0.9997499965440155,0.9983658426341226,325,98.74225909469592,28761,6.572667122975131,4375.8491738406
crypto,2h,BNB/USD,ACCBANDS,gross,-0.7797180133560634,-0.21163842586333725,2.6290668491900524,1.7380828920984488,17380.828920984488,0.16561577281404105,0.586826565420036,-0.7660375156661052,0.9989217391304348,338,102.69803526798113,28750,6.572667122975131,4374.175576228826
crypto,2h,BNB/USD,ACCBANDS,binance,-0.927021078412318,-0.29474298270887694,2.6290668491900524,0.28132172840521763,2813.217284052176,0.03843586941119059,0.44172044830359813,-0.8473195762963477,0.9989217391304348,338,102.69803526798113,28750,6.572667122975131,4374.175576228826
crypto,2h,BNB/USD,ACCBANDS,kraken,-1.1454566156508257,-0.4188282767362261,2.6290668491900524,-0.5911343182191503,-5911.343182191503,-0.12722188605268303,0.2260551680169816,-0.9405592710728843,0.9989217391304348,338,102.69803526798113,28750,6.572667122975131,4374.175576228826
crypto,2h,BNB/USD,ACCBANDS,coinbase,-1.59032181099314,-0.6756440460489372,2.6290668491900524,-0.9629428193894565,-9629.428193894564,-0.39429557340964616,-0.21521804042838144,-0.9918165556916041,0.9989217391304348,338,102.69803526798113,28750,6.572667122975131,4374.175576228826
crypto,2h,SOL/USD,ACCBANDS,gross,0.544855778684562,0.2843110227249397,1.955190508783938,5.113864462026209,51138.64462026209,0.448329422803738,0.867489641155717,-0.789740663204854,0.9978041487572417,249,101.678071321882,21404,4.887976271959845,4378.908327109783
crypto,2h,SOL/USD,ACCBANDS,binance,0.4555863347954638,0.21014561822003625,1.955190508783938,2.4856410913182128,24856.410913182128,0.2910473313508244,0.7493578690288802,-0.8127614744878231,0.9978041487572417,249,101.678071321882,21404,4.887976271959845,4378.908327109783
crypto,2h,SOL/USD,ACCBANDS,kraken,0.3222550708392256,0.0992525439456673,1.955190508783938,0.4969104206490329,4969.104206490329,0.08603093898105496,0.5733097803984003,-0.8427322509494998,0.9978041487572417,249,101.678071321882,21404,4.887976271959845,4378.908327109783
crypto,2h,SOL/USD,ACCBANDS,coinbase,0.04624328980476379,-0.1309564237352163,1.955190508783938,-0.7467238176206867,-7467.238176206867,-0.2449335757274419,0.21074756111913198,-0.8910068606072152,0.9978041487572417,249,101.678071321882,21404,4.887976271959845,4378.908327109783
crypto,2h,DOGE/USD,ACCBANDS,gross,0.05825966973691605,-0.5372204605684914,2.4995665069587045,0.04306268313091666,430.62683130916656,0.006769785702888553,0.630907314247718,-0.9512881109542037,0.9984995974529752,282,90.09562233013253,27326,6.248916267396761,4372.918251852933
crypto,2h,DOGE/USD,ACCBANDS,binance,-0.022958421217491098,-0.5929923334492331,2.4995665069587045,-0.45293382841560337,-4529.338284156033,-0.09201409110723902,0.5542592608121669,-0.9659989906396989,0.9984995974529752,282,90.09562233013253,27326,6.248916267396761,4372.918251852933
crypto,2h,DOGE/USD,ACCBANDS,kraken,-0.14421318928251636,-0.6761960294723338,2.4995665069587045,-0.7927871057011731,-7927.871057011731,-0.22266590665440855,0.4397880392176059,-0.9806564862488305,0.9984995974529752,282,90.09562233013253,27326,6.248916267396761,4372.918251852933
crypto,2h,DOGE/USD,ACCBANDS,coinbase,-0.39513031280827776,-0.8482687321008567,2.4995665069587045,-0.9730797544741899,-9730.7975447419,-0.4392502612685335,0.20272835485779883,-0.9952610612864821,0.9984995974529752,282,90.09562233013253,27326,6.248916267396761,4372.918251852933
crypto,2h,ADA/USD,ACCBANDS,gross,0.45535883845259306,-0.7239410271424689,2.6290668491900524,-0.6166552896128947,-6166.552896128947,-0.1357385900334157,0.34445625180431616,-0.9697836815138771,0.9969382784774894,337,102.39374479311303,28742,6.572667122975131,4372.958414329353
