rule,symbol,scenario,ir_union,ret_pct,bench_pct,years_oos
ACCBANDS,AAPL,gross,-0.26674835452185164,221.02786253075016,390712.73254496604,44.58319006747153
ACCBANDS,AAPL,retail,-0.2695957751435651,196.7650548511981,390712.73254496604,44.58319006747153
ACCBANDS,AAPL,wide,-0.2723473259680899,174.75319396771548,390712.73254496604,44.58319006747153
ACCBANDS,AAPL,pessimistic,-0.27922290176428555,126.59445607876197,390712.73254496604,44.58319006747153
ACCBANDS,MSFT,gross,-0.5995938129980126,-93.56914259028535,358183.70456761884,39.58049055312335
ACCBANDS,MSFT,retail,-0.6031580628723052,-93.98289856642756,358183.70456761884,39.58049055312335
ACCBANDS,MSFT,wide,-0.6064751715397346,-94.3505067880394,358183.70456761884,39.58049055312335
ACCBANDS,MSFT,pessimistic,-0.6147622659563576,-95.17440436992196,358183.70456761884,39.58049055312335
ACCBANDS,AMZN,gross,-0.4298176243380414,-88.4366468446557,113036.43839929435,28.581000619275773
ACCBANDS,AMZN,retail,-0.43211172189828645,-88.9994751871439,113036.43839929435,28.581000619275773
ACCBANDS,AMZN,wide,-0.43425645259962325,-89.50955620909762,113036.43839929435,28.581000619275773
ACCBANDS,AMZN,pessimistic,-0.43961635130277676,-90.6838986141334,113036.43839929435,28.581000619275773
ACCBANDS,NVDA,gross,-0.29763705278756514,241.2210265377218,226573.95407779372,26.57765587587751
ACCBANDS,NVDA,retail,-0.2995879513575659,226.63559087221668,226573.95407779372,26.57765587587751
ACCBANDS,NVDA,wide,-0.30138708976817946,213.50658077267303,226573.95407779372,26.57765587587751
ACCBANDS,NVDA,pessimistic,-0.305883563486397,182.9407157642475,226573.95407779372,26.57765587587751
ACCBANDS,GOOGL,gross,-0.45673493889504757,-7.852220710326751,7713.003543473454,21.579944103039143
ACCBANDS,GOOGL,retail,-0.46078924300122687,-11.478383828071582,7713.003543473454,21.579944103039143
ACCBANDS,GOOGL,wide,-0.4645503425488993,-14.767789138907872,7713.003543473454,21.579944103039143
