,LINEARREG_1000,LINEARREG_INTERCEPT_100,LINEARREG_INTERCEPT_200,MAXINDEX,MA_100,SMA_100,T3_200,TSF_1000
LINEARREG_1000,1.0,0.5774159415636817,0.6719632376985323,0.11119771585373797,0.5520177240563405,0.5520177240563405,0.7203962536752379,0.9985590139184286
LINEARREG_INTERCEPT_100,0.5774159415636817,1.0,0.6568124142222984,0.060318831413705865,0.8434979109490209,0.8434979109490209,0.6984044230541007,0.5767653426433087
LINEARREG_INTERCEPT_200,0.6719632376985323,0.6568124142222984,1.0,0.07650860709925471,0.5960755138495435,0.5960755138495435,0.8465243678298474,0.6710117867032653
MAXINDEX,0.11119771585373797,0.060318831413705865,0.07650860709925471,1.0,0.07293951693801125,0.07293951693801125,0.06730174978909761,0.11139403026705115
MA_100,0.5520177240563405,0.8434979109490209,0.5960755138495435,0.07293951693801125,1.0,1.0,0.6530771013322773,0.5512349556309803
SMA_100,0.5520177240563405,0.8434979109490209,0.5960755138495435,0.07293951693801125,1.0,1.0,0.6530771013322773,0.5512349556309803
T3_200,0.7203962536752379,0.6984044230541007,0.8465243678298474,0.06730174978909761,0.6530771013322773,0.6530771013322773,1.0,0.7195901195984316
TSF_1000,0.9985590139184286,0.5767653426433087,0.6710117867032653,0.11139403026705115,0.5512349556309803,0.5512349556309803,0.7195901195984316,1.0
