class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling,edge_t_bar_corrected,edge_t_bar_source,edge_t_uncorrected_pass
crypto,4h,long,mc_recursive_envelope,20,3.6374475614469555,0.17112776250000003,0.4013586058626022,0.8527424602355854,4,0.5930093431263683,1.0,0.32228311991824155,0.05553402099808985,2156.731181861327,20.0,0.5813879928490066,0.5571893961014662,-0.653827727179019,-0.7752484555309969,4.005258355474113,5.0,0.1783669779449285,0.775,0.4877678000120719,0.3044347765201998,0.5858955405283455,0.6991721338896525,0.15638474089027843,0.44537681503716503,0.9506863674019181,14482.226581283281,11768.807132349275,16991.721338896525,19506.86367401918,0.55,0.5930093431263683,0.0,2.1984659856916346,1.0,0.5820919900556397,536,True,False,True,True,True,True,5,6,False,True,underpowered,False,,,
crypto,4h,long,macd_cross,20,3.6374475614469555,0.1471144819444445,0.48035169148943424,0.6125282144350704,4,0.5242053523386504,1.0,0.38426759973194313,0.04770370333512234,4143.038493065173,5.0,0.5876294742936189,0.5571893961014662,-0.6913138749772408,-0.7752484555309969,1.943202943180679,35.5,0.044334337968462915,0.3683982683982684,0.2824579782262726,0.08740653945445756,0.5072199202161864,1.0455113392332809,0.24167006600311358,0.5269374938724127,0.9506863674019181,17051.629931705458,11768.807132349275,20455.11339233281,19506.86367401918,0.75,0.5242053523386504,0.0,19.245126003134352,1.0,0.696655977824969,536,True,False,True,True,True,True,5,6,False,True,underpowered,False,,,
crypto,4h,long,mc_rolling_sign_of_midpoint,20,3.6374475614469555,0.12701308472222222,0.24387880363041858,1.041608231888014,4,0.6080648061329385,1.0,0.2733350921285558,0.048718998163198524,2720.1125892845994,20.0,0.4847842530626745,0.5571893961014662,-0.6831198558501563,-0.7752484555309969,2.5815125110711223,7.0,0.11677424764310594,0.6904761904761905,0.37058419167102813,0.28250035090067416,0.4133596552032717,0.6921076964664223,0.15394500008379453,0.2613669995557443,0.9506863674019181,15891.225574791188,11768.807132349275,16921.076964664222,19506.86367401918,0.6,0.6080648061329385,0.0,3.299548975440813,1.0,0.3536984035324667,536,True,False,True,True,True,True,5,6,False,True,underpowered,False,,,
crypto,4h,long,mc_rolling_partial_autocorr,20,3.6374475614469555,0.10300536111111112,0.31174789042745676,0.6608247514995154,4,0.5617132046273701,1.0,0.2555908732692279,0.022948164329723658,2214.46379039857,20.0,0.5118793153303818,0.5571893961014662,-0.6931318990336226,-0.7752484555309969,3.1187269975288068,7.5,0.1260150886905348,0.6458333333333333,0.40391552215757026,0.24468185927521102,0.5150160664293331,0.7629688787952374,0.16866603250118972,0.3097165736016553,0.9506863674019181,15092.941787188862,11768.807132349275,17629.688787952375,19506.86367401918,0.6,0.5617132046273701,0.0,3.5726521372407363,1.0,0.45212921134345224,536,True,False,True,True,True,True,5,6,False,True,underpowered,False,,,
crypto,4h,long,volmanaged,20,3.6374475614469555,0.02644640138888889,0.0062660734869383235,8.441139876197306,4,0.9520077849842423,1.0,0.0011547288537277767,0.010321571775406164,785.2101422148263,10.0,0.49694902665522234,0.5571893961014662,-0.7535615689903042,-0.7752484555309969,1.1120142286336556,1950.0,0.0006605451721448178,0.49898761810553605,0.013475752176826426,0.01207604508792326,0.05469879975898741,0.6746067988378553,0.14740408869961874,0.14740408869961855,0.9506863674019181,12932.520701425441,11768.807132349275,16746.067988378552,19506.86367401918,0.5,1.0,0.0,1.6999531079285468,1.0,0.009087711419586308,536,False,True,True,True,True,True,5,6,False,True,underpowered,True,3.90742863305085,bonferroni,True
crypto,4h,long,mc_adaptive_band_reversion,20,3.6374475614469555,0.16962548015873014,0.7598723969524709,0.44645780222844444,4,0.2099346897764381,1.0,0.30048000239098804,-0.11533649541647772,1847.7450613314313,10.0,0.34891657216985034,0.5571893961014662,-0.44400002261391325,-0.7752484555309969,2.533011796629839,5.0,0.08502170811263973,0.6666666666666666,0.2370642280441209,0.16805997144929627,0.5059010029541199,0.4037990868156499,0.09758622697186803,0.4708334355655997,0.9506863674019181,6287.474828160166,11768.807132349275,14037.9908681565,19506.86367401918,0.5,0.2099346897764381,0.0,2.7487284270497705,1.0,1.1020459740231197,536,True,False,True,False,True,True,4,6,False,True,underpowered,False,,,
crypto,4h,long,mc_cumulative_diff_reversion,20,3.6374475614469555,0.13416920555555556,0.46641729498109935,0.5753183125895557,4,0.5506154232604873,1.0,0.2701288434020451,-0.05572923986218695,1085.388749945931,15.0,0.5519674299048317,0.5571893961014662,-0.6598725557283271,-0.7752484555309969,2.66223799337534,7.0,0.15028462888775768,0.625,0.37495523017566257,0.257759945702477,0.5830410480502886,1.0389084961228152,0.21618676248943958,0.3558396384844869,0.9506863674019181,12242.473064750082,11768.807132349275,20389.084961228153,19506.86367401918,0.55,0.5506154232604873,0.0,3.2991703477317635,1.0,0.6764468668820789,536,True,False,True,False,True,True,4,6,False,True,underpowered,False,,,
crypto,4h,long,mc_mid_percentile_crossover,20,3.6374475614469555,0.0914937833333333,0.28120459519027835,0.650727512268593,4,0.6514066817382567,1.0,0.3077744397966151,0.10093212233890497,6798.091625560774,5.0,0.5732460671857535,0.5571893961014662,-0.6347835596282014,-0.7752484555309969,1.9960176185504115,31.0,0.05100965163030178,0.5172413793103449,0.17166282309186134,0.10890076278402422,0.4684049066898264,1.0854435971032077,0.223645982022998,0.32458465434433903,0.9506863674019181,18883.574630529263,11768.807132349275,20854.43597103208,19506.86367401918,0.75,0.6514066817382567,0.0,16.77036039160605,1.0,0.4078321481989972,536,False,False,True,True,True,True,4,6,False,True,underpowered,False,,,
crypto,4h,long,mc_drawdown_based_reentry,20,3.6374475614469555,0.0803238125,0.07485685593636227,2.1460642848341194,4,0.9344385832705351,1.0,0.0964208622141353,0.03900070537401036,1016.8925606225044,20.0,0.5145670882718558,0.5571893961014662,-0.7746239001922893,-0.7752484555309969,3.388672484727781,3.0,0.32880562304552724,0.6666666666666666,0.6968596965195379,0.4212948460369175,0.7804643853077529,0.6442850521563334,0.14123582436026594,0.15063975508583416,0.9506863674019181,11548.26633807929,11768.807132349275,16442.850521563334,19506.86367401918,0.6,0.9344385832705351,0.0,1.1003558990199265,1.0,0.1085651973193819,536,False,False,True,True,True,True,4,6,False,True,underpowered,False,3.90742863305085,bonferroni,True
crypto,4h,short,volmanaged,20,3.6374475614469555,0.025547868055555558,0.05903544253064024,0.8655094960047381,4,0.9047528867274013,1.0,0.014810748864924006,0.00423730134815109,1322.3093854482292,7.5,0.4195044754290172,0.5571893961014662,-0.7354540680207067,-0.7752484555309969,1.1095771163594805,1950.0,0.00047342430797748733,0.49899990670771527,0.010811408198864886,0.00957646307747603,0.04943623800847598,0.42418381739385047,0.09004310821977457,0.09004310821977447,0.9506863674019181,12980.094469427451,11768.807132349275,14241.838173938504,19506.86367401918,0.45,0.9939075241774608,0.00609247582253927,3.3999062158570936,1.0,0.08561933822901417,536,False,False,True,True,True,True,4,6,False,True,underpowered,False,,,
crypto,4h,long,mc_tema_projection,20,3.6374475614469555,0.10291257361111111,0.6899435164319044,0.29832173550475943,4,0.5020095453403668,1.0,0.25686450263140664,-0.08819410636647493,165.07372058856936,1.25,0.3416574094904231,0.5571893961014662,-0.5973819568106407,-0.7752484555309969,1.4705560145897605,36.0,0.024875115847355612,0.48133848133848134,0.1291549726986041,0.08725444319755096,0.285087096264386,0.36544191199660414,0.08852900531128083,0.15880344555511408,0.9506863674019181,13815.846942036282,11768.807132349275,13654.419119966042,19506.86367401918,0.5,0.5020095453403668,0.0,19.922303694561133,1.0,1.0006278391432255,536,True,False,True,False,True,False,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_pain_index_reversion,20,3.6374475614469555,0.09475478472222224,0.40527983612325824,0.46760177179604046,4,0.5464558673196289,1.0,0.22747183746608834,-0.05186126397113239,1845.4964884214348,5.0,0.4112211696694787,0.5571893961014662,-0.6676869436236417,-0.7752484555309969,2.389116614221842,7.0,0.12695119859457749,0.625,0.36129288001565085,0.2389659867327989,0.5312521682699917,0.5611693612674552,0.12845697694389724,0.23147806085063707,0.9506863674019181,11934.981420819073,11768.807132349275,15611.693612674553,19506.86367401918,0.55,0.5464558673196289,0.0,3.296918332570838,1.0,0.5877789659733132,536,False,False,True,False,True,True,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_half_life_mean_reversion,20,3.6374475614469555,0.08291638611111113,0.30856140495852846,0.5374384792048463,4,0.545742788336184,1.0,0.2555908732692279,-0.0067713464029355575,2214.46379039857,15.0,0.5031083379372414,0.5571893961014662,-0.6984295811807957,-0.7752484555309969,3.1187269975288068,8.0,0.1260150886905348,0.6458333333333333,0.3642907539162401,0.24468185927521102,0.5150160664293331,0.7582976495083215,0.16784960956885386,0.30698205395431566,0.9506863674019181,14847.754083830925,11768.807132349275,17582.976495083214,19506.86367401918,0.55,0.545742788336184,0.0,3.8470673690123007,1.0,0.4475078387335254,536,False,False,True,False,True,True,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_adx_threshold_trend,20,3.6374475614469555,0.0604141305555556,0.47562358947147315,0.2540417754413298,4,0.571024868123587,1.0,0.1803891526887181,-0.06849320250502883,588.3314837299184,7.5,0.2665619381170027,0.5571893961014662,-0.647076876609553,-0.7752484555309969,1.404571301723247,6.0,0.0786601657128777,0.6,0.26339211167162774,0.26905981756262853,0.2923519625689486,0.1665100022148016,0.043238570965301704,0.04343909029446874,0.9506863674019181,15666.110259122686,11768.807132349275,11665.100022148017,19506.86367401918,0.45,0.571024868123587,0.0,2.748809074078343,1.0,0.6897987925731266,536,False,False,True,False,True,True,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_donchian_trend_reversion,20,3.6374475614469555,0.05757734305555559,0.4999122441328743,0.2303498013153357,4,0.5170187912039452,1.0,0.1836177678779018,-0.037656963127915215,1888.8169599918642,3.0,0.3405317291561379,0.5571893961014662,-0.5961224222938744,-0.7752484555309969,1.506425265836676,34.0,0.029040479065309523,0.44285714285714284,0.17321750896848376,0.09215501239438018,0.31512641917978274,0.23534299514947565,0.05967276302616453,0.09532900820650875,0.9506863674019181,13076.558366985815,11768.807132349275,12353.429951494756,19506.86367401918,0.45,0.5170187912039452,0.0,18.549527767701157,1.0,0.7250247254947422,536,False,False,True,False,True,True,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_rolling_window_complexity_index,20,3.6374475614469555,0.05369789861111113,0.4940685094933327,0.21737025363619442,4,0.571024868123587,1.0,0.1803891526887181,-0.08594222582866545,320.1763704645672,3.0,0.22825474845500776,0.5571893961014662,-0.669601700975395,-0.7752484555309969,1.2910803877797683,5.5,0.07533862694955054,0.6,0.2728789107779961,0.26905981756262853,0.28000697997951374,0.1665100022148016,0.043238570965301704,0.04343909029446874,0.9506863674019181,11276.167417451881,11768.807132349275,11665.100022148017,19506.86367401918,0.35,0.571024868123587,0.0,2.748809074078343,1.0,0.7165495337933531,536,False,False,True,False,True,True,3,6,False,True,underpowered,False,,,
crypto,4h,long,MAXINDEX~T3_200|and,20,3.6374475614469555,0.04203522083333333,0.4288091686409787,0.19605560658395066,4,0.42467242119426607,1.0,0.36404920154498754,0.05087375172279393,6707.281848557319,2.5,0.48971521794447964,0.5571893961014662,-0.5654456123580736,-0.7752484555309969,1.4155578682697472,141.0,0.011370612159024247,0.27945578231292517,0.10875199385348844,0.028832676837959613,0.3943654702241967,0.5663611821442622,0.16067328084594745,0.5220335468407294,0.9506863674019181,16305.6831457134,11768.807132349275,15663.611821442622,19506.86367401918,0.65,0.42467242119426607,0.0,78.07424611281972,1.0,0.6219036509554249,536,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
crypto,4h,long,MININDEX,20,3.6374475614469555,0.024056595833333333,0.2787612841988804,0.17259639122748704,4,0.8466080535625371,1.0,0.07734752360254483,0.005963830683538902,939.653196658423,1.0,0.5087045115429656,0.5571893961014662,-0.7529468451432515,-0.7752484555309969,1.3891423584450433,137.5,0.011434134086630915,0.49637662133067273,0.09389621594018739,0.06914999897418028,0.1653526284346045,0.6486848863980472,0.14734597620054823,0.22867386160467587,0.9506863674019181,10192.733608402064,11768.807132349275,16486.84886398047,19506.86367401918,0.5,0.8466080535625371,0.0,75.58993049473088,1.0,0.4042886045038247,536,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_directional_change_rate,20,3.6374475614469555,0.00041366250000000003,0.000827325,1.0000000000000002,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5571893961014662,0.5571893961014662,-0.7752484555309969,-0.7752484555309969,0.0,1.0,0.9506863674019254,1.0,0.9506863674019254,0.0,,0.9506863674019181,0.2014560270791561,0.201456027079156,0.9506863674019181,11771.141437635071,11768.807132349275,19506.86367401918,19506.86367401918,0.05,1.0,0.0,0.0,1.0,0.0011998727537877734,536,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_rolling_max_drawdown_reversion,20,3.6374475614469555,0.00041366250000000003,0.000827325,1.0000000000000002,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5571893961014662,0.5571893961014662,-0.7752484555309969,-0.7752484555309969,0.0,1.0,0.9506863674019254,1.0,0.9506863674019254,0.0,,0.9506863674019181,0.2014560270791561,0.201456027079156,0.9506863674019181,11771.141437635071,11768.807132349275,19506.86367401918,19506.86367401918,0.05,1.0,0.0,0.0,1.0,0.0011998727537877734,536,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
crypto,4h,short,mc_directional_change_rate,20,3.6374475614469555,0.00026585,0.0005317,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5571893961014662,0.5571893961014662,-0.7752484555309969,-0.7752484555309969,0.0,1.0,0.9506863674019254,1.0,0.9506863674019254,0.0,,0.9506863674019181,0.2014560270791561,0.201456027079156,0.9506863674019181,11763.698794903192,11768.807132349275,19506.86367401918,19506.86367401918,0.05,1.0,0.0,0.0,1.0,0.0007711266348641213,536,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
crypto,4h,short,mc_rolling_max_drawdown_reversion,20,3.6374475614469555,0.00026585,0.0005317,1.0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5571893961014662,0.5571893961014662,-0.7752484555309969,-0.7752484555309969,0.0,1.0,0.9506863674019254,1.0,0.9506863674019254,0.0,,0.9506863674019181,0.2014560270791561,0.201456027079156,0.9506863674019181,11763.698794903192,11768.807132349275,19506.86367401918,19506.86367401918,0.05,1.0,0.0,0.0,1.0,0.0007711266348641213,536,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_bollinger_bandwidth,20,3.6374475614469555,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5571893961014662,0.5571893961014662,-0.7752484555309969,-0.7752484555309969,0.0,1.0,0.9506863674019254,1.0,0.9506863674019254,0.0,,0.9506863674019181,0.2014560270791561,0.201456027079156,0.9506863674019181,11768.807132349275,11768.807132349275,19506.86367401918,19506.86367401918,0.0,1.0,0.0,0.0,1.0,0.0,536,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_composite_range_momentum,20,3.6374475614469555,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5571893961014662,0.5571893961014662,-0.7752484555309969,-0.7752484555309969,0.0,1.0,0.9506863674019254,1.0,0.9506863674019254,0.0,,0.9506863674019181,0.2014560270791561,0.201456027079156,0.9506863674019181,11768.807132349275,11768.807132349275,19506.86367401918,19506.86367401918,0.0,1.0,0.0,0.0,1.0,0.0,536,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_down_day_reversion,20,3.6374475614469555,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5571893961014662,0.5571893961014662,-0.7752484555309969,-0.7752484555309969,0.0,1.0,0.9506863674019254,1.0,0.9506863674019254,0.0,,0.9506863674019181,0.2014560270791561,0.201456027079156,0.9506863674019181,11768.807132349275,11768.807132349275,19506.86367401918,19506.86367401918,0.0,1.0,0.0,0.0,1.0,0.0,536,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
crypto,4h,long,mc_mean_of_top_k_returns,20,3.6374475614469555,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5571893961014662,0.5571893961014662,-0.7752484555309969,-0.7752484555309969,0.0,1.0,0.9506863674019254,1.0,0.9506863674019254,0.0,,0.9506863674019181,0.2014560270791561,0.201456027079156,0.9506863674019181,11768.807132349275,11768.807132349275,19506.86367401918,19506.86367401918,0.0,1.0,0.0,0.0,1.0,0.0,536,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
