class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling,edge_t_bar_corrected,edge_t_uncorrected_pass,edge_t_bar_source
crypto,15m,long,CDL3STARSINSOUTH,20,3.5216489224501055,-0.145211,,,1,0.0,0.25,1.589679113874847,-2769.1885680303067,-386.34090375839423,10.0,-0.33647220994125476,0.4172975209463755,0.0,-0.7855585530557541,0.0,0.0,-0.005239498237611665,0.0,0.0,0.005239498237611665,-1.0,0.167877322806532,0.04505797286245494,-0.9999999999999478,0.20670842113255683,1617.4642865499652,5924.498274741029,11678.77322806532,12067.084211325568,0.05,0.0,0.0,0.0,1.0,,415,False,False,True,False,False,True,2,6,False,False,unrankable,False,,,
crypto,15m,long,CDLABANDONEDBABY,20,3.5216489224501055,-0.2582189583333333,1.2688800395430986,-0.40700294793243563,4,4.872126967709091e-05,1.0,1.3069240845000367,-4808.1558720020585,-429.35488186666953,10.0,-0.31159856921207263,0.4172975209463755,-0.0023418493860031253,-0.7855585530557541,0.0,1.0,-0.002796896266573385,0.0,0.0,0.004604316139087655,-0.6074509616812693,0.16657028294877452,0.044736899844015854,-0.9999999213302987,0.20670842113255683,1588.7761466708366,5924.498274741029,11665.702829487745,12067.084211325568,0.1,0.0,0.0,0.5673616890602811,1.0,1.7888951272861968,415,False,False,True,False,False,True,2,6,False,False,unrankable,False,,,
crypto,15m,long,CDLCONCEALBABYSWALL,20,3.5216489224501055,-0.2883299999999999,1.67305661795701,-0.2984968972276386,3,0.0,0.75,1.7697345119658614,-3735.6779563309,-297.0798297755673,10.0,-0.06577352077510026,0.4172975209463755,0.0,-0.7855585530557541,0.0,0.0,0.0005372334609074556,1.0,0.0005372334609074556,0.0,,0.16790050623707664,0.045058154469637346,21.77066313405875,0.20670842113255683,1611.80936454876,5924.498274741029,11679.005062370767,12067.084211325568,0.1,0.0,0.0,0.0,1.0,2.7236062489784305,415,False,False,True,False,False,True,2,6,False,False,unrankable,False,,,
crypto,15m,long,CDLMATHOLD,20,3.5216489224501055,-0.3119155,,,1,0.0,0.25,1.6464804812640907,-4438.432175045115,-386.34090375839423,10.0,0.059330499887583196,0.4172975209463755,0.0,-0.7855585530557541,,0.0,0.0036003155966754094,1.0,0.0036003155966754094,0.0,,0.16790050623707664,0.04505797286245494,5.237665460491621e+16,0.20670842113255683,1623.9102929912738,5924.498274741029,11679.005062370767,12067.084211325568,0.05,0.0,0.0,0.0,1.0,,415,False,False,True,False,False,True,2,6,False,False,unrankable,False,,,
crypto,15m,long,CDL2CROWS,20,3.5216489224501055,-0.4640957222222222,0.6842005295556474,-1.3566073166404247,4,0.00014621466932651254,1.0,1.621363415896802,-1271.9716737858962,-641.989040626142,5.0,-0.11489037638364616,0.4172975209463755,-0.010190410380090442,-0.7855585530557541,0.5328250227498521,2.5,-0.0007812035978165238,0.5,0.003015759395179161,0.0033482537490005975,-0.2333167245910502,0.16196862222694408,0.04390499646834278,-0.9879549335289968,0.20670842113255683,1573.7120950488838,5924.498274741029,11619.68622226944,12067.084211325568,0.2,0.0,0.00014621466932651254,1.7044994477779438,1.0,0.9646010302514181,415,False,False,True,False,False,True,2,6,False,False,unrankable,False,,,
crypto,15m,short,CDLMATHOLD,20,3.5216489224501055,-0.7606695527777777,1.0971332730990702,-1.3866493185994002,4,1.0,1.0,0.0,0.0,-10899.318645757807,0.0,-0.4751087613751248,0.4172975209463755,-0.9536293047765282,-0.7855585530557541,0.0,1.0,-0.8473864814298668,0.0,0.0,0.8473864814298668,-1.0,-0.8693165324369934,-0.4389527523088059,-0.4389527523088072,0.20670842113255683,-7616.978042055851,5924.498274741029,1306.8346756300666,12067.084211325568,0.2,0.0,1.0,0.0,1.0,1.5467627396339223,415,False,False,True,True,False,False,2,6,False,True,underpowered,False,,,
crypto,15m,short,CDL2CROWS,20,3.5216489224501055,-0.7608022027777777,1.0972664471105062,-1.3867228051695941,4,1.0,1.0,0.0,0.0,-10899.318645757807,0.0,-0.4751087613751248,0.4172975209463755,-0.9536293047765282,-0.7855585530557541,0.0,1.0,-0.8693165324369905,0.0,0.0,0.8693165324369905,-1.0,-0.8693165324369934,-0.4389527523088059,-0.4389527523088072,0.20670842113255683,-7623.565131083788,5924.498274741029,1306.8346756300666,12067.084211325568,0.2,0.0,1.0,0.0,1.0,1.5469504912989456,415,False,False,True,True,False,False,2,6,False,True,underpowered,False,,,
crypto,15m,short,CDL3BLACKCROWS,20,3.5216489224501055,-0.7608022027777777,1.0972664471105062,-1.3867228051695941,4,1.0,1.0,0.0,0.0,-10899.318645757807,0.0,-0.4751087613751248,0.4172975209463755,-0.9536293047765282,-0.7855585530557541,0.0,1.0,-0.8693165324369905,0.0,0.0,0.8693165324369905,-1.0,-0.8693165324369934,-0.4389527523088059,-0.4389527523088072,0.20670842113255683,-7623.565131083788,5924.498274741029,1306.8346756300666,12067.084211325568,0.2,0.0,1.0,0.0,1.0,1.5469504912989456,415,False,False,True,True,False,False,2,6,False,True,underpowered,False,,,
crypto,15m,short,CDLADVANCEBLOCK,20,3.5216489224501055,-0.7608022027777777,1.0972664471105062,-1.3867228051695941,4,1.0,1.0,0.0,0.0,-10899.318645757807,0.0,-0.4751087613751248,0.4172975209463755,-0.9536293047765282,-0.7855585530557541,0.0,1.0,-0.8693165324369905,0.0,0.0,0.8693165324369905,-1.0,-0.8693165324369934,-0.4389527523088059,-0.4389527523088072,0.20670842113255683,-7623.565131083788,5924.498274741029,1306.8346756300666,12067.084211325568,0.2,0.0,1.0,0.0,1.0,1.5469504912989456,415,False,False,True,True,False,False,2,6,False,True,underpowered,False,,,
crypto,15m,short,CDLDARKCLOUDCOVER,20,3.5216489224501055,-0.7608022027777777,1.0972664471105062,-1.3867228051695941,4,1.0,1.0,0.0,0.0,-10899.318645757807,0.0,-0.4751087613751248,0.4172975209463755,-0.9536293047765282,-0.7855585530557541,0.0,1.0,-0.8693165324369905,0.0,0.0,0.8693165324369905,-1.0,-0.8693165324369934,-0.4389527523088059,-0.4389527523088072,0.20670842113255683,-7623.565131083788,5924.498274741029,1306.8346756300666,12067.084211325568,0.2,0.0,1.0,0.0,1.0,1.5469504912989456,415,False,False,True,True,False,False,2,6,False,True,underpowered,False,,,
