symbol,bars,left_index,last_bar,yrs_after,bars_after,px_at_exit,px_now,med_vol_after
MTCH,8446,2026-03-23,2026-08-07,0.4,95,30.833,37.26,3079300.0
MUR,10921,2017-07-26,2026-08-07,9.0,2270,18.673,33.37,1991500.0
NAVI,3095,2018-06-05,2026-08-07,8.2,2054,10.091,9.08,1261850.0
NBL,1214,2020-10-12,2026-08-07,5.8,1214,,126.25,1200.0
NBR,9128,2015-03-23,2026-08-07,11.4,2861,577.844,81.59,201500.0
NE,1297,2015-07-20,2026-08-07,11.0,1297,,40.77,1283100.0
NFX,24,2019-02-15,2026-08-07,7.5,24,,23.32,200.0
NKTR,8121,2019-10-03,2026-08-07,6.8,1719,273.0,76.48,113087.0
NOV,7490,2021-09-20,2026-08-07,4.9,1225,11.745,19.65,3592700.0
NWL,9885,2023-09-18,2026-08-07,2.9,724,8.316,6.01,5761750.0
NYT,13429,2010-12-17,2026-08-07,15.6,3931,8.636,63.54,1174600.0
OGN,1314,2023-10-18,2026-08-07,2.8,702,14.553,13.6,3167850.0
OI,8725,2016-12-02,2026-08-07,9.7,2431,17.77,7.03,1289700.0
PAYC,3097,2026-03-23,2026-08-07,0.4,95,126.246,214.94,905500.0
PBI,13658,2017-03-01,2026-08-07,9.4,2372,9.01,17.42,1908650.0
PCL,259,2016-02-22,2026-08-07,10.5,259,,48.02,100.0
PCS,259,2013-04-30,2026-08-07,13.3,259,,49.825,100.0
PENN,8104,2022-09-19,2026-08-07,3.9,974,31.41,20.18,3454800.0
PGN,6474,2012-07-02,2026-08-07,14.1,3568,7.868,1.63,460.5
PLL,5943,2015-08-28,2026-08-07,10.9,2777,43.639,104.65,0.0
POM,208,2016-03-30,2026-08-07,10.4,208,,0.865,535900.0
POOL,7754,2026-06-22,2026-08-07,0.1,33,195.61,206.31,731300.0
PRGO,8721,2021-09-20,2026-08-07,4.9,1225,35.994,12.84,1387300.0
PVH,9869,2022-09-19,2026-08-07,3.9,974,54.617,87.58,877700.0
QRVO,2916,2024-12-23,2026-08-07,1.6,405,71.54,99.08,1432900.0
R,11745,2017-06-19,2026-08-07,9.1,2296,51.785,262.19,426150.0
RDC,2281,2014-08-18,2026-08-07,12.0,2281,,62.85,62730.0
RE,1917,2023-07-10,2026-08-07,3.1,773,0.575,0.385,8000.0
RHI,8905,2024-06-24,2026-08-07,2.1,532,57.843,42.74,1652950.0
RHT,5121,2019-07-15,2026-07-17,7.0,1759,0.26,0.215,121584.0
RIG,8355,2017-07-26,2026-08-07,9.0,2270,8.54,5.26,18677950.0
RRC,9508,2018-06-18,2026-08-07,8.1,2045,15.449,38.28,4162100.0
RSH,6615,2011-06-30,2026-08-07,15.1,3820,16.344,37.4,0.0
RX,6476,2010-02-26,2026-08-07,16.4,4057,0.066,15.0,4800.0
S,1282,2013-07-08,2026-08-07,13.1,1282,,21.4,4689250.0
SAI,1160,2013-09-20,2026-08-07,12.9,1160,,0.068,561802.0
SBL,4355,2007-01-10,2026-08-07,19.6,4355,,6.55,0.0
SBNY,489,2023-03-15,2026-08-07,3.4,489,,0.37,15000.0
SE,2210,2017-02-28,2026-08-07,9.4,2210,,113.43,3845850.0
SEDG,2859,2023-12-18,2026-08-07,2.6,660,93.48,31.76,3256750.0
SEE,6230,2023-12-18,2026-08-07,2.6,666,5.0,4.58,4752317.5
SGP,126,2009-11-03,2026-08-07,16.8,126,,25.31,86950.0
SHLD,537,2012-09-05,2026-08-07,13.9,537,,69.04,814000.0
SIG,9065,2018-03-19,2026-08-07,8.4,2108,33.239,96.91,986450.0
SII,4141,2010-08-26,2026-08-07,15.9,4010,2.75,117.88,16565.0
SLE,1873,2012-06-29,2026-08-07,14.1,1873,,2.89,53.0
SLG,7289,2021-03-22,2026-08-07,5.4,1351,52.656,56.36,986587.0
SLM,10803,2014-05-01,2026-08-07,12.3,3086,7.827,27.37,2746535.0
SLR,6166,2007-10-02,2026-08-07,18.8,4344,5.0,1.05,3800.0
SOLS,3482,2025-12-22,2026-08-07,0.6,156,50.043,60.96,2220800.0
SPLS,140,2017-09-18,2026-08-07,8.9,140,,55.973,2200.0
STI,1071,2019-12-09,2026-08-07,6.7,1071,,7.21,7584.0
STJ,9185,2017-01-05,2026-08-07,9.6,2421,746.578,1147.0,1462440.0
STR,4740,2010-06-30,2026-08-07,16.1,4102,46.04,164.52,204.0
SUN,3489,2012-10-10,2026-08-07,13.8,3474,7.995,70.57,296900.0
SWN,6197,2017-04-04,2026-08-07,9.3,2370,45.374,40.4,10.0
TDC,4743,2017-06-19,2026-08-07,9.1,2296,28.66,27.39,956050.0
TE,1652,2016-07-01,2026-08-07,10.1,1652,,5.85,1395450.0
TEG,6568,2015-07-01,2026-08-07,11.1,2820,7.764,13.37,540.0
TFX,11691,2025-03-24,2026-08-07,1.4,345,139.561,134.98,625000.0
TGNA,6403,2017-06-02,2026-08-07,9.2,2326,3.201,0.597,0.0
THC,11239,2016-04-18,2026-08-07,10.3,2591,31.87,262.13,1301200.0
TIE,5795,2012-12-21,2026-08-07,13.6,3456,13.261,22.6,0.0
TIF,1019,2021-01-07,2026-08-07,5.6,1019,,19.63,0.0
TMC,1233,2000-06-12,2026-08-07,26.2,1233,,4.57,1848900.0
TRB,6470,2007-12-20,2026-08-07,18.6,4704,63.021,63.0,37341.5
TRIP,3687,2019-12-23,2026-08-07,6.6,1663,29.89,10.78,2285200.0
TSG,5967,2007-03-30,2026-08-07,19.4,4622,0.8,0.18,28000.0
TSS,5891,2019-09-23,2026-08-07,6.9,1745,6.963,7.5,350.0
TWC,6165,2016-05-18,2026-08-07,10.2,2326,8.278,26.77,900.0
UA,2609,2022-06-21,2026-08-07,4.1,1036,8.08,5.93,3069224.5
UAA,5210,2022-06-21,2026-08-07,4.1,1036,8.87,6.11,8067550.0
UNM,10013,2021-09-20,2026-08-07,4.9,1225,20.533,90.56,1301800.0
URBN,8241,2017-03-20,2026-08-07,9.4,2359,23.18,76.92,1857100.0
USL,4696,1997-06-17,2026-08-07,29.1,4696,,48.11,24500.0
VFC,10355,2024-04-03,2026-08-07,2.3,588,13.247,14.99,6555000.0
VNO,9764,2023-01-05,2026-08-07,3.6,899,20.031,39.5,1818100.0
VNT,1474,2021-03-22,2026-08-07,5.4,1351,31.634,35.09,946300.0
WB,3095,2008-12-31,2026-08-07,17.6,3095,,7.94,1224900.0
WFR,280,2011-12-16,2026-08-07,14.6,280,,2.5,0.0
WHR,10877,2024-03-18,2026-08-07,2.4,599,92.999,43.28,1180700.0
WLTW,5349,2022-01-10,2026-08-07,4.6,349,229.005,344.82,603850.0
WU,4993,2021-12-20,2026-08-07,4.6,1161,12.114,7.08,5216500.0
WYN,5626,2018-05-31,2026-08-07,8.2,2069,323.14,375.0,22269.0
X,5739,2014-07-02,2026-08-07,12.1,3036,54.053,52.14,110700.0
XEC,3328,2020-03-02,2026-08-07,6.4,1615,22.301,43.38,25800.0
XL,3974,2018-09-14,2026-08-07,7.9,1379,0.17,0.14,0.0
XRAY,8992,2024-04-03,2026-08-07,2.3,588,29.82,12.12,3016650.0
XRX,12502,2021-03-22,2026-08-07,5.4,1351,18.024,3.24,2071200.0
YHOO,61,2017-06-19,2026-08-07,9.1,61,,664.875,23.0
ZION,9263,2024-03-18,2026-08-07,2.4,599,36.91,70.32,1450800.0
