symbol,grp,n,px,tick_pct,flat_bar,zero_vol,unch,dvol
A,current,6719,26.73966,0.037061054628217564,0.0,0.0,0.006698422149449241,88138433.192
AAPL,current,11505,0.56647383,0.5366532113231738,0.0024337244676227725,8.69187309865276e-05,0.032249652294853964,259216145.26752
ABBV,current,3420,68.44545500000001,0.04131026669338485,0.0,0.0,0.004972214097689383,496025198.6925
ABNB,current,1420,134.98,0.033340494888137756,0.0,0.0,0.0014094432699083862,619127415.9374
ABT,current,10921,13.29494,0.043926486317384716,0.0,0.0,0.03241758241758242,116913533.08213
ACGL,current,7775,9.5881,0.0663322243197381,0.023922829581993568,0.005273311897106109,0.047465912014406995,21412930.272
ACN,current,6300,63.89484,0.03970586670223987,0.0,0.0,0.007620257183679949,177558348.7755
ADBE,current,9927,30.32385,0.04102381458820405,0.0,0.0,0.022566995768688293,154356906.8496
ADI,current,10595,23.60539,0.05683024088989168,0.0005663048607833884,0.0,0.05786294128752124,71199736.361
ADM,current,10921,11.42304,0.044480278454808085,0.0,0.0,0.06575091575091575,31758514.228
ADP,current,10921,21.31047,0.036601726756862414,0.0,0.0,0.03818681318681319,50808193.46432
ADSK,current,10355,25.23,0.039635354736445166,9.657170449058426e-05,0.0,0.03872899362565192,67624798.632
AEE,current,7193,24.28337,0.026067222135972762,0.0,0.0,0.015155728587319244,34312828.32
AEP,current,14270,11.240395,0.043503809252251516,7.00770847932726e-05,0.0,0.12208283691919546,4725002.229
AES,current,8842,9.020798,0.03563986246005646,0.00011309658448314861,0.0,0.04162425065037892,38303523.419
AFL,current,10595,12.41758,0.03978230863017996,0.00018876828692779613,9.438414346389807e-05,0.04596941665093449,45287096.976
AIG,current,12381,68.26891,0.04085314969867934,0.14764558597851546,0.1470802035376787,0.050807754442649435,136354061.18400002
AIZ,current,5662,54.165465,0.03291765334240187,0.0,0.0,0.006535947712418301,35559511.3425
AJG,current,10561,15.40056,0.05389414410908126,0.06277814600890068,0.01041568033330177,0.09346590909090909,6637615.2
AKAM,current,6733,51.029999,0.03919263255324779,0.0,0.0,0.007724301841948901,105872251.0
ALB,current,8169,33.97705,0.031491845230824725,0.0002448280083241523,0.0,0.03256611165523996,24451131.775
ALGN,current,6418,48.144999,0.08306158652114391,0.0,0.0,0.008882655446470314,33511113.5
ALL,current,8352,31.91879,0.03007632808135566,0.0,0.0,0.02275176625553826,94541297.414
ALLE,current,3198,93.80067,0.02741984678788206,0.0,0.0,0.003440725680325305,61459076.611
AMAT,current,10561,13.5071,0.06370723545392817,0.007101600227251207,9.46880030300161e-05,0.03910984848484848,262291750.002
AMCR,current,3578,47.98459,0.02329914666354245,0.4815539407490218,0.3831749580771381,0.41766843723790886,27145579.90437
AMD,current,10933,11.87337,0.08423893132278423,0.00036586481295161437,0.00018293240647580719,0.052231979509696304,82120985.0
AME,current,10595,10.46926,0.08873597560859144,0.001226993865030675,0.0,0.079101378138569,8479906.36875
AMGN,current,10561,40.16916,0.04398897064317407,0.009658176309061642,9.46880030300161e-05,0.032007575757575756,274668126.204
AMP,current,5256,94.67102,0.03384351409755061,0.0,0.0,0.003805899143672693,96818910.66499999
AMT,current,7155,47.67217,0.040988274710394616,0.0002795248078266946,0.0,0.009784735812133072,120178264.14899999
AMZN,current,7353,10.209,0.06122049172299039,0.0,0.0,0.005168661588683352,967936538.24
ANET,current,3061,17.1175,0.07296626259675576,0.0,0.0,0.00261437908496732,191420150.0
AON,current,10560,28.39432,0.0509397654178732,9.46969696969697e-05,9.46969696969697e-05,0.043280613694478644,37047061.97849999
AOS,current,10566,4.0371585,0.10155657747892054,0.07088775317054703,0.014575052053757335,0.08575485092285849,4144047.12
APA,current,11905,17.073927,0.03543414470495472,0.0007559848803023939,0.0,0.0757728494623656,63000686.6874
APD,current,10921,29.35508,0.0487820166049643,0.0,0.0,0.03635531135531136,32350679.78912
APH,current,8747,3.96467,0.06633591194222747,0.003658397164742197,0.00022864982279638732,0.0431054196203979,30426405.759999998
APO,current,3862,25.602475,0.059916082331808125,0.0,0.0,0.010878010878010878,30853044.656999998
APP,current,1335,74.76,0.17388978063135707,0.0,0.0,0.0014992503748125937,173364618.0
