engine,convention,ticker,rule,n_bars,final_equity,total_return,n_trades,ref_equity,ref_trades,rel_error,trade_diff
manifoldbt,at_close,AAPL,SMA_CROSS,2851,39653.44088166559,2.9653440881665585,69,39653.44088166559,69,0.0,0
manifoldbt,at_close,AAPL,RSI_TREND,2851,83257.23704436366,7.325723704436365,260,83257.23704436366,260,0.0,0
manifoldbt,at_close,AAPL,MACD_CROSS,2851,85733.07150160172,7.573307150160172,202,85733.07150160172,202,0.0,0
manifoldbt,at_close,AAPL,CCI_ZERO,2851,110220.6144928469,10.02206144928469,214,110220.6144928469,214,0.0,0
manifoldbt,at_close,AAPL,BBANDS_DIP,2851,12377.94838414732,0.2377948384147321,126,12377.94838414732,126,0.0,0
manifoldbt,at_close,MSFT,SMA_CROSS,2851,26215.60444420689,1.6215604444206893,60,26215.60444420689,60,0.0,0
manifoldbt,at_close,MSFT,RSI_TREND,2851,25235.15471967275,1.5235154719672752,325,25235.15471967275,325,0.0,0
manifoldbt,at_close,MSFT,MACD_CROSS,2851,16932.912583284553,0.6932912583284554,239,16932.912583284553,239,0.0,0
manifoldbt,at_close,MSFT,CCI_ZERO,2851,25523.322244787563,1.5523322244787563,321,25523.322244787563,321,0.0,0
manifoldbt,at_close,MSFT,BBANDS_DIP,2851,26172.57829621953,1.6172578296219529,136,26172.57829621953,136,0.0,0
manifoldbt,at_close,AMZN,SMA_CROSS,2851,37750.0979591747,2.77500979591747,58,37750.0979591747,58,0.0,0
manifoldbt,at_close,AMZN,RSI_TREND,2851,36012.10427377204,2.6012104273772043,335,36012.10427377204,335,0.0,0
manifoldbt,at_close,AMZN,MACD_CROSS,2851,19198.580915230483,0.9198580915230484,239,19198.580915230483,239,0.0,0
manifoldbt,at_close,AMZN,CCI_ZERO,2851,48885.02102014825,3.888502102014825,279,48885.02102014825,279,0.0,0
manifoldbt,at_close,AMZN,BBANDS_DIP,2851,11587.746112919804,0.1587746112919805,134,11587.746112919804,134,0.0,0
manifoldbt,at_close,NVDA,SMA_CROSS,2851,555024.3777825976,54.50243777825976,62,555024.3777825976,62,0.0,0
manifoldbt,at_close,NVDA,RSI_TREND,2851,189752.78123164625,17.97527812316462,322,189752.78123164625,322,0.0,0
manifoldbt,at_close,NVDA,MACD_CROSS,2851,112126.93410010917,10.212693410010916,236,112126.93410010917,236,0.0,0
manifoldbt,at_close,NVDA,CCI_ZERO,2851,408041.47818545246,39.804147818545246,266,408041.47818545246,266,0.0,0
manifoldbt,at_close,NVDA,BBANDS_DIP,2851,22496.809980809263,1.2496809980809265,138,22496.809980809263,138,0.0,0
manifoldbt,at_close,GOOGL,SMA_CROSS,2851,53813.62026103777,4.381362026103777,60,53813.62026103777,60,0.0,0
manifoldbt,at_close,GOOGL,RSI_TREND,2851,46976.45113892787,3.6976451138927873,293,46976.45113892787,293,0.0,0
