book,signal,family,horizon,t,null_sd,p_perm
top-20,A_mom_21,A,1,0.2034471208691073,1.0768095483763336,0.8333333333333334
top-20,A_mom_21,A,5,0.3753619624513859,0.9706884636960396,0.7083333333333334
top-20,A_mom_21,A,21,-0.30144837148789877,0.9649554373864218,0.75
top-20,A_mom_63,A,1,0.5888334877886633,0.7822044053566997,0.4166666666666667
top-20,A_mom_63,A,5,0.47360142268714683,0.9172947097599589,0.6666666666666666
top-20,A_mom_63,A,21,-0.22062431968343504,0.6659696397658407,0.6666666666666666
top-20,A_mom_63_skip21,A,1,0.7829680391817355,0.9319345575791025,0.4583333333333333
top-20,A_mom_63_skip21,A,5,0.8007217595557617,0.8395597283241848,0.4583333333333333
top-20,A_mom_63_skip21,A,21,0.4649104248411439,0.7507392302979767,0.5
top-20,A_mom_126,A,1,1.8058285506993574,0.8028082662433127,0.041666666666666664
top-20,A_mom_126,A,5,1.1839674842327057,0.8114635991428105,0.20833333333333334
top-20,A_mom_126,A,21,0.7091240075651815,0.5571293285302987,0.20833333333333334
top-20,A_mom_126_skip21,A,1,1.9814982926962488,0.7145052614493481,0.04
top-20,A_mom_126_skip21,A,5,1.2924123932414113,0.5907581818662786,0.041666666666666664
top-20,A_mom_126_skip21,A,21,0.7424030606959255,0.6642185230129324,0.2916666666666667
top-20,A_mom_252,A,1,2.411187618406292,0.607609513750211,0.04
top-20,A_mom_252,A,5,1.4935664199499816,0.8873544900639837,0.041666666666666664
top-20,A_mom_252,A,21,1.1425477035026181,0.6078413415035967,0.125
top-20,A_mom_252_skip21,A,1,2.62973261639813,0.7515637155228879,0.04
top-20,A_mom_252_skip21,A,5,1.6970021251848022,0.5404263517027101,0.125
top-20,A_mom_252_skip21,A,21,1.2149536728007924,0.509946165537554,0.16666666666666666
top-20,A_mom_504,A,1,2.5494778112751564,0.5443332150646404,0.04
top-20,A_mom_504,A,5,1.6240017728932243,1.8482043374234642,0.25
top-20,A_mom_504,A,21,0.8574113390852077,1.751280438043719,0.5833333333333334
top-20,A_mom_504_skip21,A,1,2.5538564854111074,2.0076188236441093,0.16666666666666666
top-20,A_mom_504_skip21,A,5,1.7855112074372523,1.8793103877031951,0.2916666666666667
top-20,A_mom_504_skip21,A,21,1.092221844418706,1.9941642156710901,0.625
top-20,A_efficiency_63,A,1,0.7987258755562092,0.8258827790635529,0.3333333333333333
top-20,A_efficiency_63,A,5,0.6773416527746728,0.8429614972951591,0.4583333333333333
top-20,A_efficiency_63,A,21,-0.07848149492038946,0.6539189640371613,0.875
top-20,A_efficiency_252,A,1,2.002147792915684,0.5184801427742001,0.04
top-20,A_efficiency_252,A,5,0.8776359609391463,0.565336450901987,0.125
top-20,A_efficiency_252,A,21,0.904997064299183,0.3894094835845118,0.041666666666666664
top-20,B_reversal_1,B,1,1.9884038671654607,1.0983224939463814,0.041666666666666664
top-20,B_reversal_1,B,5,1.1626488096697385,0.957284962210785,0.25
top-20,B_reversal_1,B,21,-0.06072948700697694,0.8532316325983211,1.0
top-20,B_reversal_5,B,1,1.437518931641895,0.5128887253003367,0.041666666666666664
top-20,B_reversal_5,B,5,0.8643798678337464,0.9677713224514148,0.4166666666666667
top-20,B_reversal_5,B,21,1.566298475458906,1.0808558622447277,0.16666666666666666
top-20,B_reversal_10,B,1,2.0696105408097445,0.9053486284288168,0.041666666666666664
top-20,B_reversal_10,B,5,0.7349194830802124,0.9566627196107338,0.375
top-20,B_reversal_10,B,21,1.3414525979844873,0.8648329336715821,0.08333333333333333
top-20,B_reversal_21,B,1,-0.2034471208691073,0.9440360314489055,0.9583333333333334
top-20,B_reversal_21,B,5,-0.3753619624513859,0.988000263978598,0.625
top-20,B_reversal_21,B,21,0.30144837148789877,0.973287898838145,0.8333333333333334
top-20,B_reversal_63,B,1,-0.5888334877886633,0.953689902961287,0.5833333333333334
top-20,B_reversal_63,B,5,-0.47360142268714683,0.705509921083413,0.5833333333333334
top-20,B_reversal_63,B,21,0.22062431968343504,0.7947031892004915,0.5833333333333334
top-20,B_rel_reversal_5,B,1,1.437518931641895,0.9679281655432991,0.16666666666666666
top-20,B_rel_reversal_5,B,5,0.8643798678337464,0.8046075507752802,0.20833333333333334
top-20,B_rel_reversal_5,B,21,1.566298475458906,1.0186683177179365,0.16666666666666666
top-20,B_rel_reversal_21,B,1,-0.2034471208691073,1.0653920578839555,0.7916666666666666
top-20,B_rel_reversal_21,B,5,-0.3753619624513859,0.8883453689984558,0.8333333333333334
top-20,B_rel_reversal_21,B,21,0.30144837148789877,1.2238178357974034,0.7916666666666666
top-20,C_lowvol_20,C,1,-0.9777963804631206,0.6015029638910138,0.9583333333333334
top-20,C_lowvol_20,C,5,-1.9225421004702836,0.4896390780702862,0.625
top-20,C_lowvol_20,C,21,-1.928713254876775,0.5576622586954721,0.5416666666666666
top-20,C_downside_vol_20,C,1,-0.7094219214535286,0.7044302134106699,0.875
top-20,C_downside_vol_20,C,5,-1.2629754749054731,0.6180530211648735,0.875
top-20,C_downside_vol_20,C,21,-1.8102956708471343,0.560679640039316,0.25
top-20,C_lowvol_60,C,1,-1.6009377990350138,0.4668908896906817,0.5833333333333334
top-20,C_lowvol_60,C,5,-2.46638310789269,0.40051957524209686,0.20833333333333334
top-20,C_lowvol_60,C,21,-2.539883587058223,0.4262016956164259,0.16666666666666666
top-20,C_downside_vol_60,C,1,-1.6009613164227152,0.5151838021619196,0.625
top-20,C_downside_vol_60,C,5,-1.79892601512966,0.47857978891155173,0.5833333333333334
top-20,C_downside_vol_60,C,21,-2.510594030662863,0.3573593716015137,0.04
top-20,C_lowvol_126,C,1,-1.8762436470195045,0.3876655976769857,0.25
top-20,C_lowvol_126,C,5,-2.23678111084739,0.29757536733738654,0.5
top-20,C_lowvol_126,C,21,-2.4127688114626227,0.32958102584256216,0.04
top-20,C_downside_vol_126,C,1,-1.7244736441882154,0.4950128587746959,0.4583333333333333
top-20,C_downside_vol_126,C,5,-2.1583794111677492,0.4088842637024329,0.4166666666666667
top-20,C_downside_vol_126,C,21,-2.8011108118968755,0.45873197364122215,0.04
top-20,C_lowvol_252,C,1,-1.698126577214362,0.4201734188395777,0.4166666666666667
top-20,C_lowvol_252,C,5,-2.163363831791604,0.4082060113522761,0.3333333333333333
top-20,C_lowvol_252,C,21,-1.8674848554826518,0.359115269139207,0.5
top-20,C_downside_vol_252,C,1,-1.696579294656651,0.5405790731817584,0.6666666666666666
top-20,C_downside_vol_252,C,5,-2.2238611331062095,0.4731819711614334,0.25
top-20,C_downside_vol_252,C,21,-2.1385716277871794,0.43555161657480757,0.20833333333333334
top-20,C_vol_of_vol_60,C,1,-2.113779874979825,0.6860590129328827,0.2916666666666667
top-20,C_vol_of_vol_60,C,5,-2.823444617657152,0.6355366009236331,0.08333333333333333
top-20,C_vol_of_vol_60,C,21,-2.455331222132738,0.7770764158490213,0.16666666666666666
top-20,C_vol_trend_60,C,1,1.38511702100724,1.007437753385496,0.16666666666666666
top-20,C_vol_trend_60,C,5,0.4791116584202836,0.8795994722145425,0.625
