book,signal,ic_1,t_1,n_1,ic_5,t_5,n_5,ic_21,t_21,n_21
S&P-wide,momentum_12_1,0.011004085618288473,1.8587200926361975,1759,0.005040417248320505,0.3908968864476457,350,-0.014581469534636965,-0.6302970936654683,84
S&P-wide,reversal_1m,0.007651189127819778,1.716002220995223,1971,0.012566922279826913,1.3401628428127061,392,0.02329132006090269,1.2000551248132352,94
S&P-wide,reversal_1w,0.010267343472106404,2.3301349048989257,2003,0.012553034901622595,1.375064825041126,399,0.022945156737877354,1.3658375993506264,94
S&P-wide,reversal_1d,0.015851109844397644,3.7367098861981938,2011,0.012539990019796964,1.4749447669347915,400,0.00427592538971344,0.2511400089174383,95
S&P-wide,overnight_252,0.005617805760015226,1.267131307193714,1509,0.006536691448470614,0.6521616893608064,300,-0.00788513203727281,-0.4476267522232854,72
S&P-wide,overnight_21,-7.10227046340375e-05,-0.020752886172801036,1971,-0.0060240588753880785,-0.7881870782482069,392,-0.018944303378618757,-1.1811151710205643,94
S&P-wide,intraday_21,-0.009041029210655587,-2.2273113856121367,1973,-0.012346815818277842,-1.41300989376301,393,-0.020536438676254987,-1.2171900109091796,94
S&P-wide,low_vol_60,0.0026888572550670523,0.45067819379938445,1893,-0.001598889664989748,-0.12448518264879613,377,-0.012354819352876661,-0.49833888973222995,90
S&P-wide,low_vol_252,0.000793792956053593,0.11063462561794775,1509,-0.0019017797433838624,-0.12396481498278138,300,-0.015900463224944112,-0.5506536119943105,72
S&P-wide,illiquidity,0.0077045541465682165,2.737478645474558,1971,0.01458504791382056,2.471570839876345,392,0.03432039283237129,3.1010999842076377,94
S&P-wide,dollar_volume,-0.008430454207722827,-3.365352233912595,1973,-0.014007634506317002,-2.5844713415761067,393,-0.03056925996046946,-3.027390461794192,94
S&P-wide,vol_shock,-0.0013949318940888022,-0.7431060005258319,1889,-0.002485627936877567,-0.6159507024769721,376,0.008336141151372855,1.0511701654672712,90
S&P-wide,high_52w_prox,0.004880073622102564,0.7471415816594771,1511,0.00018506341877700986,0.013295570084759505,300,-0.02183582018656493,-0.7363962917202452,72
S&P-wide,skew_252,0.00045388308709172926,0.14973253830334654,1509,-0.003379128256464668,-0.5172459091691146,300,-0.012150250682618479,-0.9994540560125905,72
S&P-wide,range_21,0.0001886742798902363,0.03445604158829507,1973,-0.005873838957276311,-0.4985073599673209,393,-0.015722898268235218,-0.7346091881391499,94
top-20,momentum_12_1,0.022213345453470975,2.624493449411288,1759,0.02993770139634801,1.5534785898190182,350,0.0363408521303258,0.9327022453112216,84
top-20,reversal_1m,-0.0013754468865316645,-0.19267753961046216,1971,-0.017849470615313792,-1.1581420762925447,392,0.010830267157254837,0.3068840605805724,94
top-20,reversal_1w,0.00998555629456988,1.3882144259145772,2003,0.016767482616315218,1.1217164556308177,399,0.041609342505199175,1.2748756688184084,94
top-20,reversal_1d,0.014027095827580037,2.006738139978146,2011,0.0193627331682584,1.3255916174777096,400,0.017886822318955282,0.5186570939504729,95
top-20,overnight_252,0.012922012128435792,1.5840899598515248,1509,0.019553884711779438,1.1207507028825794,300,0.026106934001670856,0.7218367806760088,72
top-20,overnight_21,0.0085354998920486,1.3108482188119872,1971,0.010668252263311338,0.7412208041948755,392,-0.03861782114861621,-1.1984169148001027,94
top-20,intraday_21,-0.004486363451372459,-0.6574852923765022,1973,0.00997531997933766,0.6600597567518541,393,6.398976163813506e-05,0.001983723327405867,94
top-20,low_vol_60,-0.011658338408084716,-1.3277752598821815,1893,-0.03198580004387628,-1.687844088953891,377,-0.06466165413533835,-1.6330819277694164,90
top-20,low_vol_252,-0.010720066957486842,-1.0466750735542858,1509,-0.02481203007518797,-1.1476567916902296,300,-0.04755639097744361,-1.0043519724123315,72
top-20,illiquidity,-0.0006417389494372561,-0.08204998976282989,1971,0.004891054166027311,0.28340143246984845,392,-0.01270196768517035,-0.320524767816219,94
top-20,dollar_volume,0.004914885686435048,0.5747380053263887,1973,0.014651131645908665,0.7839494761368728,393,0.03892177251639736,0.9256603829245797,94
top-20,vol_shock,-0.0077330807793500956,-1.2326316647859379,1889,-0.011954087346024631,-0.8503741593444687,376,-0.03898078529657476,-1.3836168919907317,90
top-20,high_52w_prox,0.006436410155822165,0.6935762059973871,1511,0.004023332705226667,0.20012433389508164,300,-0.036028159918276806,-0.861895607759714,72
top-20,skew_252,-0.0028408746676604787,-0.44829524421242484,1509,-0.007007518796992479,-0.4950307664478641,300,-0.042710944026733505,-1.3912609897951882,72
top-20,range_21,-0.011341062649980433,-1.3542365667700582,1973,-0.02957776119688534,-1.6216511163894964,393,-0.041401375779875224,-1.099014075211118,94
