ticker,on_cagr,on_sr,on_vol,id_cagr,id_sr,id_vol,bh_cagr,bh_sr
AAPL,0.07083403198739746,0.4486672162136817,0.19561338467132125,0.15008570236656582,0.7268231451599033,0.2282674001506297,0.2315509097962467,0.845490039271179
MSFT,0.14217788030930412,0.8535074607391243,0.17351620647997684,0.09272421953121768,0.5222058208498049,0.21344212972878374,0.24808543282680562,0.9282034513903878
AMZN,0.35862978901559983,1.4382398596200738,0.23155460827154217,-0.09000453939494224,-0.24046320572227659,0.2558319959285673,0.23634694064700312,0.8029170232322695
NVDA,0.3519977036430926,1.2059891932792512,0.2838065567682826,0.13328429329406877,0.5197212006369841,0.3784351426197226,0.5321977621083658,1.1266121672042275
GOOGL,0.12730759362030586,0.733998789897568,0.18692909598753435,0.03132929944630969,0.2512012189481341,0.21452481520757566,0.1626253507889357,0.6737846134172506
META,-0.02092386531576229,0.055901801830546674,0.2615226872065539,0.07756948527222485,0.41497676955759555,0.26401684854851315,0.05502256649401227,0.3348348388467916
TSLA,0.317519814578481,0.9563276805419272,0.3540668816959526,-0.00891276087024917,0.20603475583703107,0.45342450422652203,0.30577707552932876,0.7535694458325771
JPM,0.13807739324344936,0.7650270291175085,0.19405911515438726,-0.006770996053328648,0.06564018719540188,0.19976181288776762,0.1303714757054164,0.5719421170630183
JNJ,0.05966227260591328,0.6043322351606791,0.10505700519959531,0.035074517384546366,0.3017613657668023,0.15334865418021004,0.09682941540817835,0.5909692501229964
XOM,0.08922369618665793,0.5493038127475212,0.18773109422690895,-0.01704602394839283,0.032492360785998105,0.22071903620753397,0.07065676297630263,0.38041956626596357
UNH,0.16378950664811676,1.0887370506524792,0.1496637276490442,0.07393346990543193,0.433233836683988,0.22077292917684121,0.24983250311414462,0.9729682737495198
V,0.16256374610434077,0.9606522917746337,0.17247451436856817,-0.0007493885380773779,0.09632380893479574,0.20009846829365263,0.16169253415822515,0.7050167791834324
PG,0.008057966519364745,0.1284447860710879,0.1107716017651111,0.08911477623421127,0.6131000586708929,0.16017847222718928,0.09789082663685189,0.581201283329893
HD,0.06387583120434903,0.4991617143346214,0.14547166447279095,0.10569181444245168,0.5995635184495005,0.20147436577795105,0.17631879814580698,0.7733552832466833
MA,0.14181311087639537,0.8348069507236011,0.1780134767087108,0.050173325505297406,0.33000007635513595,0.2258055566765888,0.19910167175461324,0.7762500871952058
CVX,0.1108818186936551,0.6401085421648559,0.19378908677013226,-0.0038964923618468594,0.09890825503091966,0.23043602899960078,0.10655327617220145,0.4809688958668984
ABBV,0.08250644175771282,0.5833528385361834,0.1572950646222622,0.07780066889691728,0.4417638748932756,0.22926440750206697,0.16672616701168308,0.6958581173604611
PEP,0.08873096941703329,0.8709825328020572,0.10388307245488694,0.03895335153553048,0.3182103158443091,0.16093251134304437,0.1311406895963536,0.7351432127382458
KO,0.08870099323146996,0.7517526596363486,0.12326576552499655,-0.0015420152875527116,0.06719472084296423,0.15389864919934204,0.08702219965633362,0.5390202371966645
WMT,0.010215063028290228,0.14291012130028966,0.13590755130998297,0.0769259524093111,0.5086835065427652,0.17617106026621518,0.087926818889974,0.4920573752460459
