book,signal,mode,turnover,sr_0,sr_1,sr_5,sr_10,sr_20,ex_5,floor,pass
top-20,C_idio_vol_126,long,1.2706129303004496,0.8877737164773215,0.887044769475701,0.8841283455493154,0.8804813986670612,0.8731828694351463,-0.1863281941841648,0.3095297113171836,False
top-20,C_idio_vol_126,ls,2.3019319838886734,-0.9569958962821928,-0.9584998400636462,-0.9645128198523287,-0.9720226664996235,-0.9870205402737345,-0.9645128198523287,1.0278649791138956,False
top-20,A_mom_252_skip21,long,5.875278584844787,1.332051139929678,1.3300597848301308,1.3220924481042122,1.312129031029665,1.292188458835538,0.251635908370732,0.801953506034676,False
top-20,A_mom_252_skip21,ls,8.4733319224492,0.9175220971001925,0.9118790445674582,0.8893012551850022,0.8610674493298753,0.8045675120370686,0.8893012551850022,0.9735850669628384,False
top-20,A_mom_252,long,5.028739915278667,1.273134250145468,1.2713979277163,1.2644514496388015,1.2557657247057346,1.2383858116057938,0.1939949099053213,0.8085113426127993,False
top-20,A_mom_252,ls,7.801819536371416,0.8259420231583685,0.8208218489266649,0.8003379711487221,0.7747267257662305,0.7234877134283074,0.8003379711487221,0.9760114039944161,False
S&P-PIT,B_reversal_21,long,12.090722789019505,0.6003556285922222,0.5953785819864098,0.5754602888050421,0.5505419293079714,0.5006511572232059,-0.05885351145766027,0.4190197013526685,False
S&P-PIT,B_reversal_21,ls,17.245872707816826,0.6062830016874986,0.5863311907066892,0.5063980609473447,0.4063433730650254,0.2066845895304976,0.5063980609473447,1.245353695762031,False
S&P-PIT,B_rel_reversal_21,long,12.090722789019505,0.6003556285922218,0.5953785819864095,0.5754602888050419,0.5505419293079712,0.5006511572232056,-0.05885351145766049,0.4190197013526703,False
S&P-PIT,B_rel_reversal_21,ls,17.245872707816826,0.6062830016874987,0.5863311907066893,0.506398060947345,0.40634337306502544,0.20668458953049765,0.506398060947345,1.245353695762031,False
S&P-PIT,B_reversal_10,long,35.70298512287979,0.6938344052027967,0.6793872872876608,0.6215812098119391,0.5492952068783397,0.404699487040046,-0.012732590450763248,0.43687932306030325,False
S&P-PIT,B_reversal_10,ls,50.64396767938253,0.43719565334910065,0.38242418565621317,0.16330404121444975,-0.11006455915949662,-0.6512576833584627,0.16330404121444975,1.1372318926315406,False
S&P-PIT,B_reversal_5,long,49.3578868241847,0.7007420399423822,0.6803308198656219,0.5986457308256344,0.49647987933484355,0.2921460813243577,-0.035668069437067906,0.4498894800389818,False
S&P-PIT,B_reversal_5,ls,72.33370264021804,0.5213814230857631,0.44407707667799373,0.13454966119390788,-0.25137986110235205,-1.00968627428112,0.13454966119390788,1.314596601226097,False
S&P-PIT,B_reversal_1,long,47.93753851249324,0.7572493521906466,0.7369208951434608,0.6555669160945762,0.553814527549096,0.3503026898370992,0.021253115831873837,0.40450975089837016,False
S&P-PIT,B_reversal_1,ls,72.72203710445693,0.6556489846079253,0.5704608446588311,0.22883335043169886,-0.19792306948219948,-1.0366258909394828,0.22883335043169886,1.3127915823389704,False
S&P-PIT,F_on_share_21,long,5.55245137494441,0.5824486710179635,0.5797085180433943,0.5687445550974024,0.5550324891536216,0.5275873611141276,-0.06556924516529994,0.1665167173392863,False
S&P-PIT,F_on_share_21,ls,19.115918732925945,-0.2635096873700736,-0.29646887950197837,-0.4279279560619129,-0.5907634117404658,-0.9076477829416778,-0.4279279560619129,1.0716053285070621,False
S&P-PIT,A_mom_21,long,11.643595256482424,0.46298577157016935,0.45731096326534937,0.4346006625889421,0.406191217861237,0.349321576731322,-0.19971313767376025,0.45666964735920307,False
S&P-PIT,A_mom_21,ls,17.245872707816826,-0.6062830016874986,-0.6262183642621819,-0.705756926171423,-0.8045809840319345,-0.9993532301693844,-0.705756926171423,1.245353695762031,False
S&P-PIT,I_idio_mom_252,long,4.756716486839921,0.65748187621819,0.6549898861472301,0.6450209530189985,0.6325576966738935,0.6076248445696203,0.01070715275629619,0.7269049859955791,False
S&P-PIT,I_idio_mom_252,ls,7.6902092634895975,-0.022007900084618465,-0.029494796900896212,-0.05943893104730788,-0.09685893174217064,-0.17164988702352107,-0.05943893104730788,1.1539463128186165,False
