tilt,freq,turnover_per_year,rho,gross_sharpe,gross_excess,threshold,threshold_1trial,sr_0,ex_0,cagr_0,sr_1,ex_1,cagr_1,sr_5,ex_5,cagr_5,sr_10,ex_10,cagr_10,sr_20,ex_20,cagr_20
overnight_share,W-FRI,3.26177615737201,0.9541336020193214,1.2385320006397287,0.1767647838522548,0.3838003738821307,0.18323338915150905,1.2385320006397287,0.1767647838522548,0.2819787521782635,1.2370478986906759,0.175280681903202,0.28156084477791876,1.2311106641805376,0.16934344739306373,0.27989052516307833,1.2236872860124608,0.16192006922498692,0.2778055701334874,1.2088345718344904,0.1470673550470165,0.2736454561871804
overnight_share,ME,1.7443380567530233,0.9526263695419792,1.2306007884767634,0.16905389241809754,0.3900555034507523,0.18621970357024475,1.2306007884767634,0.16905389241809754,0.2802766345396348,1.2298080125407775,0.16826111648211173,0.2800533996786849,1.2266359318715412,0.16508903581287537,0.2791607966207368,1.2226686477659827,0.1611217517073169,0.27804579932800677,1.214726895969184,0.15317999991051812,0.2758183243658321
momentum_12_1,W-FRI,5.096836961597257,0.9050640546504582,1.2307476641827162,0.16898044739524232,0.5521707734746345,0.2636165285374103,1.2307476641827162,0.16898044739524232,0.29937523363721796,1.228572196431277,0.16680497964380314,0.2987131165446222,1.2198692444038541,0.15810202761638026,0.2960679197089857,1.2089881819597306,0.1472209651722567,0.29276877284690617,1.187218528490985,0.1254513117035112,0.2861949020233925
momentum_12_1,ME,2.5164164730776983,0.9018012565410036,1.2166326242381031,0.15508572817943733,0.561579235434847,0.2681083020972824,1.2166326242381031,0.15508572817943733,0.29636627674580174,1.2155647547930393,0.15401785873437346,0.2960401924064826,1.2112917828137284,0.1497448867550626,0.29473657867730085,1.2059472371195257,0.14440034106085986,0.2931086886168599,1.1952472414889037,0.1337003454302379,0.28985832544461165
overnight_sharpe,W-FRI,3.675067424576969,0.9789506088474793,1.1567575760855902,0.09499035929811628,0.2600026923708097,0.12413008885252362,1.1567575760855902,0.09499035929811628,0.23939087724706898,1.1549487425814131,0.09318152579393923,0.238935638224667,1.147712382637117,0.08594516584964307,0.23711629575306503,1.138664665220098,0.07689744843262414,0.23484574414748804,1.1205619309984722,0.058794714210998356,0.23031670293486473
overnight_sharpe,ME,1.9315587796805136,0.9778743210859694,1.139798629398076,0.07825173333941016,0.26656699655549354,0.1272640089449268,1.139798629398076,0.07825173333941016,0.2345387151727898,1.138837863204435,0.07729096714576911,0.23430003305611757,1.1349937196577546,0.07344682359908883,0.2333457083617343,1.130186137114515,0.06863924105584918,0.2321537105256739,1.1205631146744273,0.05901621861576145,0.22977273874184712
equal_weight_ctrl,ME,0.6826421158320565,1.0,1.0615468960586658,0.0,4.007219002104508e-05,1.9131203844356735e-05,1.0615468960586658,0.0,0.2053063475623127,1.0611906422993929,-0.0003562537592729509,0.20522396386661024,1.0597652229791237,-0.0017816730795421343,0.20489446678506829,1.057982542519171,-0.0035643535394949133,0.20448268023779503,1.054414181673978,-0.007132714384687766,0.20365938967841646
reversal_5d,ME,6.817067737423809,0.9711888421274718,1.0753692420145373,0.013822345955871507,0.3041854466931003,0.14522375203641644,1.0753692420145373,0.013822345955871507,0.21763384210563452,1.0719763220842538,0.01042942602558794,0.21680355612272617,1.0583957379920208,-0.00315115806664501,0.2134875584234277,1.041400735444936,-0.02014616061372987,0.20935411874143228,1.007351330886296,-0.054195565172369786,0.20112562784843413
equal_weight_ctrl,W-FRI,1.2467312356859426,1.0,1.0617672167874739,0.0,4.007219002104508e-05,1.9131203844356735e-05,1.0617672167874739,0.0,0.20621362210373984,1.0611241894704884,-0.0006430273169855116,0.20606325304145212,1.058551693028532,-0.0032155237589419627,0.20546194565557951,1.055335207025151,-0.006432009762322943,0.2047106912196559,1.0488993862518887,-0.012867830535585156,0.20320944741192837
low_beta_proxy,W-FRI,1.580189225378098,0.9737869371829335,1.0489957055844734,-0.012771511203000463,0.29014624877310735,0.1385211795771224,1.0489957055844734,-0.012771511203000463,0.17941366219923194,1.048071020457336,-0.013696196330137855,0.17922730680682708,1.0443716042973534,-0.01739561249012045,0.17848215434748438,1.0397458284252283,-0.022021388362245542,0.17755131898649235,1.0304893499732455,-0.031277866814228394,0.17569166383840962
low_beta_proxy,ME,0.9212603632484235,0.9745918104774489,1.034606060874187,-0.026940835184478873,0.2856570428580634,0.1363779497358062,1.034606060874187,-0.026940835184478873,0.1775434644534859,1.034068210902931,-0.027478685155734706,0.1774349297394957,1.0319160338483417,-0.02963086221032407,0.1770008630687132,1.0292240735881675,-0.032322822470498336,0.17645844210672856,1.0238344180846577,-0.03771247797400812,0.17537414118338246
inverse_vol_252d,W-FRI,1.4121150416581074,0.9666782882903756,1.011726120373781,-0.05004109641369281,0.32713101960439267,0.15617839246063442,1.011726120373781,-0.05004109641369281,0.17192648817749911,1.010899143498281,-0.05086807328919285,0.17176098037282528,1.0075906394382594,-0.05417657734921444,0.17109915964292455,1.003453679202289,-0.05831353758518487,0.17027235713094613,0.9951754015323574,-0.06659181525511648,0.16862032884620048
inverse_vol_252d,ME,0.8411026140919935,0.9672005636730798,0.9906883987941314,-0.07085849726453441,0.3245572134891568,0.1549496098704997,0.9906883987941314,-0.07085849726453441,0.1679951692035393,0.9901964670730661,-0.07135042898559973,0.16789691326697942,0.988228065610939,-0.0733188304477268,0.16750394777250976,0.9857660538546673,-0.0757808422039985,0.16701287193826309,0.9808370471968639,-0.08070984886180188,0.16603115684251768
inverse_vol_60d,W-FRI,3.655897876289073,0.9603665876355222,0.9648540868943235,-0.09691312989315037,0.3567703947317096,0.17032877772987626,0.9648540868943235,-0.09691312989315037,0.15968554797905066,0.9626818404635112,-0.09908537632396264,0.15926185817512506,0.9539914940459605,-0.10777572274151337,0.15756859311289073,0.9431255698378322,-0.11864164694964163,0.15545536979929597,0.9213841969024054,-0.14038301988506852,0.1512400923293833
