dropped,sharpe,delta
NVDA,0.6058185635295409,-0.28348269165546136
TSLA,0.7106697962960564,-0.17863145888894583
XOM,0.8210224317530928,-0.0682788234319095
MA,0.8717300546710104,-0.017571200513991858
AMZN,0.8767468281755081,-0.012554427009494162
MSFT,0.8769965298299132,-0.012304725355089086
V,0.8793692366496146,-0.00993201853538761
CVX,0.8794979018168934,-0.009803353368108891
UNH,0.8836766092886501,-0.005624645896352143
PEP,0.8846356008742586,-0.004665654310743617
PG,0.888678771228416,-0.0006224839565862617
KO,0.8956974714525272,0.006396216267524957
META,0.8988482893632067,0.009547034178204461
JNJ,0.9031182896964325,0.013817034511430237
ABBV,0.9044023551495094,0.015101099964507148
WMT,0.9115033536255343,0.022202098440532003
GOOGL,0.9214403280912681,0.03213907290626583
HD,0.9275751853636792,0.038273930178676974
AAPL,0.9275881900487426,0.03828693486374035
JPM,0.9469757565076926,0.057674501322690364
