arm,signal,lam,rho,turnover,bench_sharpe,ex_0,cagr_0,ex_1,cagr_1,ex_5,cagr_5,ex_10,cagr_10,ex_20,cagr_20,t,floor
survivor-biased,illiquidity,0.5,0.9955043567792526,1.2849027516992726,0.7594609506906177,-0.010043492535764753,0.14345164557825707,-0.01066732692156147,0.1433044280213227,-0.013163036143321594,0.14271571544949224,-0.016283499990780825,0.14198017934369145,-0.022527128660109086,0.14051028842252977,-0.359283091552494,0.12125602689930162
survivor-biased,illiquidity,1.0,0.9654244293184959,2.6829186332332564,0.7594609506906177,0.06069787703118601,0.17340982010644024,0.05949894516771226,0.1730942327640148,0.054701967240878946,0.171832605560025,0.048702987292961186,0.1702571953672154,0.03669619075431496,0.16711178097684787,0.5383874041538282,0.33627307367877846
survivor-biased,neg_dollar_volume,0.5,0.9959886964710549,1.4007109936051811,0.7594609506906177,0.02965960397587286,0.1506382543783138,0.028968255129321663,0.1504767947941843,0.02620248147187665,0.14983115199771913,0.02274442315197356,0.14902453830221107,0.015825564845968088,0.14741277586666834,0.757140162537099,0.11453815359776096
survivor-biased,neg_dollar_volume,1.0,0.9826843639886006,2.361060434790993,0.7594609506906177,0.1441655681510734,0.18207197745211778,0.14302681891370184,0.18179240270707475,0.13847102038552994,0.18067469787945512,0.13277450088665532,0.1792789028339694,0.1213757615627582,0.1764917606344436,1.925822660984784,0.23797242655598147
survivor-biased,momentum_12_1,0.5,0.9434040888867443,1.6893346884912694,0.7594609506906177,0.1307963842095925,0.1632514345604803,0.12990146427522709,0.16305469028889719,0.1263210462505605,0.16226800204897374,0.12184388318182715,0.16128529136915293,0.11288421922350633,0.1593220336100023,0.9717617718257399,0.4302292594190031
survivor-biased,momentum_12_1,1.0,0.8675037515185868,3.3415972528966087,0.7594609506906177,0.254734939678397,0.20938150017818224,0.2531276636558276,0.20897719983775231,0.246696248096819,0.20736120610789288,0.2386518735107085,0.20534392872077034,0.2225467141490095,0.20131840803700718,1.2403303704087296,0.6582777952703077
point-in-time,illiquidity,0.5,0.9950012140112069,1.227396004157476,0.6392229874722059,-0.04336105288665548,0.10762979948562901,-0.043955615391030545,0.10749353457769129,-0.0463341202785591,0.10694861360437558,-0.04930781687209307,0.106267774270282,-0.05525704448899538,0.10490713458426981,-1.2233346950727195,0.12535442467295418
point-in-time,illiquidity,1.0,0.9632708605609639,2.4326061757046356,0.6392229874722059,-0.0504028590809259,0.1141254784704544,-0.05148032076561093,0.11385369851593863,-0.05579085467826239,0.11276713670435146,-0.06118052496155246,0.1114101892255992,-0.07196460115254055,0.10870047227455171,-0.5434183272041972,0.3397917049125619
point-in-time,neg_dollar_volume,0.5,0.9946457367596446,1.4255138688358893,0.6392229874722059,-0.03436718912814618,0.10765403906378146,-0.035073046139145636,0.10749582324741658,-0.03789674024228662,0.10686315544771219,-0.04142694615517428,0.10607276032821678,-0.04848925336521115,0.10449343446072445,-0.9667821837622002,0.1297350297370316
point-in-time,neg_dollar_volume,1.0,0.9624752930653063,2.485989375274322,0.6392229874722059,-0.029421967987436237,0.11102226543809701,-0.030623556559004617,0.11074550485084678,-0.035430379568570536,0.10963908298950731,-0.04143992568606236,0.10825745081957638,-0.05346217303289946,0.10549883105109092,-0.34142380152133234,0.3434520007132782
point-in-time,momentum_12_1,0.5,0.9414232013835192,1.6771260901299367,0.6392229874722059,0.09750248302875986,0.1280086451614293,0.09660126019371029,0.12781919069501924,0.09299578510452522,0.127061648775749,0.08848764898195904,0.12611534198646668,0.07946720338715585,0.12422479540121523,0.717260793163272,0.42911155806885154
point-in-time,momentum_12_1,1.0,0.8519738308960918,3.2724817814820137,0.6392229874722059,0.13289161875650968,0.14691908149775257,0.13128625863103371,0.14654350528938953,0.12486312420174095,0.14504229831635107,0.11683049092055497,0.1431682576553941,0.10075344949490506,0.13942838970606886,0.6058171875715218,0.6821449148403885
