signal,lam,turnover,rho,max_weight,se_d,ex_0,cagr_0,ex_1,cagr_1,ex_5,cagr_5,ex_10,cagr_10,ex_20,cagr_20,t,floor
overnight,0.0,0.6826421158320565,1.0,0.07436730774474663,1.1630946079873384e-05,0.0,0.20530634756231292,-0.000356253759273395,0.20522396386661024,-0.0017816730795423563,0.20489446678506829,-0.0035643535394949133,0.20448268023779503,-0.007132714384687766,0.20365938967841646,-153.18384827055718,4.291413598094323e-05
overnight,0.25,0.8640611444304066,0.9927600152784004,0.15000208531049752,0.04425872157566804,0.06115474482543348,0.22874869242676366,0.06072306285650608,0.22864245390320348,0.05899587290756103,0.22821756948846494,0.05683585011218262,0.22768662070847312,0.052512380632802724,0.22662524535371786,1.3329773388663575,0.16329925209846738
overnight,0.5,1.3503176661858696,0.9625318237415185,0.27538577067457815,0.10068419856933304,0.1270481950735287,0.2669977669714283,0.12642905639158464,0.26682663015697394,0.12395183738216153,0.2661422767109687,0.12085382741508433,0.26528727082941095,0.11465290692091434,0.26357871119914433,1.2310952378173419,0.3714895898291091
overnight,1.0,2.3415990132570745,0.8286176738926421,0.624268729191971,0.21533422257375096,0.17158286832608827,0.3767503433319852,0.1707856555658518,0.37642812480670096,0.16759567835094047,0.3751398891217015,0.16360569000241187,0.3735310301378594,0.15561743214457535,0.37031809242714275,0.7783048897094829,0.7945082064193734
overnight,1.5,2.9916385793446625,0.7256566305510612,0.8768529402401921,0.27244401657218204,0.1373096215485481,0.4655764704762375,0.13651789131523584,0.4651384328145809,0.1333496221562558,0.46338734525935554,0.12938627278035741,0.46120087618615835,0.12144966160103943,0.4568358959133543,0.4894569674681249,1.005223435314924
overnight,2.0,3.3115536223525113,0.6866001304642956,0.9676492532968902,0.291192004405212,0.11667160377357444,0.5086240153661521,0.1158923451406697,0.5081250029734472,0.11277377360035823,0.5061302359610924,0.10887212429479809,0.5036396610242408,0.1010575246372023,0.49866811171136205,0.3872832079668865,1.074396974054644
overnight,3.0,3.4839312436713556,0.6639722013235472,0.9979020575461984,0.3015210547543916,0.11221474433311363,0.5436850078105322,0.11145561618813127,0.5431480852828361,0.10841721929926207,0.5410017316648941,0.10461501125585504,0.5383217949881154,0.09699673186185853,0.5329719282928582,0.35956765734842266,1.112507568686816
momentum,0.0,0.6826421158320565,1.0,0.07436730774474663,1.1630946079873384e-05,0.0,0.20530634756231292,-0.000356253759273395,0.20522396386661024,-0.0017816730795423563,0.20489446678506829,-0.0035643535394949133,0.20448268023779503,-0.007132714384687766,0.20365938967841646,-153.18384827055718,4.291413598094323e-05
momentum,0.25,1.0709819977827049,0.9918558510061423,0.15036257246638637,0.0469410603202829,0.08568955162098635,0.23347605973208396,0.08515213841309888,0.2333439162648263,0.08300192557617292,0.23281545768398693,0.08031290587165452,0.23215514378104452,0.07493072789912736,0.23083537990856873,1.7682158223492106,0.17319614688611887
momentum,0.5,1.7297278755484442,0.9562597607457318,0.27757457338730745,0.10878540109480717,0.18595801923652688,0.2809580777524765,0.18515912994952255,0.2807365316000008,0.18196258230402407,0.27985067775182304,0.17796468439012814,0.2787441043263317,0.1699616075313788,0.2765334350076858,1.6726746463474682,0.4013802027164781
momentum,1.0,3.07226878353468,0.794456196811527,0.6321441284935039,0.23582086835966254,0.2927607642821086,0.430787316777008,0.29172570270425946,0.4303482781343917,0.28758348314315985,0.42859327914203815,0.28240130347639725,0.4264021285002546,0.2720224798050046,0.4220284751940777,1.2194997208836984,0.8700967868334267
momentum,1.5,3.8721816536465057,0.6796042958740528,0.8848354481726629,0.29442411779497607,0.2830423333676959,0.5554956269828037,0.28203176201681934,0.5548946841332514,0.2779871035299326,0.5524928268168563,0.27292598099005216,0.5494948081141615,0.2627863253920011,0.54351309018147,0.9441723239653571,1.0863223456075377
momentum,2.0,4.186393441241902,0.642551419238116,0.9720551484260019,0.3109831288399848,0.2663299327959048,0.6043095890264949,0.26534250411420834,0.6036400694181527,0.2613901426585137,0.6009642155364217,0.256443779227036,0.5976243990969852,0.2465316237775974,0.5909614085404287,0.8405283708911778,1.1474193231719958
momentum,3.0,4.374265870352844,0.6267017933961142,0.9986006856763738,0.3178029995681858,0.24167640759362818,0.6199562089574555,0.24070124839349272,0.6192507586015736,0.23679747788323935,0.6164312746884315,0.231910764664637,0.6129121300839768,0.22211432772528505,0.6058911824801043,0.7451077497852048,1.172582268455434
overnight_resid_of_mom,0.0,0.6826421158320565,1.0,0.07436730774474663,1.1630946079873384e-05,0.0,0.20530634756231292,-0.000356253759273395,0.20522396386661024,-0.0017816730795423563,0.20489446678506829,-0.0035643535394949133,0.20448268023779503,-0.007132714384687766,0.20365938967841646,-153.18384827055718,4.291413598094323e-05
overnight_resid_of_mom,0.25,1.1992602415956866,0.9965428549690154,0.11458874624515138,0.030583616533680497,-0.00601665099329507,0.20736241807198197,-0.006628934840505307,0.20721757030501387,-0.009078649497142655,0.2066383245817509,-0.012142087915836708,0.20591459434845794,-0.01827322940046172,0.2044682229556094,-0.29684682604965,0.11284288223006501
overnight_resid_of_mom,0.5,2.1516843090236035,0.9851038159066451,0.21118542820870234,0.06348447839186319,-0.026999570785811278,0.2087380465164872,-0.028062464429450262,0.20847793581117346,-0.03231522503131434,0.2074379878559518,-0.037633814080362926,0.20613916573140867,-0.0482795945451735,0.20354522689927146,-0.5090256051541598,0.23423559181501488
overnight_resid_of_mom,1.0,4.203019485649496,0.9341065930670417,0.5097121795035359,0.13352144434120145,-0.11490591390973581,0.2067719868379123,-0.11677441838492197,0.20626488221292094,-0.12425156034511153,0.20423836700011488,-0.13360486595922916,0.2017095006369145,-0.15233344619316624,0.1966659967559412,-0.9305738187462862,0.49264757823489447
overnight_resid_of_mom,1.5,6.0631134308839965,0.8650382431233851,0.782446021427241,0.19108887418331638,-0.22011844057103191,0.19984523743749505,-0.2224943118522683,0.19911816151431627,-0.23200258386140538,0.19621377652708127,-0.24389837292393457,0.19259209843158698,-0.26772274008013874,0.18537799787565046,-1.214108277381128,0.7050513238418746
