book,lam,turnover,rho,se_d,floor,ex_0,cagr_0,ex_1,cagr_1,ex_5,cagr_5,ex_10,cagr_10,ex_20,cagr_20,t
S&P-wide (501),0.25,1.0768127113227919,0.9541201992054364,0.11527908545054599,0.3394962627946686,0.03423668248141454,0.13900058080256783,0.03364542630915446,0.1388777548745852,0.031279972992079186,0.13838655876761963,0.028322200469927727,0.13777280567523964,0.022403523288349714,0.13654610585265958,0.2713412660226048
S&P-wide (501),0.5,1.8360053805963914,0.9428787638471249,0.12862890107480487,0.3788113952466697,0.05037660676820832,0.14387920546371213,0.0493804545952522,0.14366893175942952,0.04539506896394241,0.14282817460901542,0.0404116159894603,0.14177798755920779,0.03043914585906471,0.13968014246301874,0.3529150026520296
S&P-wide (501),1.0,3.596326797487848,0.8874545802741195,0.1805525694242581,0.5317263085315382,0.09076440852582024,0.165464661289229,0.08897906234995756,0.1650452069080266,0.08183543704940244,0.16336873935765506,0.07290099407528128,0.16127618947573708,0.05501656135664457,0.15710118664070682,0.4532499166882942
top-20,0.25,0.9888232129076845,0.9415615969548314,0.12960818155411372,0.38169537078875315,0.046707079036294674,0.21715456801833954,0.04618301905615718,0.21703415516175917,0.04408618553764665,0.21655259777687363,0.04146381474117988,0.21595086258205898,0.036214685967489,0.21474809695282038,0.3401497112992044
top-20,0.5,1.6257178002483357,0.9050744859760884,0.16518656658760283,0.4864735159998463,0.1489845924053801,0.2637985521348787,0.14819668570909683,0.2635930570727616,0.14504405676167376,0.2627713620616612,0.14110103138361252,0.261744884819467,0.1332076160702893,0.259694067079697,0.8780620589069089
top-20,1.0,2.8923415098268155,0.7453460845816058,0.2705567831812816,0.7967882153540933,0.25408108222186176,0.4120768525243459,0.2530793453789262,0.4116687805160386,0.2490705715447339,0.4100375011127153,0.24405552653537188,0.4080006696860554,0.23401204620184668,0.4039345561979495,0.9205852043925608
