timeframe,cost_bps,indicator,n_tickers,total_pnl_dollars,avg_total_return,median_total_return,avg_cagr,avg_sharpe,avg_max_drawdown,avg_excess_sharpe,avg_excess_cagr,beat_buyhold_rate,win_rate,avg_exposure,avg_turnover,avg_trades,n_sharpe,rankable,generic_fallback,is_baseline
1h,0.0,ACCBANDS,20,-60613.06438938012,-0.3030653219469006,-0.44435300026742647,-0.0812573398512824,-0.16523664185447434,-0.6739322569824304,-0.8323918534588515,-0.2711343480661029,0.0,0.15,0.9971011375251854,62.59803532865472,206.25,20,True,False,False
1h,0.0,ACOS,20,0.0,0.0,0.0,0.0,,0.0,,-0.1898770082148205,0.0,0.0,0.0,0.0,0.0,0,False,True,False
1h,0.0,AD,20,-72782.43989412223,-0.36391219947061115,-0.7000922539612753,-0.10839561010418253,-0.2600812126319757,-0.7098369387738447,-0.9272364242363528,-0.2982726183190031,0.0,0.2,0.9931276581931806,406.81876210723493,1341.3,20,True,False,False
1h,0.0,ADD,20,8343.725196951977,0.041718625984759894,-0.2797761672576334,-0.030464222307722267,0.006682104326092367,-0.6387011024532826,-0.6604731072782848,-0.22034123052254279,0.0,0.35,0.9983533885040105,326.49858001142536,1073.65,20,True,True,False
1h,0.0,ADOSC,20,6311.385038215338,0.03155692519107666,-0.4723280863647789,-0.08188145272540456,-0.20534762321777728,-0.7040125220493187,-0.8725028348221546,-0.2717584609402251,0.0,0.2,0.9992200261334787,370.7355595426437,1219.05,20,True,False,False
1h,0.0,ADX,20,-2565.7024629398943,-0.012828512314699475,-0.16324560708675634,-0.03226355191145719,0.03739271130866366,-0.5992529218225731,-0.6297625002957136,-0.22214056012627773,0.05,0.25,0.9960134669044465,204.13199436835964,671.45,20,True,True,False
1h,0.0,ADXR,20,3442.961947988062,0.01721480973994032,-0.06321169069489407,-0.02078062617617118,0.06210764971139258,-0.6104820014438073,-0.6050475618929847,-0.2106576343909917,0.1,0.45,0.9948868379861378,175.8830081808593,578.6,20,True,True,False
1h,0.0,APO,20,-49451.66089306853,-0.24725830446534264,-0.40117945084475104,-0.0596627370262333,-0.057364894836520665,-0.6368252700108568,-0.7245201064408979,-0.2495397452410538,0.0,0.3,0.9978334059263295,146.26490817797622,481.25,20,True,False,False
1h,0.0,AROON,20,-11169.729385397068,-0.055848646926985365,-0.2984005057535827,-0.05697062404975608,-0.1153172117816478,-0.6415769861507991,-0.782472423386025,-0.2468476322645766,0.0,0.2,0.9903453151031947,226.46342950587353,771.15,20,True,False,False
1h,0.0,AROONOSC,20,-11169.729385397068,-0.055848646926985365,-0.2984005057535827,-0.05697062404975608,-0.1153172117816478,-0.6415769861507991,-0.782472423386025,-0.2468476322645766,0.0,0.2,0.9903453151031947,226.46342950587353,771.15,20,True,False,False
1h,0.0,ASIN,20,0.0,0.0,0.0,0.0,,0.0,,-0.1898770082148205,0.0,0.0,0.0,0.0,0.0,0,False,True,False
1h,0.0,ATAN,20,779.9712372663735,0.0038998561863318572,-0.3421533232122141,-0.0403534733668138,-0.044345416474445655,-0.6480554161848228,-0.7115006280788229,-0.23023048158163434,0.0,0.25,0.9983533885040105,366.29360520870426,1204.45,20,True,True,False
1h,0.0,ATR,20,-94122.77468667057,-0.4706138734333528,-0.5980273292576853,-0.14204823851743287,-0.3673093709667367,-0.7313018458917565,-1.034464582571114,-0.33192524673225343,0.05,0.1,0.997140095822755,449.4280609723617,1477.7,20,True,True,False
1h,0.0,AVGDEV,20,-23006.843584567272,-0.11503421792283637,-0.37729686811399527,-0.040321961713659045,-0.028224636672097625,-0.6516775139975468,-0.6953798482764748,-0.23019896992847957,0.05,0.3,0.997226759585702,302.5089969653581,994.8,20,True,True,False
1h,0.0,AVGPRICE,20,-63608.50643959904,-0.3180425321979952,-0.5545923960895665,-0.12517369748619261,-0.33868190561285233,-0.7339899749915718,-1.0058371172172296,-0.3150507057010131,0.0,0.2,0.9996100275522842,1755.7721778083621,5775.9,20,True,False,False
1h,0.0,BBANDS,20,0.0,0.0,0.0,0.0,,0.0,,-0.1898770082148205,0.0,0.0,0.0,0.0,0.0,0,False,False,False
