timeframe,ticker,indicator,cost_bps,n_bars,bars_per_year,total_return,pnl_dollars,cagr,sharpe,max_drawdown,exposure,n_trades,turnover_per_year,base_total_return,base_cagr,base_sharpe,excess_total_return,excess_cagr,excess_sharpe,beat_buyhold
1h,AAPL,ACCBANDS,0.0,11544,1755.9227145348384,0.18047236470680494,1804.7236470680493,0.02556016069806577,0.23407140498390372,-0.4435237618603105,0.9975744975744976,202,61.30441427337259,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.108811541681476,-0.22239350159365934,-0.6534902240406155,False
1h,AAPL,ACCBANDS,1.0,11544,1755.9227145348384,0.13315543872477775,1331.5543872477774,0.019197909407890457,0.21345337975509818,-0.4519414667932712,0.9975744975744976,202,61.30441427337259,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.1561284676635033,-0.22875575288383465,-0.674108249269421,False
1h,AAPL,ACCBANDS,5.0,11544,1755.9227145348384,-0.037971173420120796,-379.71173420120795,-0.0058713973490520655,0.13137585639092478,-0.48437405884813445,0.9975744975744976,202,61.30441427337259,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.3272550798084017,-0.2538250596407772,-0.7561857726335944,False
1h,AAPL,ACCBANDS,10.0,11544,1755.9227145348384,-0.21615516433522874,-2161.5516433522876,-0.03637009616723652,0.029713598813588864,-0.5235047918403131,0.9975744975744976,202,61.30441427337259,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.5054390707235097,-0.28432375845896163,-0.8578480302109304,False
1h,AAPL,ACOS,0.0,11544,1755.9227145348384,0.0,0.0,0.0,,0.0,0.0,0,0.0,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.289283906388281,-0.2479536622917251,,False
1h,AAPL,ACOS,1.0,11544,1755.9227145348384,0.0,0.0,0.0,,0.0,0.0,0,0.0,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.289283906388281,-0.2479536622917251,,False
1h,AAPL,ACOS,5.0,11544,1755.9227145348384,0.0,0.0,0.0,,0.0,0.0,0,0.0,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.289283906388281,-0.2479536622917251,,False
1h,AAPL,ACOS,10.0,11544,1755.9227145348384,0.0,0.0,0.0,,0.0,0.0,0,0.0,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.289283906388281,-0.2479536622917251,,False
1h,AAPL,AD,0.0,11544,1755.9227145348384,0.2439998491350901,2439.998491350901,0.03377037187265519,0.26067318719527294,-0.4024659460013842,0.9891718641718642,1350,409.05104213672183,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.045284057253191,-0.21418329041906992,-0.6268884418292462,False
1h,AAPL,AD,1.0,11544,1755.9227145348384,-0.05063433248144056,-506.3433248144056,-0.007873192960196174,0.12360579079616255,-0.41610280784312437,0.9891718641718642,1350,409.05104213672183,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.3399182388697217,-0.2558268552519213,-0.7639558382283567,False
1h,AAPL,AD,5.0,11544,1755.9227145348384,-0.6781521387433395,-6781.521387433395,-0.15840383628760601,-0.4180305569485302,-0.7355308789598412,0.9891718641718642,1350,409.05104213672183,3.289283906388281,0.2479536622917251,0.8875616290245192,-3.9674360451316204,-0.4063574985793311,-1.3055921859730493,False
1h,AAPL,AD,10.0,11544,1755.9227145348384,-0.9168444890156855,-9168.444890156856,-0.3149950985592701,-1.0783789335191645,-0.9299510040387148,0.9891718641718642,1350,409.05104213672183,3.289283906388281,0.2479536622917251,0.8875616290245192,-4.206128395403967,-0.5629487608509952,-1.9659405625436837,False
1h,AAPL,ADD,0.0,11544,1755.9227145348384,0.40423483565932194,4042.3483565932193,0.05300044205426668,0.3222626580939071,-0.4323710488599709,0.9983541233541233,1054,320.51712375681404,3.289283906388281,0.2479536622917251,0.8875616290245192,-2.885049070728959,-0.19495322023745842,-0.5652989709306121,False
