timeframe,rule,cost_bps,ir_net,ir_gross,ir_hit_rate,headroom,t_stat,years,n_ir,n_assets,is_baseline,generic_fallback,n_switches,long_frac,short_frac,exposure,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed
4h,MININDEX,0.0,-0.1507609049499241,-0.1507609049499241,0.5,0.0,-0.27985631034048036,3.4458211853112166,2,2,False,True,,0.8463751438434983,0.0,0.8463751438434983,False,False,False,False,0
4h,HT_TRENDMODE,0.0,-0.18633933266694702,-0.18633933266694702,0.0,0.0,-0.3459002725461246,3.4458211853112166,2,2,False,False,,0.8826237054085155,0.0,0.8826237054085155,False,False,False,False,0
4h,MAXINDEX,0.0,-0.3119679883102542,-0.3119679883102542,0.5,0.0,-0.5791037814601138,3.4458211853112166,2,2,False,True,,0.8475258918296893,0.0,0.8475258918296893,False,False,False,False,0
4h,ATR,0.0,-0.34395339773465494,-0.34395339773465494,0.0,0.0,-0.6384780513957821,3.4458211853112166,2,2,False,True,,0.5060414269275029,0.49395857307249713,1.0,False,False,False,False,0
4h,IS#1,0.0,-0.35846843841429643,-0.35846843841429643,0.0,0.0,-0.6654222099652448,3.4458211853112166,2,2,False,False,2.0,,,,False,False,False,False,0
4h,NATR,0.0,-0.43800881776083256,-0.43800881776083256,0.0,0.0,-0.8130724054479361,3.4458211853112166,2,2,False,True,,0.4582853855005754,0.5417146144994247,1.0,False,False,False,False,0
4h,SUB,0.0,-0.49629402705049197,-0.49629402705049197,0.0,0.0,-0.9212667919478361,3.4458211853112166,2,2,False,True,,0.4395857307249712,0.5604142692750287,1.0,False,False,False,False,0
4h,HT_DCPHASE,0.0,-0.512382839872528,-0.512382839872528,0.0,0.0,-0.9511323316620555,3.4458211853112166,2,2,False,False,,0.6050057537399309,0.39499424626006907,1.0,False,False,False,False,0
4h,DIV,0.0,-0.5169787598536274,-0.5169787598536274,0.0,0.0,-0.9596637026362334,3.4458211853112166,2,2,False,True,,0.4266398158803222,0.5733601841196778,1.0,False,False,False,False,0
4h,MIDPRICE_200,0.0,-0.5328505946502653,-0.5328505946502653,0.0,0.0,-0.9891264677078287,3.4458211853112166,2,2,False,False,,0.7246835443037976,0.27531645569620256,1.0,False,False,False,False,0
4h,TRIMA_100,0.0,-0.5585317437483994,-0.5585317437483994,0.0,0.0,-1.0367981876029486,3.4458211853112166,2,2,False,False,,0.6447065592635213,0.3552934407364787,1.0,False,False,False,False,0
4h,MIDPOINT_100,0.0,-0.5664670563285156,-0.5664670563285156,0.0,0.0,-1.05152844741936,3.4458211853112166,2,2,False,False,,0.6539125431530495,0.3460874568469505,1.0,False,False,False,False,0
4h,SIN,0.0,-0.5709365028162856,-0.5709365028162856,0.0,0.0,-1.0598250466189139,3.4458211853112166,2,2,False,True,,0.49741081703107015,0.5025891829689297,1.0,False,False,False,False,0
4h,MIDPRICE_100,0.0,-0.5724907488873314,-0.5724907488873314,0.0,0.0,-1.062710181667344,3.4458211853112166,2,2,False,False,,0.6631185270425777,0.3368814729574223,1.0,False,False,False,False,0
4h,CDLSPINNINGTOP,0.0,-0.575916348969478,-0.575916348969478,0.0,0.0,-1.0690690967986243,3.4458211853112166,2,2,False,False,,0.4065017261219793,0.34896432681242806,0.7554660529344074,False,False,False,False,0
4h,CDLSHORTLINE,0.0,-0.5761254876118393,-0.5761254876118393,0.0,0.0,-1.0694573192547068,3.4458211853112166,2,2,False,False,,0.42376294591484465,0.3190448791714614,0.7428078250863062,False,False,False,False,0
4h,TAN,0.0,-0.5839996250685446,-0.5839996250685446,0.0,0.0,-1.0840740201592234,3.4458211853112166,2,2,False,True,,0.49942462600690446,0.5005753739930955,1.0,False,False,False,False,0
4h,MINMAXINDEX,0.0,-0.6018737152550684,-0.6018737152550684,0.0,0.0,-1.117253556538068,3.4458211853112166,2,2,False,True,,0.5025891829689297,0.4916570771001151,0.9942462600690449,False,False,False,False,0
4h,MIDPOINT_200,0.0,-0.6028401079749484,-0.6028401079749484,0.0,0.0,-1.1190474639241728,3.4458211853112166,2,2,False,False,,0.7209436133486766,0.2790563866513234,1.0,False,False,False,False,0
4h,DEMA_200,0.0,-0.6076210080063816,-0.6076210080063816,0.0,0.0,-1.127922211945538,3.4458211853112166,2,2,False,False,,0.5940736478711162,0.4059263521288838,1.0,False,False,False,False,0
4h,LINEARREG_INTERCEPT_200,0.0,-0.613102066343572,-0.613102066343572,0.0,0.0,-1.1380966584541772,3.4458211853112166,2,2,False,False,,0.7491369390103567,0.2508630609896433,1.0,False,False,False,False,0
4h,TSF_21,0.0,-0.6170367156639547,-0.6170367156639547,0.0,0.0,-1.145400517777997,3.4458211853112166,2,2,False,False,,0.49223245109321057,0.5077675489067894,1.0,False,False,False,False,0
4h,MA_100,0.0,-0.617313925244076,-0.617313925244076,0.0,0.0,-1.1459150997932053,3.4458211853112166,2,2,False,False,,0.64614499424626,0.35385500575373996,1.0,False,False,False,False,0
4h,SMA_100,0.0,-0.617313925244076,-0.617313925244076,0.0,0.0,-1.1459150997932053,3.4458211853112166,2,2,False,False,,0.64614499424626,0.35385500575373996,1.0,False,False,False,False,0
4h,EMA_200,0.0,-0.62475431859178,-0.62475431859178,0.0,0.0,-1.1597266448384007,3.4458211853112166,2,2,False,False,,0.7223820483314154,0.2776179516685846,1.0,False,False,False,False,0
4h,TRANGE,0.0,-0.6251744800039436,-0.6251744800039436,0.0,0.0,-1.160506587241868,3.4458211853112166,2,2,False,True,,0.42894131185270423,0.5710586881472957,1.0,False,False,False,False,0
4h,KAMA_100,0.0,-0.6457380054373757,-0.6457380054373757,0.0,0.0,-1.1986785016204957,3.4458211853112166,2,2,False,False,,0.594361334867664,0.40563866513233604,1.0,False,False,False,False,0
4h,T3_100,0.0,-0.6477419889523149,-0.6477419889523149,0.0,0.0,-1.2023984808330133,3.4458211853112166,2,2,False,False,,0.6285960874568469,0.3714039125431531,1.0,False,False,False,False,0
4h,KAMA_1000,0.0,-0.6609634298643492,-0.6609634298643492,0.0,0.0,-1.2269413400859182,3.4458211853112166,2,2,False,False,,0.6867088607594937,0.31329113924050633,1.0,False,False,False,False,0
4h,TRIMA_200,0.0,-0.6672235275603469,-0.6672235275603469,0.0,0.0,-1.238561911374972,3.4458211853112166,2,2,False,False,,0.7102991944764097,0.28970080552359034,1.0,False,False,False,False,0
4h,OBV,0.0,-0.6685823069525008,-0.6685823069525008,0.0,0.0,-1.2410842031281368,3.4458211853112166,2,2,False,False,,0.6006904487917146,0.3993095512082854,1.0,False,False,False,False,0
4h,CDLHIGHWAVE,0.0,-0.679852629591641,-0.679852629591641,0.0,0.0,-1.262005216511442,3.4458211853112166,2,2,False,False,,0.28682393555811275,0.24769850402761795,0.5345224395857306,False,False,False,False,0
4h,T3_200,0.0,-0.6812284751584519,-0.6812284751584519,0.0,0.0,-1.2645591880735914,3.4458211853112166,2,2,False,False,,0.7321634062140392,0.2678365937859609,1.0,False,False,False,False,0
4h,WMA_200,0.0,-0.6933721751951984,-0.6933721751951984,0.0,0.0,-1.2871014452144216,3.4458211853112166,2,2,False,False,,0.6855581127733026,0.31444188722669736,1.0,False,False,False,False,0
4h,AVGDEV,0.0,-0.6956802758710109,-0.6956802758710109,0.0,0.0,-1.2913859547777051,3.4458211853112166,2,2,False,True,,0.4824510932105869,0.5175489067894131,1.0,False,False,False,False,0
4h,EMA_100,0.0,-0.6982039862973038,-0.6982039862973038,0.0,0.0,-1.2960706990653887,3.4458211853112166,2,2,False,False,,0.6711737629459149,0.32882623705408515,1.0,False,False,False,False,0
4h,AROON,0.0,-0.701829533350365,-0.701829533350365,0.0,0.0,-1.302800774223617,3.4458211853112166,2,2,False,False,,0.5477560414269276,0.451668584579977,0.9994246260069045,False,False,False,False,0
4h,AROONOSC,0.0,-0.701829533350365,-0.701829533350365,0.0,0.0,-1.302800774223617,3.4458211853112166,2,2,False,False,,0.5477560414269276,0.451668584579977,0.9994246260069045,False,False,False,False,0
4h,LINEARREG_INTERCEPT_50,0.0,-0.7048643451825165,-0.7048643451825165,0.0,0.0,-1.308434272126841,3.4458211853112166,2,2,False,False,,0.6260069044879172,0.3739930955120828,1.0,False,False,False,False,0
4h,ACCBANDS,0.0,-0.7051636611130547,-0.7051636611130547,0.0,0.0,-1.3089898899905994,3.4458211853112166,2,2,False,False,,0.5503452243958573,0.4496547756041427,1.0,False,False,False,False,0
4h,TSF_9,0.0,-0.7106747048899169,-0.7106747048899169,0.0,0.0,-1.3192199982406778,3.4458211853112166,2,2,False,False,,0.47382048331415416,0.5261795166858458,1.0,False,False,False,False,0
4h,TSF_1000,0.0,-0.7226496609868905,-0.7226496609868905,0.0,0.0,-1.3414490173016964,3.4458211853112166,2,2,False,False,,0.7249712313003451,0.27502876869965476,1.0,False,False,False,False,0
4h,BOP,0.0,-0.7229832914507526,-0.7229832914507526,0.0,0.0,-1.3420683329702023,3.4458211853112166,2,2,False,False,,0.5330840046029919,0.4637514384349828,0.9968354430379747,False,False,False,False,0
4h,MAX,0.0,-0.7235215410990468,-0.7235215410990468,0.0,0.0,-1.3430674816597363,3.4458211853112166,2,2,False,True,,0.567318757192175,0.27991944764096666,0.8472382048331415,False,False,False,False,0
4h,TRIX,0.0,-0.732865267316825,-0.732865267316825,0.0,0.0,-1.3604121688981659,3.4458211853112166,2,2,False,False,,0.6596662830840045,0.3403337169159954,1.0,False,False,False,False,0
4h,CDLHARAMI,0.0,-0.7337838127212,-0.7337838127212,0.0,0.0,-1.3621172576798626,3.4458211853112166,2,2,False,False,,0.16455696202531644,0.16398158803222096,0.3285385500575374,False,False,False,False,0
4h,WMA_100,0.0,-0.7356769774114369,-0.7356769774114369,0.0,0.0,-1.3656315247589343,3.4458211853112166,2,2,False,False,,0.6331990794016111,0.366800920598389,1.0,False,False,False,False,0
4h,LINEARREG_21,0.0,-0.7372519343919368,-0.7372519343919368,0.0,0.0,-1.368555105309569,3.4458211853112166,2,2,False,False,,0.5080552359033372,0.4919447640966629,1.0,False,False,False,False,0
4h,TEMA_9,0.0,-0.7447218268715519,-0.7447218268715519,0.0,0.0,-1.3824214093668414,3.4458211853112166,2,2,False,False,,0.5005753739930956,0.4994246260069045,1.0,False,False,False,False,0
4h,LINEARREG_1000,0.0,-0.7448085989454244,-0.7448085989454244,0.0,0.0,-1.382582483701349,3.4458211853112166,2,2,False,False,,0.7258342922899885,0.2741657077100115,1.0,False,False,False,False,0
4h,KAMA_200,0.0,-0.7539011556462776,-0.7539011556462776,0.0,0.0,-1.3994609268939497,3.4458211853112166,2,2,False,False,,0.6343498273878021,0.3656501726121979,1.0,False,False,False,False,0
4h,MA_200,0.0,-0.7612866408236606,-0.7612866408236606,0.0,0.0,-1.4131705463241544,3.4458211853112166,2,2,False,False,,0.7287111622554661,0.27128883774453394,1.0,False,False,False,False,0
4h,SMA_200,0.0,-0.7612866408236606,-0.7612866408236606,0.0,0.0,-1.4131705463241544,3.4458211853112166,2,2,False,False,,0.7287111622554661,0.27128883774453394,1.0,False,False,False,False,0
