timeframe,rule,cost_bps,ir_net,ir_gross,ir_hit_rate,headroom,t_stat,years,n_ir,n_assets,is_baseline,generic_fallback,n_switches,long_frac,short_frac,exposure,gate_ir,gate_breadth,gate_headroom,gate_t,gates_passed
1d,HT_TRENDMODE,0.0,-0.013000395994803987,-0.013000395994803987,0.5,0.0,-0.0477206202725192,13.47407615274145,2,2,False,False,,0.9222484508704633,0.0,0.9222484508704633,False,False,False,False,0
1d,MAXINDEX,0.0,-0.25354814212409593,-0.25354814212409593,0.0,0.0,-0.93070046604293,13.47407615274145,2,2,False,True,,0.8688403658896429,0.0,0.8688403658896429,False,False,False,False,0
1d,HT_DCPHASE,0.0,-0.35713259617211945,-0.35713259617211945,0.0,0.0,-1.3109284529240692,13.47407615274145,2,2,False,False,,0.6046031277663028,0.39539687223369724,1.0,False,False,False,False,0
1d,MA_200,0.0,-0.40064322343331615,-0.40064322343331615,0.0,0.0,-1.470643135629163,13.47407615274145,2,2,False,False,,0.7530244910002951,0.24697550899970494,1.0,False,False,False,False,0
1d,SMA_200,0.0,-0.40064322343331615,-0.40064322343331615,0.0,0.0,-1.470643135629163,13.47407615274145,2,2,False,False,,0.7530244910002951,0.24697550899970494,1.0,False,False,False,False,0
1d,TRIMA_200,0.0,-0.42535517331866346,-0.42535517331866346,0.0,0.0,-1.5613534168500975,13.47407615274145,2,2,False,False,,0.7494836234877544,0.2505163765122455,1.0,False,False,False,False,0
1d,HT_PHASOR,0.0,-0.4510572547251096,-0.4510572547251096,0.0,0.0,-1.6556981789250844,13.47407615274145,2,2,False,False,,0.5649159043965772,0.43508409560342287,1.0,False,False,False,False,0
1d,MINMAXINDEX,0.0,-0.45650079761345286,-0.45650079761345286,0.0,0.0,-1.6756798197316896,13.47407615274145,2,2,False,True,,0.5109176748303335,0.4830333431690764,0.9939510179994098,False,False,False,False,0
1d,EMA_200,0.0,-0.4621241898956091,-0.4621241898956091,0.0,0.0,-1.696321634630824,13.47407615274145,2,2,False,False,,0.753024491000295,0.2469755089997049,1.0,False,False,False,False,0
1d,MIDPRICE_200,0.0,-0.46430761798786846,-0.46430761798786846,0.0,0.0,-1.704336355330463,13.47407615274145,2,2,False,False,,0.7487459427559752,0.2512540572440248,1.0,False,False,False,False,0
1d,MIDPOINT_200,0.0,-0.4651979685023983,-0.4651979685023983,0.0,0.0,-1.7076045695318076,13.47407615274145,2,2,False,False,,0.7434346414871643,0.25656535851283563,1.0,False,False,False,False,0
1d,NATR,0.0,-0.4695054309047606,-0.4695054309047606,0.0,0.0,-1.7234159938702232,13.47407615274145,2,2,False,True,,0.4471820596046031,0.5528179403953969,1.0,False,False,False,False,0
1d,WMA_200,0.0,-0.4808087470149538,-0.4808087470149538,0.0,0.0,-1.7649071343039735,13.47407615274145,2,2,False,False,,0.7381233402183536,0.2618766597816465,1.0,False,False,False,False,0
1d,ADX,0.0,-0.48113685854792,-0.48113685854792,0.0,0.0,-1.7661115349913041,13.47407615274145,2,2,False,True,,0.4668043670699321,0.5331956329300679,1.0,False,False,False,False,0
1d,MIDPRICE_100,0.0,-0.4839275428868069,-0.4839275428868069,0.0,0.0,-1.7763553143107738,13.47407615274145,2,2,False,False,,0.7238123340218354,0.2761876659781647,1.0,False,False,False,False,0
1d,LINEARREG_INTERCEPT_100,0.0,-0.49518387376008466,-0.49518387376008466,0.0,0.0,-1.817673985794336,13.47407615274145,2,2,False,False,,0.7382708763647093,0.26172912363529066,1.0,False,False,False,False,0
1d,T3_200,0.0,-0.499287246218893,-0.499287246218893,0.0,0.0,-1.8327362561299294,13.47407615274145,2,2,False,False,,0.5910298023015639,0.2763352021245205,0.8673650044260843,False,False,False,False,0
1d,MIDPOINT_100,0.0,-0.5006244576950594,-0.5006244576950594,0.0,0.0,-1.8376447651556311,13.47407615274145,2,2,False,False,,0.7151077013868398,0.28489229861316023,1.0,False,False,False,False,0
1d,LINEARREG_ANGLE,0.0,-0.5085250216951891,-0.5085250216951891,0.0,0.0,-1.8666454059622353,13.47407615274145,2,2,False,False,,0.6140454411330776,0.3859545588669224,1.0,False,False,False,False,0
1d,LINEARREG_SLOPE,0.0,-0.5085250216951891,-0.5085250216951891,0.0,0.0,-1.8666454059622353,13.47407615274145,2,2,False,False,,0.6140454411330776,0.3859545588669224,1.0,False,False,False,False,0
1d,MIDPOINT_50,0.0,-0.5109368248170225,-0.5109368248170225,0.0,0.0,-1.8754984240545371,13.47407615274145,2,2,False,False,,0.670404249041015,0.3294482148126291,0.9998524638536441,False,False,False,False,0
1d,MAMA,0.0,-0.5147391316512484,-0.5147391316512484,0.0,0.0,-1.8894555712574548,13.47407615274145,2,2,False,False,,0.641634700501623,0.3583652994983771,1.0,False,False,False,False,0
1d,TSF_9,0.0,-0.5153696937004508,-0.5153696937004508,0.0,0.0,-1.8917701786063599,13.47407615274145,2,2,False,False,,0.4544113307760401,0.5455886692239599,1.0,False,False,False,False,0
1d,T3_100,0.0,-0.5191538416476826,-0.5191538416476826,0.0,0.0,-1.90566066988963,13.47407615274145,2,2,False,False,,0.7167305989967543,0.2832694010032458,1.0,False,False,False,False,0
1d,TRIX,0.0,-0.5191685903827071,-0.5191685903827071,0.0,0.0,-1.905714808146948,13.47407615274145,2,2,False,False,,0.7431395691944527,0.2568604308055473,1.0,False,False,False,False,0
1d,KAMA_200,0.0,-0.5251439586885713,-0.5251439586885713,0.0,0.0,-1.927648623242008,13.47407615274145,2,2,False,False,,0.6919445264089702,0.3080554735910298,1.0,False,False,False,False,0
1d,TRIMA_50,0.0,-0.5261125076175577,-0.5261125076175577,0.0,0.0,-1.9312038807644702,13.47407615274145,2,2,False,False,,0.6572735320153438,0.3427264679846562,1.0,False,False,False,False,0
1d,WMA_50,0.0,-0.5276197811898871,-0.5276197811898871,0.0,0.0,-1.9367366375990067,13.47407615274145,2,2,False,False,,0.645618176453231,0.35438182354676895,1.0,False,False,False,False,0
1d,SIN,0.0,-0.5330841520800993,-0.5330841520800993,0.0,0.0,-1.9567947318589238,13.47407615274145,2,2,False,True,,0.5110652109766893,0.48893478902331067,1.0,False,False,False,False,0
1d,MOM,0.0,-0.5345090288316128,-0.5345090288316128,0.0,0.0,-1.9620250342605807,13.47407615274145,2,2,False,False,,0.6062260253762172,0.39333136618471526,0.9995573915609324,False,False,False,False,0
1d,ROC,0.0,-0.5345090288316128,-0.5345090288316128,0.0,0.0,-1.9620250342605807,13.47407615274145,2,2,False,False,,0.6062260253762172,0.39333136618471526,0.9995573915609324,False,False,False,False,0
1d,ROCP,0.0,-0.5345090288316128,-0.5345090288316128,0.0,0.0,-1.9620250342605807,13.47407615274145,2,2,False,False,,0.6062260253762172,0.39333136618471526,0.9995573915609324,False,False,False,False,0
1d,ROCR,0.0,-0.5345090288316128,-0.5345090288316128,0.0,0.0,-1.9620250342605807,13.47407615274145,2,2,False,False,,0.6062260253762172,0.39333136618471526,0.9995573915609324,False,False,False,False,0
1d,ROCR100,0.0,-0.5345090288316128,-0.5345090288316128,0.0,0.0,-1.9620250342605807,13.47407615274145,2,2,False,False,,0.6062260253762172,0.39333136618471526,0.9995573915609324,False,False,False,False,0
1d,MININDEX,0.0,-0.5354631881844683,-0.5354631881844683,0.0,0.0,-1.965527471892118,13.47407615274145,2,2,False,True,,0.8546768958394807,0.0,0.8546768958394807,False,False,False,False,0
1d,KAMA_50,0.0,-0.5378761851518573,-0.5378761851518573,0.0,0.0,-1.9743848722394257,13.47407615274145,2,2,False,False,,0.6437002065506049,0.3562997934493951,1.0,False,False,False,False,0
1d,EMA_100,0.0,-0.5495340515916733,-0.5495340515916733,0.0,0.0,-2.01717746238703,13.47407615274145,2,2,False,False,,0.7217468279728534,0.27825317202714667,1.0,False,False,False,False,0
1d,ADXR,0.0,-0.5518041875554309,-0.5518041875554309,0.0,0.0,-2.025510462115405,13.47407615274145,2,2,False,True,,0.4910002950722927,0.5089997049277073,1.0,False,False,False,False,0
1d,LINEARREG_INTERCEPT_21,0.0,-0.5522577423857546,-0.5522577423857546,0.0,0.0,-2.027175328157893,13.47407615274145,2,2,False,False,,0.6286515196223075,0.3713484803776925,1.0,False,False,False,False,0
1d,MA_50,0.0,-0.5533887752080271,-0.5533887752080271,0.0,0.0,-2.031327016141012,13.47407615274145,2,2,False,False,,0.6681912068456772,0.3318087931543228,1.0,False,False,False,False,0
1d,SMA_50,0.0,-0.5533887752080271,-0.5533887752080271,0.0,0.0,-2.031327016141012,13.47407615274145,2,2,False,False,,0.6681912068456772,0.3318087931543228,1.0,False,False,False,False,0
1d,APO,0.0,-0.5558146632442866,-0.5558146632442866,0.0,0.0,-2.040231735800956,13.47407615274145,2,2,False,False,,0.6295367365004426,0.3704632634995574,1.0,False,False,False,False,0
1d,PPO,0.0,-0.5558146632442866,-0.5558146632442866,0.0,0.0,-2.040231735800956,13.47407615274145,2,2,False,False,,0.6295367365004426,0.3704632634995574,1.0,False,False,False,False,0
1d,HT_SINE,0.0,-0.5561788728905479,-0.5561788728905479,0.0,0.0,-2.041568642017949,13.47407615274145,2,2,False,False,,0.6293892003540867,0.37061079964591326,1.0,False,False,False,False,0
1d,COS,0.0,-0.5583404807621835,-0.5583404807621835,0.0,0.0,-2.0495032671218025,13.47407615274145,2,2,False,True,,0.4737385659486574,0.5262614340513425,1.0,False,False,False,False,0
1d,TRIMA_100,0.0,-0.5665549345766876,-0.5665549345766876,0.0,0.0,-2.0796561048803426,13.47407615274145,2,2,False,False,,0.7146650929477723,0.2853349070522278,1.0,False,False,False,False,0
1d,ADD,0.0,-0.566877934417165,-0.566877934417165,0.0,0.0,-2.080841742051831,13.47407615274145,2,2,False,True,,0.6195042785482443,0.3804957214517557,1.0,False,False,False,False,0
1d,LINEARREG_INTERCEPT_200,0.0,-0.5669279100846893,-0.5669279100846893,0.0,0.0,-2.081025187990997,13.47407615274145,2,2,False,False,,0.7543523163174979,0.24564768368250223,1.0,False,False,False,False,0
1d,MULT,0.0,-0.5672587184445514,-0.5672587184445514,0.0,0.0,-2.0822394879346495,13.47407615274145,2,2,False,True,,0.614783121864857,0.3852168781351431,1.0,False,False,False,False,0
1d,MIDPRICE_50,0.0,-0.568172205925759,-0.568172205925759,0.0,0.0,-2.0855926311182746,13.47407615274145,2,2,False,False,,0.6771909117733845,0.3228090882266155,1.0,False,False,False,False,0
1d,MACD,0.0,-0.5685436170803366,-0.5685436170803366,0.0,0.0,-2.0869559719487896,13.47407615274145,2,2,False,False,,0.526851578636766,0.473148421363234,1.0,False,False,False,False,0
1d,WMA_100,0.0,-0.568660803167027,-0.568660803167027,0.0,0.0,-2.08738612751839,13.47407615274145,2,2,False,False,,0.6938624963115964,0.30613750368840364,1.0,False,False,False,False,0
1d,T3_21,0.0,-0.5709302928903925,-0.5709302928903925,0.0,0.0,-2.095716755088842,13.47407615274145,2,2,False,False,,0.5969312481557982,0.4030687518442019,1.0,False,False,False,False,0
1d,MACDFIX,0.0,-0.5714240709957521,-0.5714240709957521,0.0,0.0,-2.0975292689133567,13.47407615274145,2,2,False,False,,0.5269991147831219,0.4730008852168781,1.0,False,False,False,False,0
1d,AVGDEV,0.0,-0.5810676681714338,-0.5810676681714338,0.0,0.0,-2.1329280705395366,13.47407615274145,2,2,False,True,,0.4943936264384774,0.5056063735615226,1.0,False,False,False,False,0
1d,KAMA_100,0.0,-0.5832945102358664,-0.5832945102358664,0.0,0.0,-2.1411021511295534,13.47407615274145,2,2,False,False,,0.663174977869578,0.336825022130422,1.0,False,False,False,False,0
1d,T3_50,0.0,-0.5844566260471705,-0.5844566260471705,0.0,0.0,-2.1453679355999724,13.47407615274145,2,2,False,False,,0.6494541162584833,0.35054588374151663,1.0,False,False,False,False,0
1d,DEMA_50,0.0,-0.5850066052773341,-0.5850066052773341,0.0,0.0,-2.147386747181627,13.47407615274145,2,2,False,False,,0.5649159043965772,0.43508409560342287,1.0,False,False,False,False,0
1d,LINEARREG_9,0.0,-0.5853363637400539,-0.5853363637400539,0.0,0.0,-2.1485971932624537,13.47407615274145,2,2,False,False,,0.49955739156093243,0.5004426084390676,1.0,False,False,False,False,0
1d,COSH,0.0,-0.5869383374506268,-0.5869383374506268,0.0,0.0,-2.1544775663802698,13.47407615274145,2,2,False,True,,0.5352611389790498,0.46473886102095013,1.0,False,False,False,False,0
1d,EXP,0.0,-0.5892642852188097,-0.5892642852188097,0.0,0.0,-2.1630154347854726,13.47407615274145,2,2,False,True,,0.5355562112717616,0.46444378872823844,1.0,False,False,False,False,0
1d,SINH,0.0,-0.5892642852188097,-0.5892642852188097,0.0,0.0,-2.1630154347854726,13.47407615274145,2,2,False,True,,0.5355562112717616,0.46444378872823844,1.0,False,False,False,False,0
1d,HT_TRENDLINE,0.0,-0.5903921583369258,-0.5903921583369258,0.0,0.0,-2.1671555244263354,13.47407615274145,2,2,False,False,,0.6338152847447625,0.36618471525523755,1.0,False,False,False,False,0
1d,SQRT,0.0,-0.5962987737595563,-0.5962987737595563,0.0,0.0,-2.188836967960195,13.47407615274145,2,2,False,True,,0.6246680436706993,0.37533195632930066,1.0,False,False,False,False,0
1d,DEMA_100,0.0,-0.5976362639553126,-0.5976362639553126,0.0,0.0,-2.193746500083325,13.47407615274145,2,2,False,False,,0.5928002360578342,0.40719976394216584,1.0,False,False,False,False,0
1d,LINEARREG_INTERCEPT_50,0.0,-0.5991286041975504,-0.5991286041975504,0.0,0.0,-2.1992244410664843,13.47407615274145,2,2,False,False,,0.6833874299203304,0.31661257007966953,1.0,False,False,False,False,0
1d,ULTOSC,0.0,-0.600718086233829,-0.600718086233829,0.0,0.0,-2.2050589609313835,13.47407615274145,2,2,False,False,,0.6788138093832989,0.32118619061670106,1.0,False,False,False,False,0
