symbol,years,cagr,sharpe,max_drawdown
SOXL,3.4437130047145135,0.8730119513667745,1.1262926531404622,-0.8790329744276973
TQQQ,3.4479293659079193,0.7318473341648779,1.238468099381375,-0.5778113447549387
SPY,6.4812343143965325,0.1545176379463058,0.8454943129544373,-0.3453969025988881
