timeframe,ticker,indicator,cost_bps,n_bars,bars_per_year,total_return,pnl_dollars,cagr,sharpe,max_drawdown,exposure,n_trades,turnover_per_year,base_total_return,base_cagr,base_sharpe,excess_total_return,excess_cagr,excess_sharpe,beat_buyhold
1d,AAPL,ACCBANDS,0.0,2911,251.47652554399244,-0.4371316387512876,-4371.316387512876,-0.04845212085600903,-0.029615278829107295,-0.6084705024600348,0.9931295087598764,65,11.14792845195018,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.203046880611943,-0.29463807881118964,-0.9384239935203106,False
1d,AAPL,ACCBANDS,1.0,2911,251.47652554399244,-0.4445517770997238,-4445.517770997239,-0.04954273145389043,-0.03349269247539756,-0.6110415574456276,0.9931295087598764,65,11.14792845195018,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.21046701896038,-0.29572868940907104,-0.9423014071666008,False
1d,AAPL,ACCBANDS,5.0,2911,251.47652554399244,-0.4732813063382797,-4732.813063382797,-0.05389491441985206,-0.04897216138141525,-0.6211631927173152,0.9931295087598764,65,11.14792845195018,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.239196548198935,-0.30008087237503267,-0.9577808760726185,False
1d,AAPL,ACCBANDS,10.0,2911,251.47652554399244,-0.5071428890237113,-5071.428890237113,-0.05931211607781106,-0.06825168649118311,-0.6334568658582477,0.9931295087598764,65,11.14792845195018,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.273058130884367,-0.3054980740329917,-0.9770604011823864,False
1d,AAPL,ACOS,0.0,2911,251.47652554399244,0.0,0.0,0.0,,0.0,0.0,0,0.0,11.765915241860656,0.2461859579551806,0.9088087146912033,-11.765915241860656,-0.2461859579551806,,False
1d,AAPL,ACOS,1.0,2911,251.47652554399244,0.0,0.0,0.0,,0.0,0.0,0,0.0,11.765915241860656,0.2461859579551806,0.9088087146912033,-11.765915241860656,-0.2461859579551806,,False
1d,AAPL,ACOS,5.0,2911,251.47652554399244,0.0,0.0,0.0,,0.0,0.0,0,0.0,11.765915241860656,0.2461859579551806,0.9088087146912033,-11.765915241860656,-0.2461859579551806,,False
1d,AAPL,ACOS,10.0,2911,251.47652554399244,0.0,0.0,0.0,,0.0,0.0,0,0.0,11.765915241860656,0.2461859579551806,0.9088087146912033,-11.765915241860656,-0.2461859579551806,,False
1d,AAPL,AD,0.0,2911,251.47652554399244,-0.8620696083751079,-8620.69608375108,-0.1573424967815058,-0.4526472526674627,-0.8995369567398088,0.9934730333218825,386,66.62831656165572,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.627984850235764,-0.4035284547366864,-1.361455967358666,False
1d,AAPL,AD,1.0,2911,251.47652554399244,-0.8724593176511373,-8724.593176511373,-0.1630261144851064,-0.47534463279155637,-0.9066271000410815,0.9934730333218825,386,66.62831656165572,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.638374559511792,-0.409212072440287,-1.3841533474827596,False
1d,AAPL,AD,5.0,2911,251.47652554399244,-0.9067745094779611,-9067.745094779611,-0.18539101458717921,-0.5655321673027441,-0.9303350669139969,0.9934730333218825,386,66.62831656165572,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.672689751338616,-0.4315769725423598,-1.4743408819939474,False
1d,AAPL,AD,10.0,2911,251.47652554399244,-0.9370151125192862,-9370.151125192862,-0.2125330282083947,-0.6768676712125641,-0.9517096682236436,0.9934730333218825,386,66.62831656165572,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.702930354379943,-0.4587189861635753,-1.5856763859037675,False
1d,AAPL,ADD,0.0,2911,251.47652554399244,4.064013181820727,40640.131818207265,0.1504852874765259,0.6333521555292825,-0.4709183317148453,0.9934730333218825,220,37.93752395663666,11.765915241860656,0.2461859579551806,0.9088087146912033,-7.701902060039929,-0.09570067047865471,-0.2754565591619208,False
1d,AAPL,ADD,1.0,2911,251.47652554399244,3.842897288101632,38428.97288101632,0.14605500063880839,0.6196149179710811,-0.4760648351683604,0.9934730333218825,220,37.93752395663666,11.765915241860656,0.2461859579551806,0.9088087146912033,-7.9230179537590235,-0.10013095731637223,-0.28919379672012213,False
1d,AAPL,ADD,5.0,2911,251.47652554399244,3.0504898563197624,30504.898563197625,0.12849494425605545,0.5648379622224111,-0.496165121782681,0.9934730333218825,220,37.93752395663666,11.765915241860656,0.2461859579551806,0.9088087146912033,-8.715425385540893,-0.11769101369912516,-0.34397075246879216,False
1d,AAPL,ADD,10.0,2911,251.47652554399244,2.2390792082771735,22390.792082771735,0.10690318382071884,0.49677540376806084,-0.5202311116858586,0.9934730333218825,220,37.93752395663666,11.765915241860656,0.2461859579551806,0.9088087146912033,-9.526836033583482,-0.13928277413446177,-0.41203331092314244,False
1d,AAPL,ADOSC,0.0,2911,251.47652554399244,-0.8347499502793492,-8347.499502793491,-0.1440797101466441,-0.39606849822548684,-0.8696025842610163,0.9969082789419443,348,60.06054476050679,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.600665192140005,-0.3902656681018247,-1.3048772129166901,False
1d,AAPL,ADOSC,1.0,2911,251.47652554399244,-0.8459952921399303,-8459.952921399303,-0.1492768082981616,-0.4165584563429299,-0.8779245880805401,0.9969082789419443,348,60.06054476050679,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.611910534000586,-0.3954627662533422,-1.325367171034133,False
1d,AAPL,ADOSC,5.0,2911,251.47652554399244,-0.883844039988398,-8838.44039988398,-0.16976180443452404,-0.498073396580531,-0.9073836240039701,0.9969082789419443,348,60.06054476050679,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.649759281849054,-0.41594776238970466,-1.4068821112717342,False
1d,AAPL,ADOSC,10.0,2911,251.47652554399244,-0.9183819944227843,-9183.819944227844,-0.1946982066621732,-0.5989238160923741,-0.9346276551711296,0.9969082789419443,348,60.06054476050679,11.765915241860656,0.2461859579551806,0.9088087146912033,-12.68429723628344,-0.4408841646173538,-1.5077325307835774,False
1d,AAPL,ADX,0.0,2911,251.47652554399244,-0.11484381118341747,-1148.4381118341746,-0.010486863963366178,0.10622602381205799,-0.6990692048895201,0.9841978701477155,166,28.60437455500395,11.765915241860656,0.2461859579551806,0.9088087146912033,-11.880759053044073,-0.2566728219185468,-0.8025826908791452,False
