class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling,edge_t_bar_corrected,edge_t_uncorrected_pass,edge_t_bar_source
cme_futures,1d,long,ACCBANDS,19,13.208274429661897,-0.4033648499775079,0.5371959447372724,-2.707303849855061,13,1.0,0.9285714285714286,-0.3182203052562084,-0.5910664504356989,-8126.524650654327,0.0,-0.1256529453749552,0.1721799123597595,-0.6959884672757817,-0.5032754813148206,0.8256666583817094,45.0,-0.0063838147064096,0.3023255813953488,0.1306040892002693,0.0681567746706729,-0.0936636854847614,-0.415382000378976,-0.0398636228402216,-0.0398636228402215,0.5085372101065242,-3522.6237045284934,11971.771612763256,5846.1799962102405,15085.372101065244,0.2105263157894736,0.5224751897256276,0.4775248102743724,6.662129553437237,1.0,0.4326840481400615,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,short,ACCBANDS,19,13.208274429661897,-0.4033648499775079,0.5371959447372724,-2.707303849855061,13,1.0,0.9285714285714286,-0.1393290125254622,-0.5910664504356989,-8126.524650654327,0.0,-0.1256529453749552,0.1721799123597595,-0.6959884672757817,-0.5032754813148206,0.8256666583817094,45.0,-0.0063838147064096,0.3023255813953488,0.1306040892002693,0.0681567746706729,-0.0936636854847614,-0.415382000378976,-0.0398636228402216,-0.0398636228402215,0.5085372101065242,-3522.6237045284934,11971.771612763256,5846.1799962102405,15085.372101065244,0.2105263157894736,0.5224751897256276,0.4775248102743724,6.662129553437237,1.0,0.4326840481400615,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,long,ACOS,19,13.208274429661897,-0.7276989375,1.4145983144729877,-1.455002025957303,8,0.0,0.5714285714285714,-0.3436558613628207,0.0,-2390.41972206852,0.0,-0.2641996322175107,0.1721799123597595,-3.473224173711209e-06,-0.5032754813148206,0.8476820778624365,0.0,-0.0032809518680759,0.7275162695111808,0.0248263039005458,0.0784193332985332,-0.0418385585552708,0.2694251748782301,0.0182248255676091,-0.1728016899789193,0.5085372101065242,1718.4269080782583,11971.771612763256,12694.2517487823,15085.372101065244,0.0,0.0,0.0,0.0,1.0,1.452439253649637,542,False,False,False,True,False,False,1,6,False,False,unrankable,False,,,
cme_futures,1d,short,ACOS,19,13.208274429661897,-0.4858605906432748,1.092675723809742,-1.6032160632101418,13,1.0,0.9285714285714286,0.0,0.0,-10848.826400672762,0.0,-0.2245657706714516,0.1721799123597595,-0.8085635377217403,-0.5032754813148206,0.0,1.0,-0.5201525701835735,0.0,0.0,0.5201525701835735,-1.0,-0.5790795714443822,-0.0706759425674699,-0.0706759425674697,0.5085372101065242,-5462.72264773478,11971.771612763256,4209.204285556179,15085.372101065244,0.1578947368421052,0.0,1.0,0.0,1.0,0.8800947961615685,542,False,False,True,True,False,False,2,6,False,True,underpowered,False,,,
cme_futures,1d,long,AD,19,13.208274429661897,-0.3082349455690509,0.567028269925661,-1.9599673598015963,13,1.0,0.9285714285714286,-0.2035345981964948,-0.3985551587277972,-4788.293744854175,0.0,-0.0384904703215879,0.1721799123597595,-0.5957057078992801,-0.5032754813148206,1.0177507890583315,424.0,0.0001871460517306,0.3132911392405063,0.0367009808378156,0.0182583550809144,0.0102498856496814,-0.3976374389052898,-0.0376143196929532,-0.0376143196929533,0.5085372101065242,-597.9709298987134,11971.771612763256,6023.625610947102,15085.372101065244,0.1578947368421052,0.5620481927710843,0.4379518072289156,64.1529121685093,1.0,0.4567124708308837,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,short,AD,19,13.208274429661897,-0.3082349455690509,0.567028269925661,-1.9599673598015963,13,1.0,0.9285714285714286,-0.0491194282349811,-0.3985551587277972,-4788.293744854175,0.0,-0.0384904703215879,0.1721799123597595,-0.5957057078992801,-0.5032754813148206,1.0177507890583315,424.0,0.0001871460517306,0.3132911392405063,0.0367009808378156,0.0182583550809144,0.0102498856496814,-0.3976374389052898,-0.0376143196929532,-0.0376143196929533,0.5085372101065242,-597.9709298987134,11971.771612763256,6023.625610947102,15085.372101065244,0.1578947368421052,0.5620481927710843,0.4379518072289156,64.1529121685093,1.0,0.4567124708308837,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,long,ADD,19,13.208274429661897,-0.2201637784525415,0.6054547588123875,-1.3111000956828074,13,1.0,0.9285714285714286,0.0127099965109843,-0.4304232660306235,-1275.0116475641971,0.0,0.0191720550339842,0.1721799123597595,-0.5545686089525463,-0.5032754813148206,1.054628796942278,341.0,0.0007422371241464,0.3061224489795918,0.0448888859554988,0.019035258397747,0.0389927527453101,-0.0203750156892791,-0.0015596012995856,-0.0015596012995848,0.5085372101065242,2261.719177556817,11971.771612763256,9796.249843107207,15085.372101065244,0.3684210526315789,0.5261313868613139,0.4738686131386861,51.55858944297791,1.0,0.4876630558645244,542,False,False,True,False,False,False,1,6,False,True,underpowered,False,,,
cme_futures,1d,short,ADD,19,13.208274429661897,-0.2198907460638775,0.6053600148293138,-1.3096791008849271,13,1.0,0.9285714285714286,0.0354597630363082,-0.4304232660306235,-1253.6612692967956,0.0,0.0191720550339842,0.1721799123597595,-0.5545686089525463,-0.5032754813148206,1.054628796942278,341.0,0.0007422371241464,0.3061224489795918,0.0448888859554988,0.0190355536733375,0.0389921478977552,-0.0203750156892791,-0.0015596012995856,-0.0015596012995848,0.5085372101065242,2266.0042336016218,11971.771612763256,9796.249843107207,15085.372101065244,0.3684210526315789,0.5261313868613139,0.4738686131386861,51.55858944297791,1.0,0.4875867443984106,542,False,False,True,False,False,False,1,6,False,True,underpowered,False,,,
cme_futures,1d,long,ADOSC,19,13.208274429661897,-0.2979361902834008,0.5985145793200585,-1.7948171155723025,13,1.0,0.9285714285714286,-0.2059184032038439,-0.3804069424502762,-8216.476060398109,0.0,-0.1617762455589326,0.1721799123597595,-0.6291099543556948,-0.5032754813148206,0.921721718194428,381.0,-0.0011669898744999,0.3284457478005865,0.0393541362862211,0.0203371554790663,-0.0573821582718968,-0.4741524092099367,-0.0509120328606867,-0.0509120328606872,0.5085372101065242,-942.4958519597814,11971.771612763256,5258.475907900633,15085.372101065244,0.2105263157894736,0.5620481927710843,0.4379518072289156,57.624305848034126,1.0,0.4820730937902049,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
cme_futures,1d,short,ADOSC,19,13.208274429661897,-0.2979361902834008,0.5985145793200585,-1.7948171155723025,13,1.0,0.9285714285714286,-0.1348053504534885,-0.3804069424502762,-8216.476060398109,0.0,-0.1617762455589326,0.1721799123597595,-0.6291099543556948,-0.5032754813148206,0.921721718194428,381.0,-0.0011669898744999,0.3284457478005865,0.0393541362862211,0.0203371554790663,-0.0573821582718968,-0.4741524092099367,-0.0509120328606867,-0.0509120328606872,0.5085372101065242,-942.4958519597814,11971.771612763256,5258.475907900633,15085.372101065244,0.2105263157894736,0.5620481927710843,0.4379518072289156,57.624305848034126,1.0,0.4820730937902049,542,False,False,False,False,False,False,0,6,False,True,underpowered,False,,,
