,HT_DCPHASE,HT_SINE,MAMA,MAXINDEX,MINMAXINDEX,SAR,SAREXT,SUM
HT_DCPHASE,1.0,0.3524427766145732,0.2132432555102064,0.22130839319598664,0.24525275962897272,0.07292332663850865,0.0728895658776782,0.12638988273027135
HT_SINE,0.3524427766145732,1.0,0.6586061293117578,0.17404641522853276,0.37541501114740916,0.3494192180030703,0.34936384117305963,0.4328254878472153
MAMA,0.2132432555102064,0.6586061293117578,1.0,0.12897613122407853,0.33179467388719,0.42775587358254497,0.42769813363909515,0.5647099046637265
MAXINDEX,0.22130839319598664,0.17404641522853276,0.12897613122407853,1.0,0.1429216736775733,0.003177300727502175,0.003126590993881485,0.18190496033017106
MINMAXINDEX,0.24525275962897272,0.37541501114740916,0.33179467388719,0.1429216736775733,1.0,0.32512238228510115,0.3251473426219064,0.03091654340478418
SAR,0.07292332663850865,0.3494192180030703,0.42775587358254497,0.003177300727502175,0.32512238228510115,1.0,0.9999769445221208,0.1468769809010295
SAREXT,0.0728895658776782,0.34936384117305963,0.42769813363909515,0.003126590993881485,0.3251473426219064,0.9999769445221208,1.0,0.1468240036709108
SUM,0.12638988273027135,0.4328254878472153,0.5647099046637265,0.18190496033017106,0.03091654340478418,0.1468769809010295,0.1468240036709108,1.0
