class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,boot_draws,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict
crypto,1m,BUYHOLD,False,18,6.432511968535193,1.0,0.8549781284081028,0.8554798424266572,-0.0005017140185543667,0.9982619525261631,0.5555555555555556,15.962730319319945,18,1.16370004053597,1.1640642313155487,-0.00036419077957861035,,0.0,-0.2676768273919989,-0.9954917119775265,15.850109148111788,3339957,2020-04-08,2026-08-20,0.7426934894394519,0.7426933722555955,-0.7838910181258905,-0.7838910181258877,0.8554798424266572,532221.6041950502,533148.2411487594,7.903010897717659,-0.6188642810178062,,,,,,,,,4,-0.000218;0.000000;0.000000;0.000000,1.0,-0.7838910181258877,533148.2411487594,False,-926.6369537091634,0.0,0.00027034852869712656,0.8549781284081028,1.0,1.0913249707490242,1.0906849404298138,-0.0006400303192104495,BTC/USD,0.4039640809923455,88688.88888886628,0.8129099907336879,0.6134586323565683,-0.7752943161601531,1.0,0.4039640809923455,-0.7752943161601531,0.45101404741575735,6.000995286590669,True,0.9999998422177412,532221.4188887167,-0.7838909546765628,False,84.9704859283671,3.4595920768670996,0.000540994276846618,0.0019239639084428495,1564,0.004148855510612356,-0.0063560176631159235,0.00014731763729924083,-0.004542027297281486,0.0077893061546184155,-0.0031205602375402545,0.0009228041139384809,1.054990396392677,-1.077212275913088,0.021361048487607084,-0.6461255514734324,0.9525597886860514,-0.6761479491704243,0.1902654029932201,0.31949717325743965,1.0001004440278718,0.9996873456945317,close,3.8272715710856993,1230.9755635212655,99,206.83930860747785,0.9984587649441619,False,68,31,run+ledger,81.84962561809472,this run,-17.489832249031345,18.653532289567316,False,False,True,False,False,False,1,6,False,True,underpowered
crypto,1m,ha:chart:range_filter_macd@allow_short=0,False,18,6.432511968535193,0.18080533319410005,-0.9967543565451161,0.27255402607286516,-1.2693083826179814,2.080087347589116e-17,0.27588265019875297,0.6012946312255001,251317,-28.79169210555563,1.1640642313155487,-29.95575633687118,-9.855668157744157,0.0,-20.319660788749356,-3.8032220006602104,15.850109148111788,3339957,2020-04-08,2026-08-20,0.19934133799156975,0.7426933722555955,-0.9999999999999999,-0.7838910181258877,0.8554798424266572,9.804211471099643e-13,533148.2411487594,0.006881989743700908,-0.004360558637000897,3.0394444960419293,0.0,-37.13751669861605,-25.105264556147223,2000.0,-39.39946671215116,5.76847793530038,-13.660264338030974,4,-43.106639;-33.005227;-36.183043;-45.302957,0.26840328113627904,-0.3039372088646247,47133.652740415055,False,-47133.652740415055,0.0,5.395520651718768,-0.9999999999999849,0.18080533319410005,0.90415842763708,-0.9967543565451162,-1.9009127841821962,BTC/USD,0.4039640809923455,88688.88888886628,0.8129099907336879,0.6134586323565683,-0.7752943161601531,0.3249466671058336,0.18650438804967018,-0.34398882367335903,-1.1832587445947862,3.2634292043002145e-17,False,1.0,9.804211471099643e-13,-0.9999999999999999,False,-10.270954996610435,-1.8645938617863005,0.06223835390726995,0.005061648085190051,1564,0.0011394647451716798,-0.0035803695515862458,0.0005823989819558438,-0.001740748663493062,0.0011119763406563488,-0.0007278449481589089,0.001357719138920409,1.0859975094246301,-1.780646871797177,0.41753065601532663,-0.8618031277659426,0.5132328137219041,-0.7085177719439931,1.116956290488299,0.00014282625482442413,0.11790159242896828,0.224216424343343,close,-0.11372745865503281,216.17693902571085,99,206.83930860747785,0.0,False,68,31,run+ledger,81.84962561809472,this run,-33.434401801541725,4.642709695986095,False,False,True,False,False,False,1,6,False,True,underpowered
crypto,1m,chart:range_filter_macd@allow_short=0,False,18,6.432511968535193,0.202337019479535,-0.9968689669090849,0.2858340712656522,-1.282703038174737,1.5440007967898418e-17,0.2779066905031901,0.6063549951063062,247799,-27.469940669122515,1.1640642313155487,-28.634004900438065,-10.809793851529758,0.0,-23.38067991653897,-4.207716570260244,15.850109148111788,3339957,2020-04-08,2026-08-20,0.2101610281892067,0.7426933722555955,-0.9999999999999999,-0.7838910181258877,0.8554798424266572,7.780023061651628e-13,533148.2411487594,0.007252224835867864,-0.004603095459817801,2.64889463145367,0.0,-35.024008504130144,-24.359371280361444,2000.0,-36.06880803441874,5.800765295337816,-12.435879129054891,4,-41.131941;-29.670962;-32.644212;-40.828117,0.28297146041701915,-0.3182318325167477,50388.724395914855,False,-50388.724395914855,0.0,5.323095481806591,-0.9999999999996252,0.202337019479535,0.8987289223398892,-0.996868966909085,-1.8955978892489742,BTC/USD,0.4039640809923455,88688.88888886628,0.8129099907336879,0.6134586323565683,-0.7752943161601531,0.3425838632050615,0.1943370654794192,-0.3602363121969252,-1.191206032388504,2.4823391058566318e-17,False,1.0,7.780023061651628e-13,-0.9999999999999999,False,-12.946108325829492,-2.1978362936224185,0.027960774066041028,0.002081059450654843,1564,0.0008604995416899312,-0.0024668570265877496,0.0006722618180014698,-0.0010931668708537806,0.00037786186083041157,-0.00034523500690314884,0.0008290799275629846,0.7828635750958286,-1.2028498870657038,0.4458860076341312,-0.5208196103411776,0.16156732554455863,-0.32893463932405853,0.654613730105709,2.5796413352097147e-05,0.12242896073453996,0.22507303287772407,close,0.2400232092269663,174.11941315567452,99,206.83930860747785,0.0,False,68,31,run+ledger,81.84962561809472,this run,-33.434401801541725,5.96446113241921,False,False,True,False,False,False,1,6,False,True,underpowered
crypto,1m,ha:chart:range_filter_macd,False,18,6.432511968535193,0.3677577608987668,-0.9999957531260094,0.4216019972443019,-1.4215977503703114,2.898981792652858e-36,0.2634506331673244,0.5405064928634514,524269,-38.35523222367048,1.1640642313155487,-39.519296454986026,-10.566598632602787,0.0,-45.01609649931839,-5.794629254484593,15.850109148111788,3339957,2020-04-08,2026-08-20,0.32189264389819416,0.7426933722555955,-1.0,-0.7838910181258877,0.8554798424266572,2.7860696014494985e-31,533148.2411487594,0.006898644002090959,-0.004565204167266448,3.7400205902636383,0.0,-48.29280333586643,-33.508196691759125,2000.0,-50.60073403131916,10.159405544450737,-9.961357248694194,4,-53.098095;-42.762654;-42.600888;-63.941300,0.43341257095184615,-0.4527810460035959,96105.10864574858,False,-96105.10864574858,0.0,11.272331691240296,-0.9999999999999977,0.3677577608987668,0.9139133298210094,-0.9999957531260094,-1.913909082947019,BTC/USD,0.4039640809923455,88688.88888886628,0.8129099907336879,0.6134586323565683,-0.7752943161601531,0.5247177672953446,0.26958467790478946,-0.5107267981672844,-1.269580431030799,6.000494098986174e-36,False,1.0,2.7860696014494985e-31,-1.0,False,-53.57190951687961,-6.110786641074716,9.914122856002905e-10,0.003811084313991686,1564,-0.00015174921397589176,-0.0033239899418607555,-0.0006967028686925684,0.002735648481310929,-0.002191081403953377,-0.0016460882668711716,0.0008222472916752392,-0.09223884692563535,-1.2053548735801018,-0.3269584988920554,0.8085997899539227,-0.6173589966436448,-1.1469777612247039,0.48360892574040015,6.847227229656028e-09,-0.10038546258206743,0.059113022549524885,close,4.34372985923399,1154.140188180321,99,206.83930860747785,0.0,False,68,31,run+ledger,81.84962561809472,this run,-33.434401801541725,-4.920830422128752,False,False,False,False,False,False,0,6,False,True,underpowered
crypto,1m,chart:range_filter_macd,False,18,6.432511968535193,0.4112340442005317,-0.9999959295267911,0.43939232715796317,-1.4393882566847542,2.03698025343103e-36,0.2616665374476663,0.5351601770668821,515920,-36.77095168356731,1.1640642313155487,-37.93501591488286,-11.541853481219045,0.0,-53.3346005055126,-6.7538908118766265,15.850109148111788,3339957,2020-04-08,2026-08-20,0.33678283696699274,0.7426933722555955,-1.0,-0.7838910181258877,0.8554798424266572,2.120685703996125e-31,533148.2411487594,0.007333009009948121,-0.004856172056015518,3.286735183097835,0.0,-45.714649152603265,-32.636255307934654,2000.0,-46.39503452619839,9.747589996993575,-9.519283133678764,4,-50.267606;-39.970061;-37.052572;-58.289900,0.45346148161275096,-0.4689873427464749,104109.29121301515,False,-104109.29121301515,0.0,11.098082064186729,-0.9999999999999251,0.4112340442005317,0.9250031701756164,-0.9999959295267911,-1.9249990997024073,BTC/USD,0.4039640809923455,88688.88888886628,0.8129099907336879,0.6134586323565683,-0.7752943161601531,0.5489902973135444,0.2787578326893476,-0.5285242725024645,-1.2787537622161387,4.360730491672991e-36,False,1.0,2.120685703996125e-31,-1.0,False,-62.3898608802765,-7.161855411309901,7.958078640513122e-13,0.0027879658080647296,1564,-0.000465325225035825,-0.002369702038877451,-0.0009900894485205204,0.0024607914184367765,-0.002328367574257347,-0.0014503968203270845,0.0002882315220804916,-0.2811119508808941,-0.8700231159239822,-0.48811553844321165,0.7084495419920072,-0.6668938534358846,-0.9866066423376116,0.17439387999485567,1.4393153335845454e-11,-0.10624548475474391,0.06276554433766957,close,6.266855405613449,1731.1128658199732,99,206.83930860747785,0.0,False,68,31,run+ledger,81.84962561809472,this run,-33.434401801541725,-3.3365498820255866,False,False,False,False,False,False,0,6,False,True,underpowered
crypto,1m,ha:chart:ssl_hybrid@allow_short=0,False,18,6.432511968535193,0.4827259539565267,-0.9904958887647081,0.4933535879718294,-1.4838494767365376,7.457414136559193e-15,0.34249085153560865,0.7492296513848635,202493,-12.056684420947247,1.1640642313155487,-13.220748652262795,-10.988117435775491,0.0,-7.619952522148978,-0.7437869025675348,15.850109148111788,3339957,2020-04-08,2026-08-20,0.382500851135902,0.7426933722555955,-0.9999999999999073,-0.7838910181258877,0.8554798424266572,9.837655056635241e-10,533148.2411487594,0.010950929141443574,-0.007613479586671323,1.2031859624304913,0.0,-16.01446839728279,-11.313728891536414,2000.0,-15.255314336965824,1.9232784950016433,-15.863864101441836,4,-16.863759;-13.507139;-13.675327;-16.975033,0.5150185331184908,-0.5163523651458553,131917.77842143923,False,-131917.77842143824,0.0,4.4097220850858045,-0.9999372375408769,0.4827259539565267,0.9455825557803639,-0.9904958887647999,-1.9360784445451638,BTC/USD,0.4039640809923455,88688.88888886628,0.8129099907336879,0.6134586323565683,-0.7752943161601531,0.6235153129503542,0.30552787451918006,-0.5799831666817135,-1.296023763283888,1.7704994724997755e-14,False,1.0,9.837655056635241e-10,-0.9999999999999073,False,19.285546370741542,1.6263282281346603,0.10387984986843524,0.005124647048919018,1564,0.002928148138758963,-0.004391194058217874,0.003458470166043435,-0.004074855589210292,0.001149821495252877,-0.0008991700137892679,0.0021719926205902864,1.7475129459333512,-1.3527382399876058,1.227884741365575,-1.2600289422000357,0.2965465292046424,-0.5502129129479927,1.1274508489380712,0.457005405076893,0.31568255954406016,0.4756919321840879,close,0.07820538444778545,113.36782140220792,99,206.83930860747785,0.0,False,68,31,run+ledger,81.84962561809472,this run,-33.434401801541725,21.377717380594476,False,False,True,False,False,False,1,6,False,True,underpowered
crypto,1m,chart:ssl_hybrid@allow_short=0,False,18,6.432511968535193,0.4825328254627983,-0.9985511771241818,0.508738762398034,-1.5072899395222157,3.883827208775878e-20,0.3266616314199396,0.7080047107166086,275392,-16.39518801897583,1.1640642313155487,-17.55925225029138,-13.573599505600283,0.0,-26.761354689490144,-4.279305303202071,15.850109148111788,3339957,2020-04-08,2026-08-20,0.39571556319731716,0.7426933722555955,-1.0,-0.7838910181258877,0.8554798424266572,5.472640292769558e-15,533148.2411487594,0.00972650865591437,-0.00666477656882101,1.2936327053886236,0.0,-20.41495956705817,-15.455201007060165,2000.0,-19.228645871277568,2.24646265793142,-17.119043402202486,4,-18.994022;-17.994345;-17.464872;-22.461344,0.5328114912288903,-0.5293875867369455,140908.43898522586,False,-140908.43898522586,0.0,6.011507201522996,-0.9999987321198671,0.4825328254627983,0.9455243046112151,-0.9985511771241818,-1.944075481735397,BTC/USD,0.4039640809923455,88688.88888886628,0.8129099907336879,0.6134586323565683,-0.7752943161601531,0.6450566384194435,0.31285800131511743,-0.5939886830624153,-1.3114091784392992,9.500791283349736e-20,False,1.0,5.472640292769558e-15,-1.0,False,6.93163535532399,0.5702233634015215,0.5685262118172405,0.004639942088139559,1564,0.0013443206491146956,-0.006302489093043262,0.00406968458104198,-0.004827981190796214,0.0002406505129034348,-0.0024346623133449158,0.0015712583396765493,0.7226178918676985,-1.6994807290426284,1.1889888630056984,-1.4622565903661737,0.055467704036100775,-1.0970914188971068,0.693508240912394,1.8747755316406156e-05,0.3953202792626894,0.6243563310669417,close,13.247262783846677,4954.197822405162,99,206.83930860747785,0.0,False,68,31,run+ledger,81.84962561809472,this run,-33.434401801541725,17.039213782565895,False,False,True,False,False,False,1,6,False,True,underpowered
crypto,1m,RANDOM_50,False,18,6.432511968535193,0.5000712877967477,-0.9999991199970542,0.5313836521077329,-1.531382772104787,7.198907229905056e-41,0.3917427034866155,0.6554210382121239,661960,-33.434401801541725,1.1640642313155487,-34.598466032857274,-12.058041847957858,0.0,-29.914904111363665,-2.76300838664683,15.850109148111788,3339957,2020-04-08,2026-08-20,0.4153366987232408,0.7426933722555955,-1.0,-0.7838910181258877,0.8554798424266572,1.1164047214376088e-35,533148.2411487594,0.005174112933264,-0.0050842759610255145,2.869327082217487,0.0,-40.72437779493972,-29.780187174436243,2000.0,-43.221832828812694,12.319054614746719,-7.0170697639530415,4,-33.428668;-38.325565;-39.900996;-61.232103,0.5592303826030428,-0.5482151570799652,155079.74832623766,False,-155079.74832623766,0.0,14.286896544481866,-0.9999999999992446,0.5000712877967477,0.950856189254732,-0.9999991199970542,-1.9508553092517862,BTC/USD,0.4039640809923455,88688.88888886628,0.8129099907336879,0.6134586323565683,-0.7752943161601531,0.6770410860920602,0.32339108444318043,-0.6140892592322882,-1.3233902044402346,1.8410298602616184e-40,False,1.0,1.1164047214376088e-35,-1.0,False,23.494692193417535,1.5249426437056666,0.12727340427956202,0.002801996380887961,1564,0.0010258437757694411,-0.005666957601412464,-0.00026844409828435847,-0.0035398616487055936,0.002604550658706366,-0.004372229402492531,-0.0010059984856485968,0.37210962822009513,-1.5980677714335827,-0.05013512030364313,-0.913846050520414,0.5722311613355551,-1.1770185726379208,-0.26975253109876013,0.005727129487608229,0.6266554704236872,0.8259657109741514,close,28.098273727879487,10408.227787437281,99,206.83930860747785,0.0,False,68,31,run+ledger,81.84962561809472,this run,-33.434401801541725,0.0,False,False,True,False,False,False,1,6,False,True,underpowered
crypto,1m,ha:chart:ema_cross_sniper@allow_short=0,False,18,6.432511968535193,0.5044477712264376,-0.999999999999782,0.5412293894461051,-1.541229389445887,2.218093791183299e-83,0.20276366617493607,0.5065121137623808,1283223,-68.62445763838588,1.1640642313155487,-69.78852186970143,-10.025251990004021,0.0,-70.08614142883178,-4.744740765250777,15.850109148111788,3339957,2020-04-08,2026-08-20,0.4239367091482498,0.7426933722555955,-1.0,-0.7838910181258877,0.8554798424266572,3.5845813883342434e-78,533148.2411487594,0.006142558802635376,-0.0030843420728359234,6.96127358586958,0.0,-86.2346666789227,-58.582087725686264,2000.0,-87.0476085584184,16.708117290714153,-10.419798597750654,4,-97.630396;-71.259867;-74.440063;-104.860108,0.5708098725329049,-0.556271844745208,161606.3938586635,False,-161606.3938586635,0.0,27.743021694308375,-1.0,0.5044477712264376,0.9521988167262274,-0.999999999999782,-1.9521988167260094,BTC/USD,0.4039640809923455,88688.88888886628,0.8129099907336879,0.6134586323565683,-0.7752943161601531,0.6910599782738729,0.3278731181019976,-0.6226424779951434,-1.3278731181017795,5.78405317805698e-83,False,1.0,3.5845813883342434e-78,-1.0,False,-26.294390833302508,-1.8308304310937373,0.06712585670241067,0.0038198471935639855,1564,0.0004742259554857947,-0.0032506177896623823,-0.004542309467667829,-0.0004497901461470819,0.007548566389186228,-0.0039540548842135585,-0.003453255186853306,0.1619165996300672,-0.9290871233216699,-0.8530247153719192,-0.12225536472330224,1.5530489579000557,-1.0562788230380062,-0.9702956925154771,2.087735283762271e-06,0.5138091648084887,0.5848524731372193,close,-0.28721932618032464,105.75513464171298,99,206.83930860747785,0.0,False,68,31,run+ledger,81.84962561809472,this run,-33.1555677690786,-35.468889869307276,False,False,False,False,False,False,0,6,False,True,underpowered
crypto,1m,chart:ema_cross_sniper@allow_short=0,False,18,6.432511968535193,0.5043974093669319,-0.9999999999999629,0.542372622667449,-1.542372622667412,2.4804596550540465e-88,0.19579878402239226,0.49078835916416563,1349038,-72.63075190093345,1.1640642313155487,-73.794816132249,-9.282798678004053,0.0,-78.04309233426267,-5.296488648825169,15.850109148111788,3339957,2020-04-08,2026-08-20,0.42493816345110136,0.7426933722555955,-1.0,-0.7838910181258877,0.8554798424266572,4.0277466267925e-83,533148.2411487594,0.006118701126774671,-0.0030353603156108053,7.949630137633884,0.0,-92.48209457189604,-61.04622733440886,2000.0,-94.7809283255528,19.915073293996013,-9.518511624471632,4,-110.221263;-75.374188;-79.927582;-113.600680,0.5721582813652204,-0.5572023699599147,162379.04206931114,False,-162379.04206931114,0.0,29.07255721737635,-1.0,0.5043974093669319,0.9521833414798283,-0.9999999999999629,-1.9521833414797913,BTC/USD,0.4039640809923455,88688.88888886628,0.8129099907336879,0.6134586323565683,-0.7752943161601531,0.6926924507015645,0.3283896372113648,-0.623628438327278,-1.3283896372113277,6.482902990346161e-88,False,1.0,4.0277466267925e-83,-1.0,False,-33.961586992921404,-2.325595251572345,0.020040153139361694,0.003907399574886838,1564,0.0005587934430316735,-0.0032695606260184917,-0.0046674914472651825,0.0003467539454505436,0.007096124404809459,-0.003788750783626946,-0.003687326913931603,0.18961283854175773,-0.9319270918956365,-0.8684644020072481,0.0930860624910381,1.4104009552695396,-1.0105610900914692,-1.0332643038756646,1.1805067323678031e-07,0.517208860913813,0.5862750166520994,close,-0.16036009990320063,96.48310741948974,99,206.83930860747785,0.0,False,68,31,run+ledger,81.84962561809472,this run,-33.15877641835008,-39.47197548258337,False,False,False,False,False,False,0,6,False,True,underpowered
