class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling
us_stocks,1d,long,volmanaged,614,23.59514722189904,-0.045673189437946626,0.06532599917502425,-3.425160287214289,24,0.8918588938549163,1.0,0.01982302192142138,0.027642032596708846,-4557.33657457478,0.0,0.4938374151352692,0.4666854586487498,-0.5351685307325281,-0.6894976947790271,1.2181003005772448,2118.5,0.00136453910199536,0.521645356051577,0.015135011498936791,0.013530538997616665,0.10084883552944318,7.948103776427246,0.11011829086428981,0.11011829086428974,8.653741599936797,303853.3738927015,405351.7917512758,89481.03776427245,96537.41599936796,0.6319218241042345,1.0,0.0,2.695352869632976,1.0,0.03746279525858364,402,False,False,True,True,False,False,2,6,True,True,fail,False
us_stocks,1d,short,rsi2_raw,614,23.59514722189904,-0.8592296276400534,0.8582082777191429,-4.9048097396434,24,1.0,1.0,0.1620297812766979,0.016252162759153185,-93467.01982895265,0.0,-0.17910039463221494,0.4666854586487498,-0.9357146725188668,-0.6894976947790271,0.9112620135512153,540.0,-0.0018253271841614737,0.6092052096818485,0.032769224394334176,0.05485001989263452,-0.03327851453353048,-0.8468907293801329,-0.09215221405406104,-0.09215221405405973,8.653741599936797,-5472.835575292727,405351.7917512758,1531.0927061986706,96537.41599936796,0.06840390879478828,0.1932603201347936,0.8067396798652064,48.14549319470488,1.0,0.4921605701165612,402,False,False,True,True,False,False,2,6,True,True,fail,False
us_stocks,1d,short,rsi2_connors,614,23.59514722189904,-1.02465686814108,0.8341612296720327,-6.017749085199568,24,1.0,1.0,0.08391333661295323,0.0017092431789829318,-96123.85646193831,0.0,-0.3369525515940699,0.4666854586487498,-0.9735084498760238,-0.6894976947790271,0.633836862162523,309.0,-0.008487336152214461,0.5665516957233163,0.02693817746478197,0.054910951584466045,-0.1545654538359061,-0.9552269363901076,-0.13899229488367343,-0.13899229488367323,8.653741599936797,-8689.488185025974,405351.7917512758,447.73063609892483,96537.41599936796,0.02768729641693811,0.10794200626656156,0.8920579937334384,27.632800671608788,1.0,0.4783702010607651,402,False,False,True,True,False,False,2,6,True,True,fail,False
us_stocks,1d,short,TANH,614,23.59514722189904,-1.0270080085633604,0.7857805094530719,-6.402921814599597,24,1.0,1.0,0.035132619558715994,0.0,-96241.97718731011,0.0,-0.333933670623793,0.4666854586487498,-0.9755093789532981,-0.6894976947790271,0.7459387807419384,117.0,-0.005870885259745329,0.29398365268658716,0.06545454761222413,0.046917535419408796,-0.12513200463885976,-0.949518857830846,-0.13602296539461722,-0.13602296539461678,8.653741599936797,-6944.247054610823,405351.7917512758,504.8114216915404,96537.41599936796,0.04723127035830619,0.1344496063206294,0.8655503936793705,11.823228773442445,1.0,0.4506250913201597,402,False,False,True,True,False,False,2,6,True,True,fail,False
us_stocks,1d,short,connors_rsi,614,23.59514722189904,-1.095800936970004,0.9613411780973926,-5.584184296677014,24,1.0,1.0,0.08820410655618238,0.011333657614430705,-96344.45420506471,0.0,-0.373384200014811,0.4666854586487498,-0.9798376729304623,-0.6894976947790271,0.684979979161723,157.0,-0.0135060200355347,0.5675675675675675,0.053124752180880405,0.1023863862066211,-0.13191226427582708,-0.9634279178941686,-0.15013490231396742,-0.15013490231396842,8.653741599936797,-8758.954953920918,405351.7917512758,365.7208210583142,96537.41599936796,0.030944625407166124,0.06470092670598146,0.9352990732940185,14.579269066002182,1.0,0.5513046594544467,402,False,False,True,True,False,False,2,6,True,True,fail,False
us_stocks,1d,short,CDLINVERTEDHAMMER,614,23.59514722189904,-1.1093629788788293,0.9422868193356704,-5.767613813600581,24,1.0,1.0,0.0652752624800517,0.004941873263379415,-96004.62536366534,0.0,-0.3911899331003923,0.4666854586487498,-0.9798057874775923,-0.6894976947790271,0.6064707751094768,125.0,-0.01846059509659855,0.4805061559507524,0.06182467466585842,0.09378947709637592,-0.19683013135502253,-0.9633825167639904,-0.14839354659134202,-0.14839354659134424,8.653741599936797,-8872.413845468125,405351.7917512758,366.17483236009616,96537.41599936796,0.029315960912052116,0.07230201189761629,0.9276979881023837,11.529062057077564,1.0,0.5403774704318728,402,False,False,True,True,False,False,2,6,True,True,fail,False
us_stocks,1d,short,T3_1000,614,23.59514722189904,-1.1739790167230908,1.0082917876491524,-5.704002739942001,24,1.0,1.0,0.0,0.0,-96373.98810677373,0.0,-0.46396103925977916,0.4666854586487498,-0.9901557143786621,-0.6894976947790271,0.04410699177181704,2.0,-0.18120254015922013,0.08333333333333333,0.02853460273270493,0.8912395480260411,-0.20331519237510945,-0.9808696219930999,-0.1752450432333192,-0.1752450432333187,8.653741599936797,-9236.344156020477,405351.7917512758,191.3037800690011,96537.41599936796,0.021172638436482084,0.027358599333697737,0.9726414006663022,0.08476319224419873,1.0,0.5782296371833101,402,False,False,True,True,False,False,2,6,True,True,fail,False
us_stocks,1d,short,BBANDS,614,23.59514722189904,-1.2069123051741986,0.9332975723305809,-6.335212690161911,24,1.0,1.0,0.0,0.0,-91229.92064592795,0.0,-0.5213883759561376,0.4666854586487498,-0.9914499587023917,-0.6894976947790271,0.0,1.0,-0.985953205583436,0.0,0.0,0.985953205583436,-1.0,-0.9861195165459479,-0.1871650016016218,-0.1871650016016238,8.653741599936797,16613.834193087212,405351.7917512758,138.80483454052128,96537.41599936796,0.019543973941368076,0.0,1.0,0.0,1.0,0.5352223664253005,402,False,False,True,True,False,False,2,6,True,True,fail,False
us_stocks,1d,short,CDLCOUNTERATTACK,614,23.59514722189904,-1.2545442195252547,0.9731686975733914,-6.315437817220358,24,1.0,1.0,0.0017203549074935875,0.0,-96391.02868846268,0.0,-0.5222148374205198,0.4666854586487498,-0.991556956927242,-0.6894976947790271,0.027689074314685782,5.0,-0.32218714653699043,0.3076923076923077,0.03198435534052281,0.49563003733557376,-0.6500557316280021,-0.9876184919148729,-0.18806451878593766,-0.18806451878593888,8.653741599936797,-9293.778176713182,405351.7917512758,123.8150808512709,96537.41599936796,0.02280130293159609,0.0030328559393428814,0.9969671440606571,0.5085791534651924,1.0,0.5580874403708028,402,False,False,True,True,False,False,2,6,True,True,fail,False
us_stocks,1d,short,ASIN,614,23.59514722189904,-1.255820508641195,0.9671275859213402,-6.361351903250441,24,1.0,1.0,0.0,0.0,-96383.23651757778,0.0,-0.5287576493410111,0.4666854586487498,-0.9918497940834469,-0.6894976947790271,0.0,1.0,-0.9851684843456654,0.0,0.0,0.9854337470419339,-0.9997308163059518,-0.9876853545578741,-0.1908550974003525,-0.19085509740034998,8.653741599936797,-9317.50054390981,405351.7917512758,123.14645442125956,96537.41599936796,0.021172638436482084,0.0,1.0,0.0,1.0,0.5546230168363281,402,False,False,True,True,False,False,2,6,True,True,fail,False
