,AVGDEV,HT_DCPHASE,HT_PHASOR,HT_TRENDMODE,MAXINDEX,MININDEX,MINMAXINDEX,TAN
AVGDEV,1.0,-0.28917445217651405,-0.07949062681564231,0.16612881219828643,0.06173130538826358,0.12833523158616034,-0.22184763946195113,0.0033094895898361024
HT_DCPHASE,-0.28917445217651405,1.0,0.23695365849814531,-0.01459656159592595,0.1224604663652715,-0.042824062964838296,0.3024638236933551,0.00781367133932396
HT_PHASOR,-0.07949062681564231,0.23695365849814531,1.0,-0.057177477009843936,-0.005299539215861651,-0.06048796396628693,0.13832574813533394,0.014495308876532548
HT_TRENDMODE,0.16612881219828643,-0.01459656159592595,-0.057177477009843936,1.0,0.8340988458416867,0.8549621305856931,-0.13394953475631804,0.005595408290034108
MAXINDEX,0.06173130538826358,0.1224604663652715,-0.005299539215861651,0.8340988458416867,1.0,0.8607714433427063,-0.002195766004150218,-0.006841843326418023
MININDEX,0.12833523158616034,-0.042824062964838296,-0.06048796396628693,0.8549621305856931,0.8607714433427063,1.0,-0.25944062125547457,-0.023598431974730577
MINMAXINDEX,-0.22184763946195113,0.3024638236933551,0.13832574813533394,-0.13394953475631804,-0.002195766004150218,-0.25944062125547457,1.0,0.026006234999236016
TAN,0.0033094895898361024,0.00781367133932396,0.014495308876532548,0.005595408290034108,-0.006841843326418023,-0.023598431974730577,0.026006234999236016,1.0
