class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,fold_dsharpe,fold_sd,fold_t,n_folds_scored,fold_edges,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,boot_draws
commodities,1h,ibs,False,5,3.6602605667067785,0.506334766097734,1.2801138380434596,0.12743137507912006,1.1526824629643395,13.168938607934,0.6571517703946342,1.5991929490532204,12822,4.776828295253611,0.7702843708367413,4.00654392441687,3.6857380785063607,0.0,0.2888385977369474,1.0885368782251168,4.812878187205275,23963,2023-01-19,2026-08-26,0.1757957123296018,0.26790290672406825,-0.18151032661736566,-0.2883070171484181,0.1857891621997778,204274.50772355532,18658.926268500756,0.0055887081425133895,-0.0066984502308204425,1.0870397839122945,1.0,1.6951526101765557,5.949185882100176,7.086277417169911,,,1,7.086277,0.6561918811529208,-0.19235683276394333,15511.842966636988,True,188762.66475691833,3.0,0.2875860832353486,4.092795712158415,0.506334766097734,0.6697521944829629,7.05256754202208,6.382815347539117,XAU/USD,0.273832540222652,24251.49682306043,1.3558654389379983,0.19214226252371794,-0.28759907564974263,0.9149247542971015,0.24967109303449853,-0.2653015296975334,1.030442745008961,9.034759596812757,True,1.0,204274.50772355532,-0.18151032661736566,True,0.6044853942858682,1.5104066905784566,0.13093968247004995,0.012619823290225818,862,0.015620333638848788,-0.01745650007133037,0.01824700044825433,-0.006431858348389512,0.017582272704528078,-0.009166088819823308,2.1337177375952755e-05,1.6444677857950354,-1.809920154846651,2.130468824412574,-0.4507314541127292,1.3188887162094272,-1.2096612874434052,0.00289957761461867,0.2763581654235665,0.4715306418798702,0.6191092663418514,close,-0.7736420450117424,52.52815745943724,387,9.352159008270979,1.0,False,0,387,run+ledger,3.1439403627125424,this run,0.1973156554839876,4.579512639769623,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0
commodities,1h,mc_log_linear_fit,False,5,3.6602605667067785,0.44326878938363307,0.20142378011111384,0.12323058837754064,0.0781931917335732,1.2793210349755162,0.6758241758241759,2.1255604197771603,182,1.167193055934384,0.7702843708367413,0.39690868509764266,1.6907186140109307,0.0,0.5092201396374766,1.8862009153000148,4.812878187205275,23963,2023-01-19,2026-08-26,0.16954607690249013,0.26790290672406825,-0.18508366160169176,-0.2883070171484181,0.1857891621997778,19575.32338344785,18658.926268500756,0.050333989217838014,-0.04936748434244626,0.2347573876625437,0.962,-0.05325332174130627,0.887450027505833,0.4459964477480895,,,1,0.445996,0.6328638945195073,-0.1856923444437698,15301.337856781574,True,4273.985526666275,10.0,0.004142692318480524,0.512836847573189,0.44326878938363307,0.6727270401695348,1.0882850402246025,0.4155580000550677,XAU/USD,0.273832540222652,24251.49682306043,1.3558654389379983,0.19214226252371794,-0.28759907564974263,0.8823986700040104,0.2404672615119796,-0.25666569223154667,-0.039043481400865776,0.8895335588872356,False,1.0,19575.32338344785,-0.18508366160169176,True,0.8183919523294187,2.027688309278545,0.04259206956686912,0.0053290313660839805,862,0.013780595792010712,-0.006588776498130574,-0.0019799128432988794,0.006129673666553218,0.00993465693582988,-0.007224190996292043,-0.001394569041218182,1.6352737345216222,-0.5399239133281677,-0.20520743564153232,0.3793372999982154,0.7415844426560462,-0.7036657352557928,-0.1852116360869957,0.05926788524039739,0.4618579528881743,0.5402255553983164,close,-0.4687817882994446,56.54816871521274,387,9.352159008270979,0.9868686640511772,False,0,387,run+ledger,3.1439403627125424,this run,0.13885638560921573,1.0283366703251682,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0
commodities,1h,mc_double_log_fit,False,5,3.6602605667067785,0.44807620080958144,0.1980962981980412,0.12406436430595913,0.07403193389208207,1.262964717310723,0.6740331491712708,2.099560156393812,181,1.1437351601448036,0.7702843708367413,0.3734507893080623,1.5729566950061677,0.0,0.45416933770738693,1.6391028869893498,4.812878187205275,23963,2023-01-19,2026-08-26,0.1707831577072227,0.26790290672406825,-0.18508366160169154,-0.2883070171484181,0.1857891621997778,19377.608203156455,18658.926268500756,0.0502453085802088,-0.049485164043848416,0.23741962540589712,0.951,-0.0774269043279881,0.8722921886766312,0.3962463520596649,,,1,0.396246,0.6374815405908383,-0.18701291907622986,15342.952924621603,True,4034.6552785348513,10.0,0.004107175721333735,0.496838518835506,0.44807620080958144,0.6725019577144166,1.070306781720979,0.3978048240065625,XAU/USD,0.273832540222652,24251.49682306043,1.3558654389379983,0.19214226252371794,-0.28759907564974263,0.8888370286893094,0.24228757986808325,-0.2583799662324261,-0.04419128167004205,0.8758355621263736,False,1.0,19377.608203156455,-0.18508366160169154,True,0.7626939113323495,1.888511974152983,0.05895725193965462,0.005814662675229121,862,0.014000484569205262,-0.007288334591474824,-0.0014883290369377812,0.007602232111166027,0.01269821662724396,-0.007944887830277733,-0.003868797407641803,1.6575935295679551,-0.5919640338073324,-0.15307031785745245,0.47018946687024626,0.9391334634979142,-0.7472205491761302,-0.4775523314061183,0.10119183391026354,0.46089107137364765,0.5308724355285739,close,-0.49371970747371674,55.444657572019196,387,9.352159008270979,0.9852817895146573,False,0,387,run+ledger,3.1439403627125424,this run,0.14331263566021574,1.000422524484588,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0
commodities,1h,mc_sinc_filter_projection,False,5,3.6602605667067785,0.4419605224721445,0.18546748972434135,0.1231110464276548,0.06235644329668655,1.2186953391200706,0.7045454545454546,2.353964542695214,176,1.0893081135650853,0.7702843708367413,0.319023742728344,0.9390344514799448,0.0,0.3456607923777142,1.380634671007275,4.812878187205275,23963,2023-01-19,2026-08-26,0.16936884587064724,0.26790290672406825,-0.15192587542149216,-0.2883070171484181,0.1857891621997778,18640.405953645568,18658.926268500756,0.041889569684957675,-0.04243501145148808,0.3397359300561908,0.8605,-0.26311225787670967,1.0372466322949354,0.2591793361358145,,,1,0.259179,0.6322023450275287,-0.18550309650659103,15295.378061513244,True,3345.027892132326,10.0,0.003982412290330914,0.46955580456815915,0.4419605224721445,0.6727882463098395,1.2207761792373666,0.5479879329275271,XAU/USD,0.273832540222652,24251.49682306043,1.3558654389379983,0.19214226252371794,-0.28759907564974263,0.8814762751622145,0.24020653510724954,-0.2564198997192779,-0.05473904538290819,0.847701415185663,False,1.0,18640.405953645568,-0.15192587542149216,False,0.6315065766724834,1.767619885454005,0.07712447134855016,0.011923487790839293,862,0.021688415157739248,-0.0031492635373303064,0.0067433754986224535,0.0064107635740419475,0.0009510288483948069,-0.0019663814544740275,0.002499561022706244,2.5471467518164275,-0.26604400664403954,0.7706877217523611,0.40491076270654974,0.06855768090954142,-0.1715627511966337,0.36773857969936996,0.16739131736556345,0.42701224159668566,0.5187444967953605,close,-0.5770976400437651,63.53444285490416,387,9.352159008270979,0.9809156596970365,False,0,387,run+ledger,3.1439403627125424,this run,0.13764368214481598,0.9516644314202694,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0
commodities,1h,mc_kth_order_moment,False,5,3.6602605667067785,0.5346061288931547,0.19019405990082494,0.13483151196088938,0.05536254793993556,1.1904676099124194,0.5852272727272727,2.112864890402327,176,1.0251244192160873,0.7702843708367413,0.25484004837934604,1.2633793966069564,0.0,-0.17648006022152785,-0.7467590264096506,4.812878187205275,23963,2023-01-19,2026-08-26,0.18691086025917428,0.26790290672406825,-0.1565297232560875,-0.2883070171484181,0.1857891621997778,18913.88623721139,18658.926268500756,0.058193609517914816,-0.03886135449765719,0.20171300011996954,0.919,-0.07673509731620137,0.7047359814388416,0.230107958183298,,,1,0.230108,0.6976813448750174,-0.20416601465634399,15887.778953181976,True,3026.107284029413,10.0,0.003930503417577914,0.38498725007634094,0.5346061288931547,0.6684024969592204,1.2150667358534937,0.5466642388942733,XAU/USD,0.273832540222652,24251.49682306043,1.3558654389379983,0.19214226252371794,-0.28759907564974263,0.9727732868561496,0.26608670291155057,-0.28050900229857734,-0.07589264301072562,0.7975131552738131,False,1.0,18913.88623721139,-0.1565297232560875,True,0.2099324494731247,0.5002310286415056,0.6169124125003402,0.010922264703478013,862,0.02177993520615599,-0.0138963315605731,0.009671504338250342,-0.009396670062893513,0.00015985532540772115,-0.006465864331584319,0.00042879464970939157,2.277046640954886,-1.0526461923741992,0.9169577747148213,-0.5852617003644885,0.01089474738480996,-0.5810816156630826,0.05408529588453634,0.45520903252333156,0.5772443779529759,0.7257615487664939,close,-0.7169703574334152,49.98418034075876,387,9.352159008270979,0.9744394160786642,False,0,387,run+ledger,3.1439403627125424,this run,0.23191804097520918,0.7932063782408781,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0
commodities,1h,mc_directional_change_rate,False,5,3.6602605667067785,0.7851882763705157,0.23060494890555883,0.17534115806199657,0.055263790843562255,1.1831490196298193,1.0,,5,0.9537101015925494,0.7702843708367413,0.18342573075580815,1.2972499662166934,0.0,-0.07909226657258425,-0.5700274409257492,4.812878187205275,23963,2023-01-19,2026-08-26,0.25056144475913644,0.26790290672406825,-0.2883070171484211,-0.2883070171484181,0.1857891621997778,21372.620166955712,18658.926268500756,0.9461440820621192,,0.14139582619589647,0.9075,0.0,0.5132171165202742,0.0,,,1,0.000000,0.9352696013007691,-0.2705968162244967,18064.182797229314,True,3308.437369726398,20.0,5.46409186873668e-05,0.30248673740138354,0.7851882763705157,0.6559402402810972,0.7998589530925044,0.14391871281140722,XAU/USD,0.273832540222652,24251.49682306043,1.3558654389379983,0.19214226252371794,-0.28759907564974263,1.0,0.273832540222652,-0.28759907564974263,-0.043227591317093195,0.8812907641491543,False,1.0,21372.620166955712,-0.2883070171484211,True,0.5520611640042802,0.8945713657348633,0.37101626436544466,0.010330644079269091,862,0.025749839244103505,-0.023520554196688487,0.017206992473887156,-0.01974682779705738,0.011867382832225645,-0.014901595880122616,0.004026455738471317,1.7833319145690822,-1.4613040779251447,1.1177244946267246,-0.9213372851963176,0.5254680829965275,-1.0100323236512296,0.3307466749725575,0.5686590864680094,0.9428519012340625,0.9446299552776503,close,-0.9433803084294407,30.732098406935215,387,9.352159008270979,0.9651299769313155,False,0,387,run+ledger,3.1439403627125424,this run,0.5568369228519868,0.3968731787405626,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0
commodities,1h,mc_rolling_max_drawdown_reversion,False,5,3.6602605667067785,0.7851882763705157,0.23060494890555883,0.17534115806199657,0.055263790843562255,1.1831490196298193,1.0,,5,0.9537101015925494,0.7702843708367413,0.18342573075580815,1.2972499662166934,0.0,-0.07909226657258425,-0.5700274409257492,4.812878187205275,23963,2023-01-19,2026-08-26,0.25056144475913644,0.26790290672406825,-0.2883070171484211,-0.2883070171484181,0.1857891621997778,21372.620166955712,18658.926268500756,0.9461440820621192,,0.14139582619589647,0.9075,0.0,0.5132171165202742,0.0,,,1,0.000000,0.9352696013007691,-0.2705968162244967,18064.182797229314,True,3308.437369726398,20.0,5.46409186873668e-05,0.30248673740138354,0.7851882763705157,0.6559402402810972,0.7998589530925044,0.14391871281140722,XAU/USD,0.273832540222652,24251.49682306043,1.3558654389379983,0.19214226252371794,-0.28759907564974263,1.0,0.273832540222652,-0.28759907564974263,-0.043227591317093195,0.8812907641491543,False,1.0,21372.620166955712,-0.2883070171484211,True,0.5520611640042802,0.8945713657348633,0.37101626436544466,0.010330644079269091,862,0.025749839244103505,-0.023520554196688487,0.017206992473887156,-0.01974682779705738,0.011867382832225645,-0.014901595880122616,0.004026455738471317,1.7833319145690822,-1.4613040779251447,1.1177244946267246,-0.9213372851963176,0.5254680829965275,-1.0100323236512296,0.3307466749725575,0.5686590864680094,0.9428519012340625,0.9446299552776503,close,-0.9433803084294407,30.732098406935215,387,9.352159008270979,0.9651299769313155,False,0,387,run+ledger,3.1439403627125424,this run,0.5568369228519868,0.3968731787405626,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0
commodities,1h,mc_rolling_window_upper_envelope_forecast,False,5,3.6602605667067785,0.7390706505863205,0.19702535536445187,0.15203002218963668,0.04499533317481519,1.1505489448135053,0.5983606557377049,2.23160449840801,122,0.9498439269461074,0.7702843708367413,0.17955955610936614,1.323412314281427,0.0,0.138192911231747,0.5153177154945804,4.812878187205275,23963,2023-01-19,2026-08-26,0.2133106294234038,0.26790290672406825,-0.21054582670748445,-0.2883070171484181,0.1857891621997778,19314.283913853335,18658.926268500756,0.07908499924851045,-0.0527963217355794,0.13567922420826314,0.933,-0.05518484874321357,0.46199067850179676,0.21770023207581907,,,1,0.217700,0.796223646961424,-0.23197635942408878,16787.016320269646,True,2527.2675935836887,10.0,0.002780312079208845,0.27549213665760486,0.7390706505863205,0.6583069321150998,0.9357837124845184,0.2774767803694186,XAU/USD,0.273832540222652,24251.49682306043,1.3558654389379983,0.19214226252371794,-0.28759907564974263,1.0,0.273832540222652,-0.28759907564974263,-0.07680718485820015,0.7964161575168274,False,1.0,19314.283913853335,-0.21054582670748445,True,0.5673368402763603,1.1611843696210213,0.2455669297725951,0.010587419231664175,862,0.024362145806082074,-0.014146122956219115,0.008142270438593863,0.0035838902424486056,-0.010353381642787384,-0.009444147598509743,0.004171037468324353,2.2262171249355696,-1.026635732148109,0.6414035074705823,0.18935508827773187,-0.5671954557159474,-0.7832470009734911,0.42889379193336447,0.6063310215029456,0.641078935486342,0.692853474002346,close,-0.45778529471591245,30.14881995103398,387,9.352159008270979,0.9649618778966369,False,0,387,run+ledger,3.1439403627125424,this run,0.48386355931544467,0.46598036763066275,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0
commodities,1h,mc_rolling_mpv,False,5,3.6602605667067785,0.43788062151372253,0.15086295915113457,0.11288692421602975,0.03797603493510482,1.1306792263895544,0.7207792207792207,2.1273621932146884,154,0.9876748856644865,0.7702843708367413,0.21739051482774518,0.5103894793421647,0.0,0.13417774418988457,0.5462029964588512,4.812878187205275,23963,2023-01-19,2026-08-26,0.1543316354117811,0.26790290672406825,-0.1519258754214906,-0.2883070171484181,0.1857891621997778,16724.853492651833,18658.926268500756,0.04260846238858043,-0.051702191089886884,0.42593063459681296,0.74,-0.4618397478952851,1.1720046204291488,0.23220342397341576,,,1,0.232203,0.5760730157763385,-0.1693971899453186,14791.864131135628,True,1932.989361516204,10.0,0.0034469312871947197,0.3783556773183201,0.43788062151372253,0.6729789930597629,0.9930037179815013,0.3200247249217384,XAU/USD,0.273832540222652,24251.49682306043,1.3558654389379983,0.19214226252371794,-0.28759907564974263,0.8032154580917902,0.21814364096188932,-0.23538707597227315,-0.06728068181075475,0.8122383165836724,False,1.0,16724.853492651833,-0.1519258754214906,False,0.41445963983849377,1.1584664677053778,0.24667372812556954,0.01594126132628837,862,0.02344245070628309,-0.005214687558268714,0.010179345288279695,0.0008905230644747943,-0.00508915048873235,-0.0016375181699629046,0.004657626329746947,2.6738450605891693,-0.4380975407202086,1.15545560155088,0.058439815945963175,-0.34828422584934965,-0.14432247752977545,0.6748585328954009,0.5849264066332369,0.4187005970200378,0.5078133294003098,close,-0.455231048993831,30.997970819355594,387,9.352159008270979,0.9701692409782062,False,0,387,run+ledger,3.1439403627125424,this run,0.13386180095280706,0.8538130847116794,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0
commodities,1h,bollinger_mr,False,5,3.6602605667067785,0.2317865041939657,0.13603707577658142,0.10001232061173715,0.03602475516484427,1.1251882410005694,0.8130841121495327,3.5709851009950975,107,1.0077078260928194,0.7702843708367413,0.2374234552560781,0.5689292693340592,0.0,0.2810475657469378,1.0931419789318055,4.812878187205275,23963,2023-01-19,2026-08-26,0.13571520385745522,0.26790290672406825,-0.1531383027890023,-0.2883070171484181,0.1857891621997778,15949.644322537162,18658.926268500756,0.0357208617843296,-0.04351341278868222,0.41731629580947044,0.739,-0.49717752515524766,1.0695491716726988,0.43504953826163867,,,1,0.435050,0.5065835437061447,-0.14932998850674684,14175.08976840533,True,1774.5545541318309,10.0,0.002338631319819299,0.7337270225174779,0.2317865041939657,0.6823868951109344,0.888328218995718,0.2059413238847836,XAU/USD,0.273832540222652,24251.49682306043,1.3558654389379983,0.19214226252371794,-0.28759907564974263,0.7063266668919473,0.19099770684648498,-0.20886234207244625,-0.054960631069903565,0.8411960724593862,False,1.0,15949.644322537162,-0.1531383027890023,False,0.49724461981300444,1.6203297351203818,0.10516146471416321,0.006722981433408104,862,0.013882200921739689,-0.010186489184808419,0.009675167717072638,-0.0023322494812258758,0.0012422930337715019,-0.0044021860914104744,0.0006260189136708047,1.375409961562451,-1.0261686432248625,1.485108929939563,-0.1588794585073651,0.08118591643324016,-0.4170097153158285,0.09615615298698889,0.27433146710648915,0.3229671163810138,0.37087385212877877,close,-0.3777595051805424,111.93722480756294,387,9.352159008270979,0.9725244918138749,False,0,387,run+ledger,3.1439403627125424,this run,-0.03058491497725153,1.0382927410700709,True,False,True,True,True,True,5,6,False,True,underpowered,2000.0
