basket,mode,tickers,start,end,bars,rebalances,switches,lookback,month_end,fee,pw_total_return,pw_cagr,pw_ann_vol,pw_sharpe,pw_max_dd,spy_total_return,spy_cagr,spy_ann_vol,spy_sharpe,spy_max_dd,eq_total_return,eq_cagr,eq_ann_vol,eq_sharpe,eq_max_dd,years,cagr_net,cagr_bench,excess_cagr,sharpe_rf,sharpe_bench_rf,max_dd,ir,t_stat,nw_t,vs_spy_excess_cagr,vs_spy_ir,vs_spy_t_stat,vs_spy_nw_t
base,honest,MDY IEV EEM ILF EPP EDV SHY,2000-04-04,2025-04-04,6289,301,232,21,trading,retail,5.050449994023183,0.07479640117825159,0.22300277648193845,0.3354056947551482,-0.4077131098841053,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,3.566302860339084,0.06274417666428334,0.16189651297283178,0.3875573075178746,-0.44905975439545626,24.999315537303218,0.07466316477829982,0.06263302954248084,0.012030135235818973,0.3560066737705028,0.3481146671744434,-0.40771310988410536,0.1103671473714911,0.5518281825862164,0.6493334340339117,0.0063540399555204186,0.048943552208912305,0.24471441101805816,0.3733447261536047
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,253,21,trading,retail,0.3762830016227172,0.012880043212192493,0.19416092360885195,0.06633694861351228,-0.6066434828805365,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.0588981768892234,0.0458191083019186,0.1620074640477306,0.282820971065996,-0.5584421029575879,24.999315537303218,0.012857764568983354,0.04573858491531024,-0.03288082034632689,0.07254021934298831,0.24880469335755473,-0.6066434828805365,-0.15465288183435236,-0.773253823686451,-1.0269467461176487,-0.055451360253796045,-0.26011419471040087,-1.3005531695838237,-1.6576566037331504
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,258,21,trading,retail,1.8332032035297297,0.042612078530980924,0.2085070591302767,0.20436755814754737,-0.7273670690562472,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,4.2426537676369325,0.06864237017370334,0.13607447124402422,0.5044470836164855,-0.3884920349160993,24.999315537303218,0.04253730512521514,0.06852044199504292,-0.025983136869827783,0.21942573564507453,0.4263711155501269,-0.7273670690562473,-0.06632295714147265,-0.33161024611728085,-0.4705423826866635,-0.025771819697564258,-0.09867452336370179,-0.49336586286924383,-0.5734503339068426
vanguard,honest,VTI VEA VWO BND BIV VGSH,2001-06-15,2025-04-04,5987,287,178,21,trading,retail,3.850968963305136,0.06872838133172454,0.16960746995041345,0.40522024974382326,-0.39826857868308313,5.341644528841053,0.08085052653567937,0.19107433125233805,0.4231365144955338,-0.551969547584095,2.7877563622677735,0.05765686483640442,0.13480259078498255,0.42771332880664176,-0.3900414961946453,23.802874743326488,0.06859427502752546,0.057544939042659005,0.01104933598486646,0.38297885835072265,0.3652699876274284,-0.3982685786830831,0.13065368868023505,0.6374356975289178,0.8239234630957109,-0.0120976121210008,-0.09521920124902317,-0.46455724732630094,-0.5296898448016858
base,honest,MDY IEV EEM ILF EPP EDV SHY,2000-04-04,2025-04-04,6289,301,173,42,trading,retail,4.949323462741045,0.07407074509396905,0.22223748923991188,0.33329545499862767,-0.5448420517919056,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,3.3738980979465145,0.060912542419808036,0.1620722891971366,0.3758356392789459,-0.45178875169768173,24.999315537303218,0.0739388452598535,0.06080473185116708,0.01313411340868642,0.35346198388929323,0.3372809535700472,-0.5448420517919056,0.11499779182453343,0.5749810878989196,0.6560161598146173,0.005629720437074104,0.04538251607225403,0.22690947407607484,0.3296400698397928
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,180,42,trading,retail,1.5343039773197846,0.037964746949874284,0.19247476010987055,0.19724532675454606,-0.5325370343605771,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,1.7915054857603616,0.04199283297751788,0.16147261937359247,0.2600616323710016,-0.5717284187441245,24.999315537303218,0.03789827583980965,0.04191916788804684,-0.00402089204823719,0.19843506300673142,0.22642342983431996,-0.5325370343605771,0.009548699677144256,0.047742844808374575,-0.01599718542289249,-0.03041084898296975,-0.14076127448382597,-0.7037967377690302,-0.9439578280762426
sector,honest,XLP XLY XLF XLV XLK TLT SHY,2000-04-04,2025-04-04,6289,301,200,42,trading,retail,3.3915912973166265,0.061084172910775614,0.18481328393342036,0.3305183026387941,-0.351394383384995,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,3.985281335974787,0.06648904725080129,0.1363627423274112,0.48758954327245063,-0.38849203491610057,24.999315537303218,0.06097604992572636,0.06637106152851291,-0.005395011602786548,0.3178057882792976,0.41098581318193655,-0.35139438338499507,0.015781971947776294,0.07890877951437969,0.0020654467199242225,-0.007333074897053038,-0.04127024791389067,-0.20634841475559998,-0.24045257502941844
vanguard,honest,VTI VEA VWO BND BIV VGSH,2001-06-15,2025-04-04,5987,287,130,42,trading,retail,3.5491001415750913,0.06584210378806765,0.16686375638298986,0.3945860096601518,-0.3799466780030102,5.341644528841053,0.08085052653567937,0.19107433125233805,0.4231365144955338,-0.551969547584095,3.0471078679210706,0.06060934876196811,0.13462357362277175,0.45021348884855306,-0.3900414961946454,23.802874743326488,0.06571380072536281,0.06049152926400447,0.005222271461358341,0.3703198730632816,0.38627397453027196,-0.3799466780030102,0.07957609899318471,0.388237382968158,0.47749176020949646,-0.01497808642316345,-0.11095790411353404,-0.5413435297495506,-0.5535432658659698
base,honest,MDY IEV EEM ILF EPP EDV SHY,2000-04-04,2025-04-04,6289,301,146,63,trading,retail,11.878568978222042,0.10782804304618065,0.2270372450156422,0.47493548047040307,-0.43575782441736816,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,3.3534422627884073,0.060713280718236895,0.1626999444150275,0.37316104155121776,-0.4461017959723324,24.999315537303218,0.10763308547742434,0.060605832802927306,0.04702725267449703,0.48683795403187513,0.3354468094155709,-0.4357578244173682,0.26144005299503337,1.3071823702563112,1.5379361728383172,0.03932396065464494,0.16920733344510622,0.8460250855354816,1.0543885248460567
broad,honest,SPY QQQ IWM EFA EEM TLT SHV,2000-04-04,2025-04-04,6289,301,141,63,trading,retail,7.5130980679269825,0.08960372071162848,0.19079048678698127,0.46964459402879755,-0.5471448817412895,4.216795408968853,0.0684306650665254,0.1932568144305512,0.3540918609683316,-0.5519695475840949,2.0099151061381892,0.045142843593522386,0.1616112565536373,0.2793298224158036,-0.5695371406005749,24.999315537303218,0.08944302835924489,0.04506353410793085,0.044379494251314044,0.4527328042578687,0.2450100067632593,-0.5471448817412896,0.26736677231786693,1.3368155612058734,1.6615011057473914,0.021133903536465493,0.09088694078330961,0.4544284830019088,0.7088096628145477
