rule,symbol,scenario,ir_union,ret_pct,bench_pct,years_oos
ACCBANDS,AAPL,gross,-0.7890315420131495,-32.37741603311625,133.79506822826008,3.95109911236787
ACCBANDS,AAPL,retail,-0.795202940276475,-33.05181166043808,133.79506822826008,3.95109911236787
ACCBANDS,AAPL,wide,-0.8020729290112697,-33.808194618180295,133.79506822826008,3.95109911236787
ACCBANDS,AAPL,pessimistic,-0.8192228256938543,-35.662463645122735,133.79506822826008,3.95109911236787
ACCBANDS,MSFT,gross,-0.536562076383953,-12.921990769243251,93.53173619838225,3.8707593561206077
ACCBANDS,MSFT,retail,-0.5437282313669926,-13.867762372049652,93.53173619838225,3.8707593561206077
ACCBANDS,MSFT,wide,-0.5513951153882609,-14.883500350123713,93.53173619838225,3.8707593561206077
ACCBANDS,MSFT,pessimistic,-0.570535456007861,-17.37136031771429,93.53173619838225,3.8707593561206077
ACCBANDS,AMZN,gross,-0.5775292433073985,-23.57761859225662,155.54299708015532,3.960508725278532
ACCBANDS,AMZN,retail,-0.5822618273192863,-24.350924499243266,155.54299708015532,3.960508725278532
ACCBANDS,AMZN,wide,-0.587352329998855,-25.190356092152776,155.54299708015532,3.960508725278532
ACCBANDS,AMZN,pessimistic,-0.6000643822942698,-27.248925990563322,155.54299708015532,3.960508725278532
ACCBANDS,NVDA,gross,-0.9752654155629434,1.3845153552503708,1158.3885199954052,3.9269025216404874
ACCBANDS,NVDA,retail,-0.9789250817153291,0.3875678175094155,1158.3885199954052,3.9269025216404874
ACCBANDS,NVDA,wide,-0.9830264127366168,-0.7434799916459456,1158.3885199954052,3.9269025216404874
ACCBANDS,NVDA,pessimistic,-0.9932700204237765,-3.5164124721264622,1158.3885199954052,3.9269025216404874
ACCBANDS,GOOGL,gross,-0.786606866937265,-6.81113274866747,233.8216813324925,3.938539355621642
ACCBANDS,GOOGL,retail,-0.7925400500996561,-7.735827091915171,233.8216813324925,3.938539355621642
ACCBANDS,GOOGL,wide,-0.7991032667634332,-8.767955326865762,233.8216813324925,3.938539355621642
ACCBANDS,GOOGL,pessimistic,-0.8154876634486574,-11.298706271142988,233.8216813324925,3.938539355621642
ACCBANDS,META,gross,-0.34595248509884946,51.80063301095388,238.41145694561567,3.9342998084142984
ACCBANDS,META,retail,-0.3498850554553244,50.37423367421601,238.41145694561567,3.9342998084142984
ACCBANDS,META,wide,-0.3543101548301157,48.76088729578542,238.41145694561567,3.9342998084142984
ACCBANDS,META,pessimistic,-0.36536280148123873,44.80178233106577,238.41145694561567,3.9342998084142984
ACCBANDS,TSLA,gross,-0.051425525292731415,20.098332982081992,43.30106959364544,3.933038159178772
ACCBANDS,TSLA,retail,-0.05459123221605296,18.793622945003463,43.30106959364544,3.933038159178772
ACCBANDS,TSLA,wide,-0.05798551283121775,17.392034293645597,43.30106959364544,3.933038159178772
ACCBANDS,TSLA,pessimistic,-0.06646655592757464,13.959111009563308,43.30106959364544,3.933038159178772
ACCBANDS,JPM,gross,-1.3113385945367912,-35.971020019859104,248.04029033289464,3.936213378360025
ACCBANDS,JPM,retail,-1.3175573560436096,-36.5118083991818,248.04029033289464,3.936213378360025
ACCBANDS,JPM,wide,-1.3244735586130427,-37.1285586236462,248.04029033289464,3.936213378360025
ACCBANDS,JPM,pessimistic,-1.341722410299586,-38.644754258944324,248.04029033289464,3.936213378360025
ACCBANDS,JNJ,gross,-0.3478894417022994,19.80569964463772,70.70113577324064,3.927557632824524
ACCBANDS,JNJ,retail,-0.3569140904640722,18.69433964929941,70.70113577324064,3.927557632824524
ACCBANDS,JNJ,wide,-0.36586749675016117,17.587146171210133,70.70113577324064,3.927557632824524
ACCBANDS,JNJ,pessimistic,-0.38821016724373963,14.86355408397484,70.70113577324064,3.927557632824524
ACCBANDS,XOM,gross,-0.932346620887698,-47.93089653985923,105.11214411136235,3.930924190805121
ACCBANDS,XOM,retail,-0.9392916019731625,-48.47405732513151,105.11214411136235,3.930924190805121
ACCBANDS,XOM,wide,-0.946814785204481,-49.06554750902534,105.11214411136235,3.930924190805121
