,ADD,HT_TRENDMODE,MAMA,MAXINDEX,MA_50,MININDEX,MULT,TRIMA_50
ADD,1.0,0.016237338471379974,0.730825946913894,0.08277907319859311,0.6651815837215227,-0.04096852617222478,0.9909928925128939,0.6841369740290866
HT_TRENDMODE,0.016237338471379974,1.0,0.028916861658860156,0.9003538140262244,0.08972244507739803,0.9067030697976044,0.008758154314023946,0.08288872176590481
MAMA,0.730825946913894,0.028916861658860156,1.0,0.10188667181055608,0.7700793710314413,-0.03874383410910434,0.7282156438061945,0.7898267069043883
MAXINDEX,0.08277907319859311,0.9003538140262244,0.10188667181055608,1.0,0.10535755933705122,0.8449731315159932,0.07488618402583588,0.113743666582755
MA_50,0.6651815837215227,0.08972244507739803,0.7700793710314413,0.10535755933705122,1.0,0.04114031167658994,0.6639858614099888,0.9424293042487761
MININDEX,-0.04096852617222478,0.9067030697976044,-0.03874383410910434,0.8449731315159932,0.04114031167658994,1.0,-0.04896364667846561,0.02062401369330678
MULT,0.9909928925128939,0.008758154314023946,0.7282156438061945,0.07488618402583588,0.6639858614099888,-0.04896364667846561,1.0,0.6828596307814616
TRIMA_50,0.6841369740290866,0.08288872176590481,0.7898267069043883,0.113743666582755,0.9424293042487761,0.02062401369330678,0.6828596307814616,1.0
