,excess_cagr
"ibs@buy=0.1,sell=0.9",0.058898479460080866
ibs,0.05642369008977899
"ibs@buy=0.3,sell=0.7",0.05383916664595856
ibs@sell=0.6,0.050048782325121444
"sell_in_may@end_month=5,start_month=10",0.019841551369063293
three_lower_lows@trend_ma_days=0.0,0.01379959542829945
preholiday@sessions=3,0.012544034153591399
"connors_rsi@buy=15.0,sell=60.0",0.009687643263283752
"connors_rsi@buy=20.0,sell=80.0",0.009356082273683564
rsi2_connors,0.009125833189089994
rsi2_connors@exit_ma_days=10.0,0.008999462703176198
sell_in_may,0.008944206948862776
tsmom12@lookback_months=9.0,0.008648207491097182
rsi2_connors@buy=15.0,0.007666253667219403
three_lower_lows,0.007561068599551746
"rsi2_connors@exit_ma_days=2.0,trend_ma_days=100.0",0.007550331116286335
three_lower_lows@n_lows=2,0.00687561699559347
sell_in_may@end_month=5,0.006867726460462187
rsi2_raw@buy=5.0,0.005692906409339837
voltgt_tsmom,0.004529332899170679
rsi2_raw,0.00410163670380892
rsi2_connors@buy=5.0,0.0040126737103440835
golden_cross,0.003321334508833207
st_reversal@lookback_weeks=0.5,0.0033053317776410296
"golden_cross@fast_days=20.0,slow_days=100.0",0.003303698554361967
voltgt_tsmom@lookback_months=6.0,0.0032595029648334606
"rsi2_raw@buy=15.0,exit_ma_days=10.0",0.0031343369361995777
momo_regime,0.00310691959330911
volmanaged@var_months=0.5,0.0030478776350459924
three_lower_lows@n_lows=4,0.003042195686463689
volmanaged,0.002880096904119611
faber_gtaa@ma_months=8.0,0.0027740750995410846
tsmom12@lookback_months=6.0,0.002627984880576806
"golden_cross@fast_days=10.0,slow_days=50.0",0.0024303645955643383
voltgt_tsmom@vol_days=60.0,0.002409509501661411
volmanaged@var_months=2.0,0.0023891302265044434
faber_gtaa,0.0022427571536873803
st_reversal,0.0021384290377777226
faber_gtaa@ma_months=12.0,0.0019314262476086697
"ichimoku@kijun_days=60.0,senkou_days=120.0,tenkan_days=20.0",0.001919020969398666
momo_regime@lookback_months=6.0,0.001039603907636133
connors_rsi,0.000950854688822611
volmanaged@var_months=3.0,0.0008241829217610075
tsmom12,0.0005688083585333459
turn_of_month@after=1,0.00035933057843062777
ALWAYS_LONG,6.06268029801349e-06
BUYHOLD,6.06268029801349e-06
golden_cross@slow_days=150.0,-0.00011700629663291551
"atr_chandelier@entry_ma_days=200.0,mult=4.0",-0.00019250935364412136
bollinger_mr@period_days=10.0,-0.00040533776896767293
ALWAYS_FLAT,-0.0006015004251815892
"dual_thrust@k=0.7,lookback_days=20.0",-0.0012559055179972578
momo_regime@ma_days=100.0,-0.0017980149752059305
faber_gtaa@ma_months=6.0,-0.002194462461573954
connors_rsi@buy=5.0,-0.0032162590763156196
"voltgt_tsmom@lookback_months=3.0,vol_days=10.0",-0.003397846369629365
dual_thrust@lookback_days=10.0,-0.003701153923175049
RANDOM_90,-0.004692111288991274
turn_of_month,-0.0050807366500527085
"supertrend_lf@atr_days=20.0,mult=4.0",-0.005319134745858323
st_reversal@lookback_weeks=2.0,-0.006151428594768582
supertrend_pullback@buy=35.0,-0.0062771370911538504
bollinger_mr@nbdev=2.5,-0.006405711315564888
"donchian_s2@entry_days=100.0,exit_days=40.0",-0.006568213659941424
"turn_of_month@after=5,before=3",-0.006729797634320134
bollinger_mr,-0.007034102139740206
dyn_breakout2,-0.007296734959895135
"ichimoku@kijun_days=13.0,senkou_days=26.0,tenkan_days=5.0",-0.007418213554556186
supertrend_pullback,-0.007580482265134636
tsmom12@lookback_months=3.0,-0.008605444519164562
preholiday@sessions=2,-0.008673783938728974
supertrend_pullback@rsi_days=3.0,-0.008848071577962857
"momo_regime@lookback_months=3.0,ma_days=50.0",-0.00891118892716225
supertrend_pullback@buy=10.0,-0.008955455560261338
"dyn_breakout2@hi_days=40.0,lo_days=10.0,vol_days=60.0",-0.009091641145881457
ichimoku,-0.009237695573141247
turn_of_month@before=2,-0.009442751961205698
"donchian_s1@entry_days=40.0,exit_days=20.0",-0.009585994646027052
RANDOM_25,-0.009938449335371136
"donchian_s2@entry_days=80.0,exit_days=30.0",-0.010391502427701482
dual_thrust,-0.010646949308644071
supertrend_regime@atr_days=7.0,-0.01112100836673191
donchian_s2,-0.011199775328363692
supertrend_regime@ma_days=50.0,-0.011285719149652929
RANDOM_50,-0.011358265925043298
supertrend_lf@atr_days=7.0,-0.011435838988222535
atr_chandelier@atr_days=14.0,-0.011707202882289547
supertrend_lf,-0.01174402772342531
RANDOM_75,-0.012094860966485932
supertrend_regime,-0.01209495580086739
"dyn_breakout2@base_days=40.0,hi_days=80.0",-0.012215097637054084
supertrend_regime@ma_days=100.0,-0.012578373409421584
"supertrend_dual@slow_days=14.0,slow_mult=4.0",-0.012665072150129797
atr_chandelier,-0.01333362442550734
supertrend_dual,-0.013534273366435867
donchian_s1,-0.013836549684458799
supertrend_adx@adx_min=30.0,-0.014976587472494751
supertrend_adx@adx_days=20.0,-0.014993366641913974
"donchian_s1@entry_days=30.0,exit_days=15.0",-0.0151869090924448
"supertrend_dual@slow_days=30.0,slow_mult=8.0",-0.0157748572614429
trend_factor@min_votes=6,-0.016262243672017673
atr_chandelier@mult=2.0,-0.017396399596095513
supertrend_adx,-0.017584553299558214
supertrend_adx@adx_min=20.0,-0.01780200882996308
"supertrend_dual@atr_days=7.0,mult=2.0",-0.01793176050510281
donchian_s2@exit_days=10.0,-0.018787251069174005
preholiday,-0.01920172161808198
"macd_cross@fast_days=20.0,slow_days=50.0",-0.020024611601287212
macd_cross,-0.020813421776862073
st_reversal@lookback_weeks=4.0,-0.021447357097124753
bollinger_mr@period_days=50.0,-0.02166751883665574
trend_factor@min_votes=5,-0.022590923958454523
monday_effect,-0.022612463809443817
trend_factor@min_votes=3,-0.026454713210279035
"macd_cross@fast_days=8.0,slow_days=17.0",-0.026941248035905918
trend_factor,-0.027096126415477872
"donchian_s1@entry_days=10.0,exit_days=5.0",-0.028568315749839313
"supertrend_lf@atr_days=14.0,mult=2.0",-0.02856999993157272
"macd_cross@fast_days=5.0,signal_days=5.0,slow_days=35.0",-0.030315041828922196
dual_thrust@k=0.2,-0.03968730696874001
