,MIDPOINT_9,MININDEX,SAREXT,TRIMA_9
MIDPOINT_9,1.0,-0.01258706801158894,0.6427619929681694,0.8754379451247806
MININDEX,-0.01258706801158894,1.0,-0.030114873444190428,-0.01435783195408466
SAREXT,0.6427619929681694,-0.030114873444190428,1.0,0.5837704917952304
TRIMA_9,0.8754379451247806,-0.01435783195408466,0.5837704917952304,1.0
