class,tf,rule,pit,n_names,years,exposure,cagr,cashmatch_bench_cagr,cashmatch_excess_cagr,cashmatch_ratio,win_rate,profit_factor,n_trades,sharpe,bench_sharpe,dsharpe,boot_t,dsr,alpha_vs_bh_ann,alpha_vs_bh_t,avg_breadth,bars,start,end,vol,bench_vol,dd,bench_dd,bench_cagr,wealth,bench_wealth,avg_win,avg_loss,boot_se,boot_p_gt0,boot_ci_lo,boot_ci_hi,cash_w,cashmatch_bench_dd,cashmatch_bench_wealth,cashmatch_beats,edge_wealth,edge_headroom,cost_drag_ann,roe_ann,const_weight,const_mar,mar,vs_constant,index_symbol,index_cagr,index_wealth,index_sharpe,index_vol,index_dd,idx_cash_w,idx_cashmatch_bench_cagr,idx_cashmatch_bench_dd,idx_cashmatch_excess_cagr,idx_cashmatch_ratio,idx_cashmatch_beats,volmatch_k,volmatch_wealth,volmatch_dd,volmatch_beats,alpha_ann,alpha_t,alpha_p,r2,factor_n,beta_Mkt-RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_Mom,beta_ST_Rev,t_Mkt-RF,t_SMB,t_HML,t_RMW,t_CMA,t_Mom,t_ST_Rev,alpha_vs_bh_p,beta_BH,r2_vs_bh,fill,skew,kurtosis,n_trials,sr_star_ann,psr,dsr_pass,n_trials_ledger,n_trials_measured,n_trials_source,trial_dispersion,dispersion_source,rand_sharpe,vs_random,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,boot_draws
commodities,15m,ibs,False,3,2.9097757715703843,0.5300776807317533,2.8020044907164845,0.25739514307310785,2.5446093476433767,25.018779176292263,0.5959553321309337,1.5408046808749474,26059,5.750184354310396,1.0844034771802593,4.665780877130137,1.628776670333385,0.0,2.493117312630217,1.7104473506540554,2.8812920734036807,75909,2023-10-02,2026-08-21,0.2371477431512109,0.34375501046889795,-0.6916219350868749,-0.2395185149460699,0.36845027495834026,487199.3327907666,24911.27208644664,0.003146937740394984,-0.0030124849904126258,2.864592158098093,0.9195,-2.598488577802785,8.115527417339871,0.6898742881674081,-0.17028682403023465,19473.345576047755,True,467725.9872147189,1.0,1.1878922196587516,11.42233021984137,0.5300776807317533,1.4933080800606107,4.05135283970501,2.5580447596443996,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,1.0,0.35578364681610086,-0.2914195276759586,2.4462208439003836,20.09380980629665,True,1.0,487199.3327907666,-0.6916219350868749,True,3.5305863513750335,1.5494926662310033,0.12126333312639348,0.013209589823056533,686,0.0031487936257397478,0.008234141908284878,0.02887342596535733,0.015994636373941044,-0.0260587543227787,0.012299559047863583,-0.0014700376078831093,0.37924207939571314,0.5326416784602513,2.3985222300291213,1.050920467652575,-1.712435674992529,1.0861545751651394,-0.13734476015837088,0.08718318137556658,0.5747795147767406,0.5978736025860052,open,1.400724335731899,50.10403724101943,168,12.933834814723626,1.0,False,0,168,run+ledger,4.776105553946709,this run,0.40966306733310975,5.340521286977286,False,False,True,True,True,False,3,6,False,True,underpowered,2000.0
commodities,15m,volmanaged,False,3,2.9097757715703843,0.7862740130755265,0.27482228216201476,0.1984496932336286,0.07637258892838616,1.1969301593827797,0.4745689287844786,1.0339101222229685,140812,1.4233740919673583,1.0844034771802593,0.338970614787099,2.04431771677878,0.0,0.02043846666569242,0.023504557066776035,2.8812920734036807,75909,2023-10-02,2026-08-21,0.1822553058882576,0.34375501046889795,-0.14596507181667984,-0.2395185149460699,0.36845027495834026,20269.116754021965,24911.27208644664,0.0010797404451665588,-0.0009432354871508982,0.1658111222169581,0.986,0.027922770465457252,0.6834697197328143,0.5301895254985602,-0.13289144443166812,16934.251840119166,True,3334.8649139027975,20.0,0.001017523117531518,0.36179928089875046,0.7862740130755265,1.5211249012164265,1.8827948271567942,0.36166992594036773,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,0.8732391962641597,0.3076203590437985,-0.25763487695946286,-0.03279807688178371,0.9287509527261854,False,1.0,20269.116754021965,-0.14596507181667984,False,1.080266756620965,0.585924932059064,0.5579259619908765,0.008557224510572059,686,0.0009675860516433698,-0.0018864044649338392,0.026242857939479478,0.0038958030996550323,-0.014516889976691193,0.005095775695675778,-0.0012291455099851857,0.11427262462586447,-0.1252811058315251,2.271932876219198,0.238546348502227,-0.9968052127293745,0.6441008782069985,-0.14982636821305312,0.98124780347669,0.5871670069153645,0.7747526938011413,open,-0.10256860636420259,16.826688037533806,168,12.933834814723626,0.9923777056361925,False,0,168,run+ledger,4.776105553946709,this run,0.6649488894620326,0.7584252025053257,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0
commodities,15m,voltgt_tsmom,False,3,2.9097757715703843,0.3751854549379721,0.18912552584454545,0.13460215027680467,0.054523375567740784,1.1463392400166097,0.45955848143668,1.0448212136069075,85976,1.4645097134105398,1.0844034771802593,0.3801062362302805,0.8901316257683408,0.0,-0.514449364952303,-0.5851182281032631,2.8812920734036807,75909,2023-10-02,2026-08-21,0.12348409618536361,0.34375501046889795,-0.14975898950383715,-0.2395185149460699,0.36845027495834026,16553.725300707516,24911.27208644664,0.001013178907240999,-0.0008245865339761663,0.42702250456743596,0.7905,-0.43710520673530984,1.1620547952794802,0.35922122565406545,-0.0915149432164668,14440.511781196343,True,2113.2135195111723,10.0,0.0025224943841625803,0.5867483093756218,0.3751854549379721,1.4730459287787878,1.262865931929246,-0.21017999684954192,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,0.5916489090881413,0.2036412700697381,-0.17919502477957405,-0.01451574422519264,0.9653111426185755,False,1.0,16553.725300707516,-0.14975898950383715,False,-0.21270690175511223,-0.2162875208907706,0.8287636357496162,0.014990248985882637,686,-0.007013798445289031,0.003947663665376824,0.012380870168498384,-0.004540073833609275,-0.0002919097516016928,0.0063382381774248625,0.003706987307162119,-1.2921306752590815,0.5645504848947268,1.7551243598220612,-0.4482374545934416,-0.032681685719178295,1.0758804661202939,0.6306435728781645,0.558468223093598,0.16717162643605332,0.26475817304316673,open,-0.21015633579641618,33.768156947826675,168,12.933834814723626,0.9937010519457955,False,0,168,run+ledger,4.776105553946709,this run,0.11317210009537226,1.3513376133151676,False,False,True,False,True,True,3,6,False,True,underpowered,2000.0
commodities,15m,renko_delta,False,3,2.9097757715703843,0.6036394454763818,0.30393278592892004,0.27273274875345255,0.031200037175467488,1.0730129944844946,0.46808510638297873,2.170124014394295,94,1.1806735760873885,1.0844034771802593,0.09627009890712923,0.7126061560783962,0.0,1.933903718798251,1.5192469569286557,2.8812920734036807,75909,2023-10-02,2026-08-21,0.25158102216188244,0.34375501046889795,-0.14502629724953287,-0.2395185149460699,0.36845027495834026,21645.459216485353,24911.27208644664,0.10915203822021256,-0.044261891484849866,0.13509580023406118,0.748,-0.17771242569529427,0.3480101195033605,0.7318613969254271,-0.17992078041015958,20172.59746876079,True,1472.8617477245632,5.0,0.004261496752139019,0.5521505862784846,0.6036394454763818,1.5020519867933153,2.095708100483128,0.5936561136898129,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,1.0,0.35578364681610086,-0.2914195276759586,-0.05185086088718083,0.8927346804327367,False,1.0,21645.459216485353,-0.14502629724953287,False,2.736651142155481,1.371588898753106,0.1701914516264733,0.018776375814317348,686,-0.01191057776306858,0.0026064216723492243,0.019839557104256472,0.007747209625521044,0.0017516855154110656,0.022595838457078087,0.01817958585061127,-1.6327980892687293,0.19870652773466796,1.8433592337980154,0.574933287500237,0.12103289378618523,2.142640848082807,1.768181354833428,0.12870034574632205,0.4447388377428359,0.484443108676178,open,-0.0409414320482684,45.477743419233896,168,12.933834814723626,0.9779473288935148,False,0,168,run+ledger,4.776105553946709,this run,0.4851329484636796,0.6955406276237089,False,False,True,True,True,True,4,6,False,True,underpowered,2000.0
commodities,15m,CDLINVERTEDHAMMER,False,3,2.9097757715703843,0.0774238452181779,0.1343608391425497,0.13204985952535453,0.0023109796171951746,1.0059516359826333,0.478756884343037,1.3590224082099718,2542,1.1011849245480423,1.0844034771802593,0.016781447367782976,0.02377796846707799,0.0,-0.38575670197588097,-0.5294281544547026,2.8812920734036807,75909,2023-10-02,2026-08-21,0.12114330275959027,0.34375501046889795,-0.0991732574079337,-0.2395185149460699,0.36845027495834026,14431.576923013457,24911.27208644664,0.0048409275229602195,-0.0032717240229819793,0.7057561452744748,0.484,-1.5523524290829975,1.1345921605932907,0.3524117440334764,-0.08983806932711103,14346.193600964136,True,85.38332204932163,1.0,0.1207996861594246,4.0952125982517105,0.0774238452181779,1.4277555610247197,1.354809175924084,-0.07294638510063578,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,0.5804334739062653,0.19958977196663552,-0.17597588789545449,-0.06522893282408582,0.8498576641114324,False,1.0,14431.576923013457,-0.0991732574079337,False,-0.21028047481404488,-0.2794235573679363,0.7799197945980525,0.012466719546776361,686,0.0066773447970388256,-0.0006906986665856803,0.0008907978825399066,0.0016511836646404847,-0.008584070232890897,-0.009062727624871852,-0.004312875811085259,1.3822256212909811,-0.14961806977915046,0.22103971451253454,0.24999964308832237,-1.5879333190452047,-1.4293969202160035,-1.0792702425417255,0.5965084716408273,0.09721749462996883,0.12688803713769026,open,1.7726506514694826,149.9356703065779,168,12.933834814723626,0.9705002755740564,False,0,168,run+ledger,4.776105553946709,this run,-0.1386007556858404,1.2397856802338827,False,False,True,False,True,False,2,6,False,False,unrankable,2000.0
commodities,15m,ALWAYS_FLAT,False,3,2.9097757715703843,0.0,0.0,0.0,0.0,1.0,,,0,,1.0844034771802593,,,,0.0,,2.8812920734036807,75909,2023-10-02,2026-08-21,0.0,0.34375501046889795,0.0,-0.2395185149460699,0.36845027495834026,10000.0,24911.27208644664,,,,,,,0.0,0.0,10000.0,False,0.0,0.0,0.0,,,,,,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,0.0,0.0,0.0,0.0,1.0,False,,,,,0.0,,,,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,open,,,168,12.933834814723626,,False,0,168,run+ledger,4.776105553946709,this run,,,False,False,False,False,True,False,1,6,False,False,unrankable,0.0
commodities,15m,ACOS,False,3,2.9097757715703843,0.0,0.0,0.0,0.0,1.0,,,0,,1.0844034771802593,,,,0.0,,2.8812920734036807,75909,2023-10-02,2026-08-21,0.0,0.34375501046889795,0.0,-0.2395185149460699,0.36845027495834026,10000.0,24911.27208644664,,,,,,,0.0,0.0,10000.0,False,0.0,0.0,0.0,,,,,,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,0.0,0.0,0.0,0.0,1.0,False,,,,,0.0,,,,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,open,,,168,12.933834814723626,,False,0,168,run+ledger,4.776105553946709,this run,,,False,False,False,False,True,False,1,6,False,False,unrankable,0.0
commodities,15m,ASIN,False,3,2.9097757715703843,0.0,0.0,0.0,0.0,1.0,,,0,,1.0844034771802593,,,,0.0,,2.8812920734036807,75909,2023-10-02,2026-08-21,0.0,0.34375501046889795,0.0,-0.2395185149460699,0.36845027495834026,10000.0,24911.27208644664,,,,,,,0.0,0.0,10000.0,False,0.0,0.0,0.0,,,,,,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,0.0,0.0,0.0,0.0,1.0,False,,,,,0.0,,,,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,open,,,168,12.933834814723626,,False,0,168,run+ledger,4.776105553946709,this run,,,False,False,False,False,True,False,1,6,False,False,unrankable,0.0
commodities,15m,CDL3STARSINSOUTH,False,3,2.9097757715703843,0.0,0.0,0.0,0.0,1.0,,,0,,1.0844034771802593,,,,0.0,,2.8812920734036807,75909,2023-10-02,2026-08-21,0.0,0.34375501046889795,0.0,-0.2395185149460699,0.36845027495834026,10000.0,24911.27208644664,,,,,,,0.0,0.0,10000.0,False,0.0,0.0,0.0,,,,,,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,0.0,0.0,0.0,0.0,1.0,False,,,,,0.0,,,,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,open,,,168,12.933834814723626,,False,0,168,run+ledger,4.776105553946709,this run,,,False,False,False,False,True,False,1,6,False,False,unrankable,0.0
commodities,15m,TANH,False,3,2.9097757715703843,0.0,0.0,0.0,0.0,1.0,,,0,,1.0844034771802593,,,,0.0,,2.8812920734036807,75909,2023-10-02,2026-08-21,0.0,0.34375501046889795,0.0,-0.2395185149460699,0.36845027495834026,10000.0,24911.27208644664,,,,,,,0.0,0.0,10000.0,False,0.0,0.0,0.0,,,,,,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,0.0,0.0,0.0,0.0,1.0,False,,,,,0.0,,,,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,open,,,168,12.933834814723626,,False,0,168,run+ledger,4.776105553946709,this run,,,False,False,False,False,True,False,1,6,False,False,unrankable,0.0
commodities,15m,connors_rsi,False,3,2.9097757715703843,0.0,0.0,0.0,0.0,1.0,,,0,,1.0844034771802593,,,,0.0,,2.8812920734036807,75909,2023-10-02,2026-08-21,0.0,0.34375501046889795,0.0,-0.2395185149460699,0.36845027495834026,10000.0,24911.27208644664,,,,,,,0.0,0.0,10000.0,False,0.0,0.0,0.0,,,,,,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,0.0,0.0,0.0,0.0,1.0,False,,,,,0.0,,,,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,open,,,168,12.933834814723626,,False,0,168,run+ledger,4.776105553946709,this run,,,False,False,False,False,True,False,1,6,False,False,unrankable,0.0
commodities,15m,rsi2_connors,False,3,2.9097757715703843,0.0,0.0,0.0,0.0,1.0,,,0,,1.0844034771802593,,,,0.0,,2.8812920734036807,75909,2023-10-02,2026-08-21,0.0,0.34375501046889795,0.0,-0.2395185149460699,0.36845027495834026,10000.0,24911.27208644664,,,,,,,0.0,0.0,10000.0,False,0.0,0.0,0.0,,,,,,XAU/USD,0.35578364681610086,24246.23988618109,1.5627721579812501,0.20871177870619126,-0.2914195276759586,0.0,0.0,0.0,0.0,1.0,False,,,,,0.0,,,,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,open,,,168,12.933834814723626,,False,0,168,run+ledger,4.776105553946709,this run,,,False,False,False,False,True,False,1,6,False,False,unrankable,0.0
