,LINEARREG_1000,LINEARREG_INTERCEPT_100,LINEARREG_INTERCEPT_200,MAXINDEX,MIDPOINT_200,T3_200,TRIX,TSF_1000
LINEARREG_1000,1.0,0.553207266680569,0.6480103396958331,0.11648015709306211,0.618029596521543,0.6935713915230024,0.5035176782416204,0.9986670583433932
LINEARREG_INTERCEPT_100,0.553207266680569,1.0,0.6480400639989717,0.04654760891249478,0.7415337167758304,0.6978441860207444,0.8104465183351236,0.5525058019654029
LINEARREG_INTERCEPT_200,0.6480103396958331,0.6480400639989717,1.0,0.07216081433656586,0.8042676581994449,0.8453757383785264,0.6057927107007559,0.6473107961085507
MAXINDEX,0.11648015709306211,0.04654760891249478,0.07216081433656586,1.0,0.029500286726528425,0.07203271417008106,0.012890607222416256,0.11672075281508995
MIDPOINT_200,0.618029596521543,0.7415337167758304,0.8042676581994449,0.029500286726528425,1.0,0.8159086660228786,0.674540104580992,0.6171699583995619
T3_200,0.6935713915230024,0.6978441860207444,0.8453757383785264,0.07203271417008106,0.8159086660228786,1.0,0.6325099173396207,0.6929817077485587
TRIX,0.5035176782416204,0.8104465183351236,0.6057927107007559,0.012890607222416256,0.674540104580992,0.6325099173396207,1.0,0.5029944664556527
TSF_1000,0.9986670583433932,0.5525058019654029,0.6473107961085507,0.11672075281508995,0.6171699583995619,0.6929817077485587,0.5029944664556527,1.0
