class,tf,side,rule,n_assets,years,edge_dsharpe,fold_sd,edge_t,n_folds_scored,exposure,fold_coverage,edge_vs_random,edge_vs_constant,edge_wealth,edge_headroom,sharpe,bench_sharpe,max_dd,bench_max_dd,profit_factor,trades_per_asset,expectancy,win_rate,avg_win,avg_loss,expectancy_r,roi,roi_ann,roe_ann,bench_roi,avg_pnl_per_asset,avg_bench_pnl_per_asset,wealth,bench_wealth,breadth,long_frac,short_frac,turnover_yr,max_leverage,noise_ceiling,n_trials,edge_gate_dsharpe,edge_gate_t,edge_gate_vs_random,edge_gate_vs_constant,edge_gate_wealth,edge_gate_headroom,edge_passed,edge_n,edge_powered,edge_rankable,edge_verdict,above_ceiling,edge_t_bar_corrected,edge_t_bar_source,edge_t_uncorrected_pass
us_stocks,15m,long,mc_pain_index_reversion,113,3.3986088388172506,0.19062380271397011,0.0962098396742853,3.9626675059291157,4,0.10498035851356843,1.0,0.19618143375970332,-1.4071870422759127,-2956.486611747472,0.0,0.38465279356163906,0.5552138229979836,-0.13191890488691627,-0.35664268018053036,1.507081821141822,2.0,0.06161717164473914,0.6666666666666666,0.11007287604348184,0.011587979818631827,5.317335084210923,0.2254019459652079,0.06870149578022944,0.5062856626623093,0.6088587643680772,2847.1688876185067,10303.010973738326,12254.01945965208,16088.587643680772,0.3274336283185841,0.10498035851356843,0.0,1.1773638325898261,1.0,0.1352626831060436,405,True,True,True,False,False,False,3,6,False,True,underpowered,True,3.8391583524615136,bonferroni,True
us_stocks,15m,long,mc_bollinger_bandwidth,113,3.3986088388172506,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5552138229979836,0.5552138229979836,-0.35664268018053036,-0.35664268018053036,0.0,1.0,0.6088587643680581,1.0,0.6088587643680581,0.0,,0.6088587643680772,0.16101403649190882,0.16101403649191362,0.6088587643680772,10303.010973738326,10303.010973738326,16088.587643680772,16088.587643680772,0.0,1.0,0.0,0.0,1.0,0.0,405,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
us_stocks,15m,long,mc_composite_range_momentum,113,3.3986088388172506,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5552138229979836,0.5552138229979836,-0.35664268018053036,-0.35664268018053036,0.0,1.0,0.6088587643680581,1.0,0.6088587643680581,0.0,,0.6088587643680772,0.16101403649190882,0.16101403649191362,0.6088587643680772,10303.010973738326,10303.010973738326,16088.587643680772,16088.587643680772,0.0,1.0,0.0,0.0,1.0,0.0,405,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
us_stocks,15m,long,mc_down_day_reversion,113,3.3986088388172506,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5552138229979836,0.5552138229979836,-0.35664268018053036,-0.35664268018053036,0.0,1.0,0.6088587643680581,1.0,0.6088587643680581,0.0,,0.6088587643680772,0.16101403649190882,0.16101403649191362,0.6088587643680772,10303.010973738326,10303.010973738326,16088.587643680772,16088.587643680772,0.0,1.0,0.0,0.0,1.0,0.0,405,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
us_stocks,15m,long,mc_mean_of_top_k_returns,113,3.3986088388172506,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5552138229979836,0.5552138229979836,-0.35664268018053036,-0.35664268018053036,0.0,1.0,0.6088587643680581,1.0,0.6088587643680581,0.0,,0.6088587643680772,0.16101403649190882,0.16101403649191362,0.6088587643680772,10303.010973738326,10303.010973738326,16088.587643680772,16088.587643680772,0.0,1.0,0.0,0.0,1.0,0.0,405,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
us_stocks,15m,long,mc_min_max_slope,113,3.3986088388172506,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5552138229979836,0.5552138229979836,-0.35664268018053036,-0.35664268018053036,0.0,1.0,0.6088587643680581,1.0,0.6088587643680581,0.0,,0.6088587643680772,0.16101403649190882,0.16101403649191362,0.6088587643680772,10303.010973738326,10303.010973738326,16088.587643680772,16088.587643680772,0.0,1.0,0.0,0.0,1.0,0.0,405,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
us_stocks,15m,long,mc_rolling_window_l2_norm,113,3.3986088388172506,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5552138229979836,0.5552138229979836,-0.35664268018053036,-0.35664268018053036,0.0,1.0,0.6088587643680581,1.0,0.6088587643680581,0.0,,0.6088587643680772,0.16101403649190882,0.16101403649191362,0.6088587643680772,10303.010973738326,10303.010973738326,16088.587643680772,16088.587643680772,0.0,1.0,0.0,0.0,1.0,0.0,405,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
us_stocks,15m,long,mc_wave_height_momentum,113,3.3986088388172506,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5552138229979836,0.5552138229979836,-0.35664268018053036,-0.35664268018053036,0.0,1.0,0.6088587643680581,1.0,0.6088587643680581,0.0,,0.6088587643680772,0.16101403649190882,0.16101403649191362,0.6088587643680772,10303.010973738326,10303.010973738326,16088.587643680772,16088.587643680772,0.0,1.0,0.0,0.0,1.0,0.0,405,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
us_stocks,15m,short,mc_bollinger_bandwidth,113,3.3986088388172506,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5552138229979836,0.5552138229979836,-0.35664268018053036,-0.35664268018053036,0.0,1.0,0.6088587643680581,1.0,0.6088587643680581,0.0,,0.6088587643680772,0.16101403649190882,0.16101403649191362,0.6088587643680772,10303.010973738326,10303.010973738326,16088.587643680772,16088.587643680772,0.0,1.0,0.0,0.0,1.0,0.0,405,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
us_stocks,15m,short,mc_composite_range_momentum,113,3.3986088388172506,0.0,0.0,,4,1.0,1.0,0.0,0.0,0.0,0.0,0.5552138229979836,0.5552138229979836,-0.35664268018053036,-0.35664268018053036,0.0,1.0,0.6088587643680581,1.0,0.6088587643680581,0.0,,0.6088587643680772,0.16101403649190882,0.16101403649191362,0.6088587643680772,10303.010973738326,10303.010973738326,16088.587643680772,16088.587643680772,0.0,1.0,0.0,0.0,1.0,0.0,405,False,False,True,True,True,False,3,6,False,True,underpowered,False,,,
